,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,0.0001,0.0011,0.0029,0.0049,0.0064,0.0078,0.0089,0.0098,0.0107
BEPE,0.0002,0.0009,0.0018,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026
CESI4,0.0000,0.0005,0.0020,0.0047,0.0070,0.0092,0.0113,0.0113,0.0113
CICA,0.0000,0.0004,0.0017,0.0037,0.0053,0.0069,0.0083,0.0095,0.0095
FREX_H,0.0000,0.0006,0.0018,0.0036,0.0052,0.0052,0.0052,0.0052,0.0052
FRHO,0.0001,0.0008,0.0022,0.0039,0.0052,0.0063,0.0073,0.0080,0.0088
FRAN_R,0.0002,0.0012,0.0025,0.0040,0.0050,0.0059,0.0059,0.0059,0.0059
FRPE_M,0.0001,0.0012,0.0030,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
FRVE_G,0.0001,0.0007,0.0022,0.0043,0.0058,0.0072,0.0072,0.0072,0.0072
GIBI,0.0001,0.0007,0.0018,0.0031,0.0041,0.0051,0.0051,0.0051,0.0051
GLTR,0.0000,0.0006,0.0024,0.0052,0.0076,0.0098,0.0117,0.0134,0.0134
KOPA,0.0001,0.0008,0.0020,0.0035,0.0045,0.0055,0.0055,0.0055,0.0055
LAIN,0.0001,0.0004,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
LIST,0.0000,0.0004,0.0016,0.0033,0.0048,0.0061,0.0074,0.0085,0.0085
MAGR,0.0001,0.0005,0.0016,0.0031,0.0042,0.0042,0.0042,0.0042,0.0042
PHCA,0.0002,0.0009,0.0025,0.0046,0.0047,0.0048,0.0048,0.0048,0.0049
PHDA4,0.0001,0.0003,0.0006,0.0009,0.0012,0.0012,0.0012,0.0012,0.0012
PIBR2,0.0000,0.0002,0.0009,0.0021,0.0029,0.0029,0.0029,0.0029,0.0029
PICH,0.0001,0.0010,0.0029,0.0054,0.0071,0.0071,0.0071,0.0071,0.0071
PICO5,0.0000,0.0002,0.0010,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
PIRA,0.0002,0.0005,0.0013,0.0030,0.0046,0.0062,0.0078,0.0094,0.0111
PITH,0.0000,0.0002,0.0010,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030
PLAC,0.0001,0.0008,0.0025,0.0048,0.0065,0.0081,0.0081,0.0081,0.0081
PYCA_B,0.0001,0.0007,0.0022,0.0043,0.0060,0.0060,0.0060,0.0060,0.0060
PYKA,0.0001,0.0006,0.0020,0.0040,0.0052,0.0057,0.0057,0.0057,0.0057
QUIL2,0.0000,0.0003,0.0014,0.0037,0.0057,0.0077,0.0095,0.0095,0.0095
WARO,0.0000,0.0001,0.0003,0.0006,0.0008,0.0008,0.0008,0.0008,0.0008
ZESE,0.0001,0.0010,0.0029,0.0054,0.0074,0.0090,0.0105,0.0105,0.0067
BDL OTHER,0.0000,0.0005,0.0020,0.0047,0.0070,0.0092,0.0113,0.0113,0.0113
BDM OTHER,0.0001,0.0007,0.0022,0.0043,0.0060,0.0060,0.0060,0.0060,0.0060
BDS OTHER,0.0001,0.0004,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010,0.0010
BEL OTHER,0.0000,0.0003,0.0014,0.0037,0.0057,0.0077,0.0095,0.0095,0.0095
BEM OTHER,0.0000,0.0004,0.0017,0.0037,0.0053,0.0069,0.0083,0.0095,0.0095
BES OTHER,0.0001,0.0006,0.0020,0.0040,0.0052,0.0057,0.0057,0.0057,0.0057
CEL OTHER,0.0002,0.0005,0.0013,0.0030,0.0046,0.0062,0.0078,0.0094,0.0111
CEM OTHER,0.0000,0.0002,0.0009,0.0021,0.0029,0.0029,0.0029,0.0029,0.0029
CES OTHER,0.0000,0.0002,0.0010,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
PEL OTHER,0.0002,0.0009,0.0025,0.0046,0.0047,0.0048,0.0048,0.0048,0.0049
PEM OTHER,0.0001,0.0003,0.0006,0.0009,0.0012,0.0012,0.0012,0.0012,0.0012
PES OTHER,0.0000,0.0001,0.0003,0.0006,0.0008,0.0008,0.0008,0.0008,0.0008
