,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,-0.007,-0.023,-0.051,-0.098,-0.158,-0.237,-0.339,-0.471,-0.641
BEPE,-0.001,-0.002,-0.004,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007
CESI4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CICA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FREX_H,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRHO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRAN_R,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRPE_M,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRVE_G,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GIBI,-0.007,-0.024,-0.069,-0.190,-0.461,-1.064,-1.064,-1.064,-1.064
GLTR,-0.005,-0.018,-0.048,-0.119,-0.256,-0.518,-1.021,-1.987,-1.987
KOPA,-0.039,-0.146,-0.415,-1.158,-2.836,-6.631,-6.631,-6.631,-6.631
LAIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.105,-0.361,-0.890,-2.001,-3.856,-6.953,-12.122,-20.753,-20.753
MAGR,-0.029,-0.099,-0.237,-0.511,-0.941,-0.941,-0.941,-0.941,-0.941
PHCA,-0.040,-0.235,-0.431,-0.607,-0.744,-0.744,-0.744,-0.744,-0.744
PHDA4,-0.021,-0.060,-0.098,-0.135,-0.173,-0.213,-0.255,-0.255,-0.255
PIBR2,-0.002,-0.005,-0.018,-0.048,-0.094,-0.094,-0.094,-0.094,-0.094
PICH,-0.016,-0.062,-0.194,-0.618,-1.764,-1.764,-1.764,-1.764,-1.764
PICO5,-0.005,-0.047,-0.184,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475
PIRA,-0.004,-0.031,-0.083,-0.157,-0.228,-0.297,-0.364,-0.428,-0.489
PITH,-0.029,-0.092,-0.198,-0.364,-0.364,-0.364,-0.364,-0.364,-0.364
PLAC,-0.043,-0.141,-0.320,-0.636,-1.070,-1.668,-1.668,-1.668,-1.668
PYCA_B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PYKA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QUIL2,-0.044,-0.154,-0.399,-0.968,-2.031,-4.013,-7.712,-7.712,-7.712
WARO,-0.002,-0.011,-0.027,-0.048,-0.070,-0.092,-0.092,-0.092,-0.092
ZESE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEL OTHER,-0.044,-0.154,-0.399,-0.968,-2.031,-4.013,-7.712,-7.712,-7.712
BEM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,-0.004,-0.031,-0.083,-0.157,-0.228,-0.297,-0.364,-0.428,-0.489
CEM OTHER,-0.002,-0.005,-0.018,-0.048,-0.094,-0.094,-0.094,-0.094,-0.094
CES OTHER,-0.005,-0.047,-0.184,-0.475,-0.475,-0.475,-0.475,-0.475,-0.475
PEL OTHER,-0.040,-0.235,-0.431,-0.607,-0.744,-0.744,-0.744,-0.744,-0.744
PEM OTHER,-0.021,-0.060,-0.098,-0.135,-0.173,-0.213,-0.255,-0.255,-0.255
PES OTHER,-0.002,-0.011,-0.027,-0.048,-0.070,-0.092,-0.092,-0.092,-0.092
