,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,2.0,21.1,52.5,87.4,113.3,136.2,155.9,172.2,188.5
BEPE,4.0,18.9,35.0,48.9,48.9,48.9,48.9,48.9,48.9
CESI4,0.4,8.6,36.1,80.9,120.0,157.1,194.0,194.0,194.0
CICA,0.4,8.7,31.3,65.9,95.1,122.8,148.0,170.6,170.6
FREX_H,1.1,12.0,34.3,66.0,93.0,93.0,93.0,93.0,93.0
FRHO,1.4,13.4,36.8,64.6,84.8,102.5,118.0,130.5,142.6
FRAN_R,3.4,19.7,40.9,63.5,80.1,94.8,94.8,94.8,94.8
FRPE_M,2.1,19.0,48.0,82.1,82.1,82.1,82.1,82.1,82.1
FRVE_G,1.0,10.5,35.8,69.7,94.9,117.0,117.0,117.0,117.0
GIBI,1.2,11.7,29.2,50.5,66.1,80.9,80.9,80.9,80.9
GLTR,0.6,11.0,44.2,92.1,130.5,166.6,200.1,228.9,228.9
KOPA,1.6,13.1,31.9,54.6,71.4,86.8,86.8,86.8,86.8
LAIN,1.2,7.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
LIST,0.5,9.3,30.6,59.8,83.6,106.3,127.4,146.2,146.2
MAGR,0.8,8.5,26.5,50.2,67.8,67.8,67.8,67.8,67.8
PHCA,2.0,15.1,43.2,78.0,78.4,77.9,77.6,77.1,76.7
PHDA4,0.7,4.4,10.2,16.4,20.1,19.7,19.4,19.4,19.4
PIBR2,0.8,5.4,18.3,38.2,52.3,52.3,52.3,52.3,52.3
PICH,1.7,19.5,53.7,94.5,124.3,124.3,124.3,124.3,124.3
PICO5,0.6,4.0,16.0,37.5,37.5,37.5,37.5,37.5,37.5
PIRA,2.7,8.6,25.8,53.3,75.5,100.1,125.5,152.3,182.2
PITH,0.1,2.5,18.2,53.2,53.2,53.2,53.2,53.2,53.2
PLAC,1.1,14.5,42.7,79.1,107.6,133.1,133.1,133.1,133.1
PYCA_B,0.9,12.2,36.1,69.5,96.7,96.7,96.7,96.7,96.7
PYKA,1.6,11.5,33.7,66.1,87.7,98.1,98.1,98.1,98.1
QUIL2,0.2,4.6,26.4,67.1,102.4,136.0,165.9,165.9,165.9
WARO,0.2,1.9,5.6,9.5,12.0,11.5,11.3,11.2,11.2
ZESE,1.5,18.0,52.5,97.5,132.8,163.9,191.5,191.5,140.2
BDL OTHER,0.4,8.6,36.1,80.9,120.0,157.1,194.0,194.0,194.0
BDM OTHER,0.9,12.2,36.1,69.5,96.7,96.7,96.7,96.7,96.7
BDS OTHER,1.2,7.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
BEL OTHER,0.2,4.6,26.4,67.1,102.4,136.0,165.9,165.9,165.9
BEM OTHER,0.4,8.7,31.3,65.9,95.1,122.8,148.0,170.6,170.6
BES OTHER,1.6,11.5,33.7,66.1,87.7,98.1,98.1,98.1,98.1
CEL OTHER,2.7,8.6,25.8,53.3,75.5,100.1,125.5,152.3,182.2
CEM OTHER,0.8,5.4,18.3,38.2,52.3,52.3,52.3,52.3,52.3
CES OTHER,0.6,4.0,16.0,37.5,37.5,37.5,37.5,37.5,37.5
PEL OTHER,2.0,15.1,43.2,78.0,78.4,77.9,77.6,77.1,76.7
PEM OTHER,0.7,4.4,10.2,16.4,20.1,19.7,19.4,19.4,19.4
PES OTHER,0.2,1.9,5.6,9.5,12.0,11.5,11.3,11.2,11.2
