,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACSA1,3.3,21.3,53.2,94.5,132.9,168.8,202.3,234.0,263.9,,,
BEPE,6.2,18.5,31.7,44.5,44.5,44.5,44.5,44.5,44.5,,,
CESI4,0.7,11.3,43.0,99.6,164.2,232.8,303.6,303.6,303.6,,,
CICA,0.9,10.2,33.7,71.5,112.0,153.1,194.2,235.0,235.0,,,
FREX_H,1.1,11.5,36.0,73.8,113.0,113.0,113.0,113.0,113.0,,,
FRHO,3.0,18.2,43.6,75.6,104.8,131.7,156.6,180.0,202.0,,,
FRAN_R,3.9,19.8,43.4,71.3,95.6,117.5,117.5,117.5,117.5,,,
FRPE_M,3.5,23.3,58.7,104.9,104.9,104.9,104.9,104.9,104.9,,,
FRVE_G,2.4,17.4,45.9,84.5,121.5,156.5,156.5,156.5,156.5,,,
GIBI,1.9,12.4,30.9,54.8,77.0,97.7,97.7,97.7,97.7,,,
GLTR,1.3,15.1,50.4,107.6,168.9,231.3,293.9,355.9,355.9,,,
KOPA,2.8,16.1,37.9,65.0,89.5,112.0,112.0,112.0,112.0,,,
LAIN,2.3,11.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,,,
LIST,0.7,8.2,27.0,57.1,89.1,121.7,154.2,186.4,186.4,,,
MAGR,1.6,11.5,30.0,54.8,78.5,78.5,78.5,78.5,78.5,,,
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PIBR2,1.3,6.0,17.2,35.8,53.4,53.4,53.4,53.4,53.4,,,
PICH,3.3,23.5,60.9,110.9,158.4,158.4,158.4,158.4,158.4,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PIRA,5.6,12.0,25.7,51.1,83.6,122.4,166.6,215.3,267.7,,,
PITH,0.2,5.0,23.5,62.5,62.5,62.5,62.5,62.5,62.5,,,
PLAC,2.1,17.8,50.5,97.6,144.4,189.8,189.8,189.8,189.8,,,
PYCA_B,1.5,13.8,41.0,81.6,122.7,122.7,122.7,122.7,122.7,,,
PYKA,2.8,14.0,40.5,80.8,112.2,125.2,125.2,125.2,125.2,,,
QUIL2,0.5,7.8,30.5,71.8,119.4,170.3,223.0,223.0,223.0,,,
WARO,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5,,,
ZESE,2.6,21.7,61.1,117.3,172.9,226.6,278.3,278.3,278.3,,,
BDL OTHER,0.7,11.3,43.0,99.6,164.2,232.8,303.6,303.6,303.6,,,
BDM OTHER,1.5,13.8,41.0,81.6,122.7,122.7,122.7,122.7,122.7,,,
BDS OTHER,2.3,11.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,,,
BEL OTHER,0.5,7.8,30.5,71.8,119.4,170.3,223.0,223.0,223.0,,,
BEM OTHER,0.9,10.2,33.7,71.5,112.0,153.1,194.2,235.0,235.0,,,
BES OTHER,2.8,14.0,40.5,80.8,112.2,125.2,125.2,125.2,125.2,,,
CEL OTHER,5.6,12.0,25.7,51.1,83.6,122.4,166.6,215.3,267.7,,,
CEM OTHER,1.3,6.0,17.2,35.8,53.4,53.4,53.4,53.4,53.4,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PEM OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PES OTHER,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5,,,
