,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACSA1,1.8,16.0,46.2,94.3,146.1,187.7,223.7,251.0,262.2,,,,
BEPE,2.2,8.4,11.3,5.0,-10.5,-10.5,-10.5,-10.5,-10.5,,,,
CESI4,1.0,20.0,46.2,48.3,31.1,2.2,-34.7,-71.3,-71.3,,,,
CICA,2.4,17.9,44.3,66.9,75.2,69.3,50.5,19.1,-120.0,,,,
FREX_H,5.8,13.1,18.1,14.4,5.1,-15.5,-15.8,-16.2,-16.2,,,,
FRHO,3.5,14.7,45.9,77.7,93.6,94.6,83.0,59.4,25.6,,,,
FRAN_R,11.3,30.1,45.0,42.1,26.7,5.1,-36.0,-36.3,-36.7,,,,
FRPE_M,10.4,18.7,7.9,-5.7,-8.6,-8.6,-8.6,-8.6,-8.6,,,,
FRVE_G,1.1,22.4,44.9,56.2,40.6,9.2,-44.1,-44.5,-44.5,,,,
GIBI,0.9,9.9,34.1,80.2,129.4,181.3,-42.6,-42.6,-42.6,,,,
GLTR,0.9,16.1,50.5,93.4,126.7,144.3,143.7,124.1,-160.0,,,,
KOPA,2.3,11.1,23.8,30.4,26.6,11.6,-44.2,-44.5,-44.5,,,,
LAIN,0.7,1.5,0.4,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,
LIST,1.2,10.8,28.7,50.7,69.3,79.6,82.1,74.4,-94.1,,,,
MAGR,1.4,6.9,13.1,13.9,5.5,-22.9,-23.2,-23.2,-23.2,,,,
PHCA,7.3,6.1,4.4,2.6,1.1,-0.5,-2.4,-5.0,-5.0,,,,
PHDA4,5.1,5.6,5.4,4.8,3.8,2.2,-1.1,-3.2,-5.4,,,,
PIBR2,3.5,15.6,44.9,70.3,53.3,-15.0,-15.0,-15.0,-15.0,,,,
PICH,2.3,9.3,17.0,16.1,4.6,-21.4,-21.8,-21.8,-21.8,,,,
PICO5,0.9,7.1,17.3,11.7,-6.6,-6.6,-6.6,-6.6,-6.6,,,,
PIRA,1.3,6.7,23.1,52.4,86.0,125.4,156.7,181.9,197.5,,,,
PITH,-0.1,-0.2,-0.4,-0.8,-1.3,-1.7,-1.7,-1.7,-1.7,,,,
PLAC,2.6,21.2,37.5,30.6,8.4,-23.2,-48.4,-48.4,-48.4,,,,
PYCA_B,3.1,12.5,19.8,14.6,-0.9,-22.2,-22.5,-22.5,-22.5,,,,
PYKA,1.1,7.4,18.8,39.0,71.1,116.2,-27.3,-27.3,-27.3,,,,
QUIL2,3.6,24.6,74.8,113.4,123.6,101.5,50.0,-155.7,-156.1,,,,
WARO,13.8,12.1,10.1,8.0,6.3,4.7,3.1,1.4,-0.6,,,,
ZESE,3.4,14.0,32.8,45.5,45.2,32.6,7.8,-70.2,-70.5,,,,
BDL OTHER,1.0,20.0,46.2,48.3,31.1,2.2,-34.7,-71.3,-71.3,,,,
BDM OTHER,3.1,12.5,19.8,14.6,-0.9,-22.2,-22.5,-22.5,-22.5,,,,
BDS OTHER,0.7,1.5,0.4,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,,,,
BEL OTHER,3.6,24.6,74.8,113.4,123.6,101.5,50.0,-155.7,-156.1,,,,
BEM OTHER,2.4,17.9,44.3,66.9,75.2,69.3,50.5,19.1,-120.0,,,,
BES OTHER,1.1,7.4,18.8,39.0,71.1,116.2,-27.3,-27.3,-27.3,,,,
CEL OTHER,1.3,6.7,23.1,52.4,86.0,125.4,156.7,181.9,197.5,,,,
CEM OTHER,3.5,15.6,44.9,70.3,53.3,-15.0,-15.0,-15.0,-15.0,,,,
CES OTHER,0.9,7.1,17.3,11.7,-6.6,-6.6,-6.6,-6.6,-6.6,,,,
PEL OTHER,7.3,6.1,4.4,2.6,1.1,-0.5,-2.4,-5.0,-5.0,,,,
PEM OTHER,5.1,5.6,5.4,4.8,3.8,2.2,-1.1,-3.2,-5.4,,,,
PES OTHER,13.2,12.3,10.5,8.8,7.1,5.5,3.9,2.2,0.2,,,,
