,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,7,5,7,4,10,46,476,517,61
BEPE,17,116,156,36,0,0,0,0,0
CESI4,0,5,32,1962,690,14,2,0,0
CICA,205,466,254,130,39,191,0,3,0
FREX_H,475,1233,716,20,2,4,0,0,0
FRHO,2,3,28,545,1722,541,8,0,6
FRAN_R,90,333,1578,1704,160,2,16,0,0
FRPE_M,0,2,2326,17,0,0,0,0,0
FRVE_G,0,1,8,19,3905,6303,63,0,0
GIBI,700,310,1176,976,0,8,0,0,0
GLTR,3,11,19,1180,1608,5,0,1,8
KOPA,352,28,10,147,0,1,0,0,0
LAIN,155,112,31,0,0,0,0,0,0
LIST,34,80,1186,780,439,5,0,11,0
MAGR,6,0,0,0,0,0,0,0,0
PHCA,0,0,0,0,0,0,0,0,0
PHDA4,0,0,0,0,0,0,0,0,0
PIBR2,0,0,0,0,0,0,0,0,0
PICH,720,964,2766,3555,23,0,0,0,0
PICO5,0,0,0,0,0,0,0,0,0
PIRA,0,0,4,0,0,0,0,0,0
PITH,0,1,49,346,5,0,0,0,0
PLAC,34,172,518,44,1047,228,0,0,0
PYCA_B,59,1023,2387,391,14,0,0,0,0
PYKA,3,10,251,60,3,0,0,0,0
QUIL2,1,54,13,355,211,3,2,0,0
WARO,19,15,98,105,20,0,0,0,0
ZESE,529,1352,1097,2010,141,4,5,0,0
BDL OTHER,190,392,2838,812,676,574,107,2,2
BDM OTHER,720,2727,4767,1154,60,6,0,4,0
BDS OTHER,154,262,97,4,1,1,0,0,0
BEL OTHER,0,25,45,411,131,3,3,0,0
BEM OTHER,89,185,661,45,16,2,0,3,0
BES OTHER,22,17,31,72,4,15,0,0,0
CEL OTHER,13,45,63,169,260,14,25,5,20
CEM OTHER,0,1,2,40,22,0,0,0,0
CES OTHER,4,0,2,0,0,0,0,0,0
PEL OTHER,0,0,0,0,0,0,0,0,0
PEM OTHER,8,8,2,0,0,0,0,0,0
PES OTHER,0,0,0,1,0,0,0,0,0
