,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0102,0.0443,0.0900,0.1395,0.1745,0.1745,0.1745,0.1745,0.1745
ELAN,0.0253,0.0585,0.1305,0.2693,0.4077,0.5795,0.7766,0.7766,0.7766
EUGL,0.0094,0.0350,0.0983,0.2276,0.3562,0.5115,0.6847,0.8727,1.0648
EUMI2,0.0035,0.0409,0.1379,0.3012,0.4411,0.5942,0.5942,0.5942,0.5942
FRAM,0.0048,0.0356,0.1325,0.3500,0.5971,0.9414,0.9414,0.9414,0.9414
FRAN2,0.0052,0.0316,0.1005,0.2250,0.2250,0.2250,0.2250,0.2250,0.2250
FRPE,0.0036,0.0450,0.1547,0.3442,0.5116,0.6971,0.6971,0.6971,0.6971
FRVE,0.0048,0.0542,0.1725,0.3600,0.5210,0.6932,0.8726,0.8726,0.8726
GLTR,0.0062,0.0592,0.1659,0.3248,0.4511,0.5823,0.7110,0.7110,0.7110
ILOP,0.0095,0.0305,0.0824,0.1839,0.1839,0.1839,0.1839,0.1839,0.1839
KOPA,0.0047,0.0403,0.1150,0.2157,0.2157,0.2157,0.2157,0.2157,0.2157
MA2,0.0063,0.0461,0.1169,0.2043,0.2043,0.2043,0.2043,0.2043,0.2043
PHCA,0.0162,0.0889,0.2053,0.3597,0.3609,0.3611,0.3606,0.3599,0.3599
PHDA4,0.0052,0.0315,0.0565,0.0748,0.0856,0.0855,0.0854,0.0852,0.0852
PICH,0.0116,0.0436,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135,0.1135
PIED,0.0035,0.0247,0.0642,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154
PINI,0.0026,0.0275,0.0849,0.1714,0.2437,0.3190,0.3891,0.4566,0.5251
PIPO,0.0015,0.0208,0.0775,0.1773,0.2654,0.3628,0.4567,0.4567,0.4567
PISY,0.0024,0.0264,0.0879,0.1883,0.2716,0.2716,0.2716,0.2716,0.2716
PLAC,0.0036,0.0473,0.1659,0.3705,0.5531,0.7578,0.7578,0.7578,0.7578
POAN,0.0042,0.0495,0.1538,0.3232,0.4626,0.6122,0.7672,0.9178,1.0670
POFR,0.0166,0.0600,0.1574,0.3296,0.4777,0.6219,0.6219,0.6219,0.6219
PRCE,0.0027,0.0301,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926,0.0926
PYCA,0.0025,0.0303,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029,0.1029
ULPU,0.0177,0.0435,0.1065,0.2641,0.4588,0.7787,1.2334,1.7765,1.7765
WARO,0.0014,0.0094,0.0228,0.0389,0.0521,0.0656,0.0749,0.0798,0.0796
BDL OTHER,0.0048,0.0356,0.1325,0.3500,0.5971,0.9414,0.9414,0.9414,0.9414
BDM OTHER,0.0052,0.0316,0.1005,0.2250,0.2250,0.2250,0.2250,0.2250,0.2250
BDS OTHER,0.0047,0.0403,0.1150,0.2157,0.2157,0.2157,0.2157,0.2157,0.2157
CEL OTHER,0.0015,0.0208,0.0775,0.1773,0.2654,0.3628,0.4567,0.4567,0.4567
CEM OTHER,0.0026,0.0275,0.0849,0.1714,0.2437,0.3190,0.3891,0.4566,0.5251
CES OTHER,0.0035,0.0247,0.0642,0.1154,0.1154,0.1154,0.1154,0.1154,0.1154
BEL OTHER,0.0094,0.0350,0.0983,0.2276,0.3562,0.5115,0.6847,0.8727,1.0648
BEM OTHER,0.0035,0.0409,0.1379,0.3012,0.4411,0.5942,0.5942,0.5942,0.5942
BES OTHER,0.0095,0.0305,0.0824,0.1839,0.1839,0.1839,0.1839,0.1839,0.1839
PEL OTHER,0.0162,0.0889,0.2053,0.3597,0.3609,0.3611,0.3606,0.3599,0.3599
PEM OTHER,0.0052,0.0315,0.0565,0.0748,0.0856,0.0855,0.0854,0.0852,0.0852
PES OTHER,0.0014,0.0094,0.0228,0.0389,0.0521,0.0656,0.0749,0.0798,0.0796
