,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.001,0.006,0.013,0.020,0.026,0.026,0.026,0.026,0.026
ELAN,0.004,0.009,0.021,0.042,0.069,0.101,0.137,0.137,0.137
EUGL,0.003,0.009,0.026,0.059,0.101,0.150,0.203,0.258,0.313
EUMI2,0.001,0.011,0.038,0.083,0.132,0.182,0.182,0.182,0.182
FRAM,0.001,0.006,0.021,0.055,0.105,0.169,0.169,0.169,0.169
FRAN2,0.001,0.005,0.016,0.037,0.037,0.037,0.037,0.037,0.037
FRPE,0.001,0.007,0.025,0.055,0.089,0.125,0.125,0.125,0.125
FRVE,0.001,0.008,0.028,0.058,0.091,0.124,0.157,0.157,0.157
GLTR,0.001,0.009,0.025,0.048,0.072,0.095,0.118,0.118,0.118
ILOP,0.003,0.008,0.022,0.051,0.051,0.051,0.051,0.051,0.051
KOPA,0.001,0.006,0.018,0.035,0.035,0.035,0.035,0.035,0.035
MA2,0.001,0.007,0.018,0.032,0.032,0.032,0.032,0.032,0.032
PHCA,0.004,0.024,0.058,0.105,0.105,0.105,0.105,0.105,0.105
PHDA4,0.002,0.009,0.015,0.019,0.023,0.023,0.023,0.023,0.023
PICH,0.002,0.006,0.015,0.015,0.015,0.015,0.015,0.015,0.015
PIED,0.001,0.007,0.017,0.031,0.031,0.031,0.031,0.031,0.031
PINI,0.001,0.007,0.023,0.046,0.069,0.092,0.115,0.138,0.159
PIPO,0.000,0.006,0.021,0.047,0.076,0.106,0.137,0.137,0.137
PISY,0.001,0.007,0.024,0.050,0.078,0.078,0.078,0.078,0.078
PLAC,0.001,0.007,0.026,0.059,0.096,0.134,0.134,0.134,0.134
POAN,0.001,0.008,0.025,0.053,0.082,0.111,0.141,0.170,0.198
POFR,0.003,0.010,0.026,0.054,0.085,0.113,0.113,0.113,0.113
PRCE,0.000,0.005,0.014,0.014,0.014,0.014,0.014,0.014,0.014
PYCA,0.000,0.005,0.017,0.017,0.017,0.017,0.017,0.017,0.017
ULPU,0.003,0.007,0.016,0.036,0.066,0.103,0.144,0.185,0.185
WARO,0.000,0.003,0.006,0.010,0.014,0.017,0.020,0.021,0.021
BDL OTHER,0.001,0.006,0.021,0.055,0.105,0.169,0.169,0.169,0.169
BDM OTHER,0.001,0.005,0.016,0.037,0.037,0.037,0.037,0.037,0.037
BDS OTHER,0.001,0.006,0.018,0.035,0.035,0.035,0.035,0.035,0.035
CEL OTHER,0.000,0.006,0.021,0.047,0.076,0.106,0.137,0.137,0.137
CEM OTHER,0.001,0.007,0.023,0.046,0.069,0.092,0.115,0.138,0.159
CES OTHER,0.001,0.007,0.017,0.031,0.031,0.031,0.031,0.031,0.031
BEL OTHER,0.003,0.009,0.026,0.059,0.101,0.150,0.203,0.258,0.313
BEM OTHER,0.001,0.011,0.038,0.083,0.132,0.182,0.182,0.182,0.182
BES OTHER,0.003,0.008,0.022,0.051,0.051,0.051,0.051,0.051,0.051
PEL OTHER,0.004,0.024,0.058,0.105,0.105,0.105,0.105,0.105,0.105
PEM OTHER,0.002,0.009,0.015,0.019,0.023,0.023,0.023,0.023,0.023
PES OTHER,0.000,0.003,0.006,0.010,0.014,0.017,0.020,0.021,0.021
