,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.010,0.042,0.086,0.133,0.173,0.173,0.173,0.173,0.173
ELAN,0.025,0.060,0.135,0.274,0.451,0.658,0.889,0.889,0.889
EUGL,0.014,0.048,0.133,0.299,0.514,0.762,1.032,1.312,1.591
EUMI2,0.004,0.056,0.193,0.422,0.671,0.928,0.928,0.928,0.928
FRAM,0.005,0.036,0.133,0.354,0.673,1.085,1.085,1.085,1.085
FRAN2,0.006,0.032,0.103,0.239,0.239,0.239,0.239,0.239,0.239
FRPE,0.003,0.045,0.162,0.361,0.581,0.810,0.810,0.810,0.810
FRVE,0.005,0.055,0.180,0.380,0.592,0.807,1.021,1.021,1.021
GLTR,0.006,0.057,0.166,0.324,0.484,0.639,0.790,0.790,0.790
ILOP,0.014,0.042,0.113,0.260,0.260,0.260,0.260,0.260,0.260
KOPA,0.005,0.040,0.115,0.224,0.224,0.224,0.224,0.224,0.224
MA2,0.007,0.048,0.121,0.218,0.218,0.218,0.218,0.218,0.218
PHCA,0.023,0.121,0.293,0.535,0.535,0.535,0.535,0.535,0.535
PHDA4,0.008,0.044,0.076,0.098,0.115,0.115,0.115,0.115,0.115
PICH,0.010,0.038,0.099,0.099,0.099,0.099,0.099,0.099,0.099
PIED,0.005,0.033,0.087,0.160,0.160,0.160,0.160,0.160,0.160
PINI,0.004,0.038,0.116,0.232,0.352,0.471,0.587,0.700,0.811
PIPO,0.002,0.029,0.106,0.238,0.386,0.540,0.698,0.698,0.698
PISY,0.003,0.036,0.120,0.254,0.397,0.397,0.397,0.397,0.397
PLAC,0.003,0.046,0.168,0.379,0.614,0.860,0.860,0.860,0.860
POAN,0.005,0.052,0.168,0.351,0.544,0.739,0.933,1.125,1.313
POFR,0.018,0.064,0.171,0.360,0.563,0.749,0.749,0.749,0.749
PRCE,0.003,0.031,0.095,0.095,0.095,0.095,0.095,0.095,0.095
PYCA,0.003,0.032,0.110,0.110,0.110,0.110,0.110,0.110,0.110
ULPU,0.019,0.044,0.107,0.245,0.445,0.695,0.973,1.245,1.245
WARO,0.002,0.013,0.031,0.051,0.071,0.088,0.101,0.108,0.107
BDL OTHER,0.005,0.036,0.133,0.354,0.673,1.085,1.085,1.085,1.085
BDM OTHER,0.006,0.032,0.103,0.239,0.239,0.239,0.239,0.239,0.239
BDS OTHER,0.005,0.040,0.115,0.224,0.224,0.224,0.224,0.224,0.224
CEL OTHER,0.002,0.029,0.106,0.238,0.386,0.540,0.698,0.698,0.698
CEM OTHER,0.004,0.038,0.116,0.232,0.352,0.471,0.587,0.700,0.811
CES OTHER,0.005,0.033,0.087,0.160,0.160,0.160,0.160,0.160,0.160
BEL OTHER,0.014,0.048,0.133,0.299,0.514,0.762,1.032,1.312,1.591
BEM OTHER,0.004,0.056,0.193,0.422,0.671,0.928,0.928,0.928,0.928
BES OTHER,0.014,0.042,0.113,0.260,0.260,0.260,0.260,0.260,0.260
PEL OTHER,0.023,0.121,0.293,0.535,0.535,0.535,0.535,0.535,0.535
PEM OTHER,0.008,0.044,0.076,0.098,0.115,0.115,0.115,0.115,0.115
PES OTHER,0.002,0.013,0.031,0.051,0.071,0.088,0.101,0.108,0.107
