,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.003,0.014,0.027,0.042,0.055,0.055,0.055,0.055,0.055
ELAN,0.009,0.020,0.046,0.093,0.153,0.223,0.302,0.302,0.302
EUGL,0.005,0.019,0.053,0.119,0.204,0.302,0.410,0.521,0.632
EUMI2,0.002,0.022,0.077,0.168,0.266,0.368,0.368,0.368,0.368
FRAM,0.002,0.012,0.044,0.117,0.223,0.360,0.360,0.360,0.360
FRAN2,0.002,0.011,0.035,0.081,0.081,0.081,0.081,0.081,0.081
FRPE,0.001,0.015,0.055,0.122,0.197,0.275,0.275,0.275,0.275
FRVE,0.002,0.019,0.061,0.129,0.201,0.274,0.347,0.347,0.347
GLTR,0.002,0.018,0.053,0.103,0.154,0.204,0.252,0.252,0.252
ILOP,0.006,0.017,0.045,0.103,0.103,0.103,0.103,0.103,0.103
KOPA,0.002,0.013,0.038,0.074,0.074,0.074,0.074,0.074,0.074
MA2,0.002,0.016,0.040,0.072,0.072,0.072,0.072,0.072,0.072
PHCA,0.009,0.048,0.116,0.212,0.212,0.212,0.212,0.212,0.212
PHDA4,0.003,0.017,0.030,0.039,0.046,0.046,0.046,0.046,0.046
PICH,0.003,0.012,0.030,0.030,0.030,0.030,0.030,0.030,0.030
PIED,0.002,0.013,0.035,0.064,0.064,0.064,0.064,0.064,0.064
PINI,0.002,0.015,0.046,0.092,0.140,0.187,0.233,0.278,0.322
PIPO,0.001,0.012,0.042,0.095,0.153,0.214,0.277,0.277,0.277
PISY,0.001,0.014,0.048,0.101,0.158,0.158,0.158,0.158,0.158
PLAC,0.001,0.015,0.056,0.126,0.204,0.285,0.285,0.285,0.285
POAN,0.002,0.018,0.057,0.119,0.185,0.251,0.317,0.382,0.445
POFR,0.006,0.022,0.058,0.122,0.191,0.254,0.254,0.254,0.254
PRCE,0.001,0.010,0.032,0.032,0.032,0.032,0.032,0.032,0.032
PYCA,0.001,0.011,0.037,0.037,0.037,0.037,0.037,0.037,0.037
ULPU,0.006,0.015,0.036,0.081,0.147,0.230,0.323,0.413,0.413
WARO,0.001,0.005,0.012,0.020,0.028,0.035,0.040,0.043,0.042
BDL OTHER,0.002,0.012,0.044,0.117,0.223,0.360,0.360,0.360,0.360
BDM OTHER,0.002,0.011,0.035,0.081,0.081,0.081,0.081,0.081,0.081
BDS OTHER,0.002,0.013,0.038,0.074,0.074,0.074,0.074,0.074,0.074
CEL OTHER,0.001,0.012,0.042,0.095,0.153,0.214,0.277,0.277,0.277
CEM OTHER,0.002,0.015,0.046,0.092,0.140,0.187,0.233,0.278,0.322
CES OTHER,0.002,0.013,0.035,0.064,0.064,0.064,0.064,0.064,0.064
BEL OTHER,0.005,0.019,0.053,0.119,0.204,0.302,0.410,0.521,0.632
BEM OTHER,0.002,0.022,0.077,0.168,0.266,0.368,0.368,0.368,0.368
BES OTHER,0.006,0.017,0.045,0.103,0.103,0.103,0.103,0.103,0.103
PEL OTHER,0.009,0.048,0.116,0.212,0.212,0.212,0.212,0.212,0.212
PEM OTHER,0.003,0.017,0.030,0.039,0.046,0.046,0.046,0.046,0.046
PES OTHER,0.001,0.005,0.012,0.020,0.028,0.035,0.040,0.043,0.042
