,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,5.7,24.4,48.1,76.9,94.5,94.5,94.5,94.5,94.5
ELAN,13.4,32.1,71.2,149.5,222.4,316.3,426.9,426.9,426.9
EUGL,5.1,18.7,52.6,127.1,193.3,278.2,373.9,480.3,585.3
EUMI2,2.1,22.0,74.5,167.0,241.0,324.6,324.6,324.6,324.6
FRAM,2.8,19.2,72.2,196.1,325.4,518.6,518.6,518.6,518.6
FRAN2,2.9,17.0,54.0,121.3,121.3,121.3,121.3,121.3,121.3
FRPE,2.1,24.6,82.9,191.0,278.2,380.4,380.4,380.4,380.4
FRVE,2.8,29.5,93.2,200.2,283.5,378.2,479.8,479.8,479.8
GLTR,3.5,32.7,89.2,179.8,246.1,317.7,389.9,389.9,389.9
ILOP,5.1,16.3,44.2,99.6,99.6,99.6,99.6,99.6,99.6
KOPA,2.7,21.8,63.0,116.5,116.5,116.5,116.5,116.5,116.5
MA2,3.6,25.2,64.2,109.9,109.9,109.9,109.9,109.9,109.9
PHCA,9.1,47.9,111.1,195.9,196.0,195.9,195.7,195.4,195.4
PHDA4,2.9,17.0,30.8,40.6,46.0,46.0,46.0,45.9,45.9
PICH,6.4,23.9,61.8,61.8,61.8,61.8,61.8,61.8,61.8
PIED,2.0,13.3,34.8,63.6,63.6,63.6,63.6,63.6,63.6
PINI,1.5,14.9,46.0,95.4,131.1,173.1,213.0,250.0,287.3
PIPO,0.8,11.3,41.8,99.5,143.5,197.4,249.7,249.7,249.7
PISY,1.4,14.2,47.3,105.5,147.1,147.1,147.1,147.1,147.1
PLAC,2.1,26.0,89.0,206.5,300.8,416.6,416.6,416.6,416.6
POAN,2.2,26.8,82.3,178.8,252.3,333.3,421.2,506.1,586.1
POFR,9.2,32.9,84.2,182.4,260.7,339.0,339.0,339.0,339.0
PRCE,1.5,16.2,49.5,49.5,49.5,49.5,49.5,49.5,49.5
PYCA,1.4,16.3,55.8,55.8,55.8,55.8,55.8,55.8,55.8
ULPU,9.9,23.8,57.9,148.3,250.3,427.4,674.0,954.1,954.1
WARO,0.7,5.0,12.7,21.6,28.2,35.0,39.9,42.5,42.5
BDL OTHER,2.8,19.2,72.2,196.1,325.4,518.6,518.6,518.6,518.6
BDM OTHER,2.9,17.0,54.0,121.3,121.3,121.3,121.3,121.3,121.3
BDS OTHER,2.7,21.8,63.0,116.5,116.5,116.5,116.5,116.5,116.5
CEL OTHER,0.8,11.3,41.8,99.5,143.5,197.4,249.7,249.7,249.7
CEM OTHER,1.5,14.9,46.0,95.4,131.1,173.1,213.0,250.0,287.3
CES OTHER,2.0,13.3,34.8,63.6,63.6,63.6,63.6,63.6,63.6
BEL OTHER,5.1,18.7,52.6,127.1,193.3,278.2,373.9,480.3,585.3
BEM OTHER,2.1,22.0,74.5,167.0,241.0,324.6,324.6,324.6,324.6
BES OTHER,5.1,16.3,44.2,99.6,99.6,99.6,99.6,99.6,99.6
PEL OTHER,9.1,47.9,111.1,195.9,196.0,195.9,195.7,195.4,195.4
PEM OTHER,2.9,17.0,30.8,40.6,46.0,46.0,46.0,45.9,45.9
PES OTHER,0.7,5.0,12.7,21.6,28.2,35.0,39.9,42.5,42.5
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
