,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,4.2,18.5,37.8,58.8,73.6,73.6,73.6,73.6,73.6
ELAN,10.6,24.5,54.9,114.6,174.3,249.9,337.9,337.9,337.9
EUGL,3.9,14.7,41.4,96.7,151.8,219.6,296.5,380.9,468.0
EUMI2,1.5,17.2,58.2,128.6,189.2,256.8,256.8,256.8,256.8
FRAM,2.0,14.9,55.8,149.7,257.8,412.3,412.3,412.3,412.3
FRAN2,2.2,13.2,42.2,95.3,95.3,95.3,95.3,95.3,95.3
FRPE,1.5,18.9,65.2,147.0,219.9,302.2,302.2,302.2,302.2
FRVE,2.0,22.7,72.8,153.9,224.0,300.5,381.1,381.1,381.1
GLTR,2.6,24.8,69.9,138.6,193.3,251.1,308.4,308.4,308.4
ILOP,3.9,12.7,34.8,78.1,78.1,78.1,78.1,78.1,78.1
KOPA,1.9,16.9,48.4,91.3,91.3,91.3,91.3,91.3,91.3
MA2,2.6,19.2,49.1,86.3,86.3,86.3,86.3,86.3,86.3
PHCA,6.7,37.4,87.0,153.7,154.0,154.0,153.7,153.3,153.3
PHDA4,2.1,13.2,23.7,31.5,36.0,35.9,35.8,35.7,35.7
PICH,4.8,18.2,47.7,47.7,47.7,47.7,47.7,47.7,47.7
PIED,1.5,10.4,27.0,48.7,48.7,48.7,48.7,48.7,48.7
PINI,1.1,11.5,35.8,72.7,103.5,136.1,166.5,196.0,226.3
PIPO,0.6,8.7,32.6,75.3,112.9,155.1,196.1,196.1,196.1
PISY,1.0,11.1,37.1,80.0,115.5,115.5,115.5,115.5,115.5
PLAC,1.5,19.8,70.1,158.6,238.4,329.5,329.5,329.5,329.5
POAN,1.7,20.8,64.8,138.0,198.4,264.4,333.7,401.6,469.3
POFR,6.9,25.2,66.4,140.7,205.0,268.7,268.7,268.7,268.7
PRCE,1.1,12.6,39.0,39.0,39.0,39.0,39.0,39.0,39.0
PYCA,1.0,12.7,43.3,43.3,43.3,43.3,43.3,43.3,43.3
ULPU,7.4,18.3,44.9,112.7,196.8,339.0,545.3,796.3,796.3
WARO,0.6,3.9,9.6,16.3,21.8,27.5,31.4,33.4,33.4
BDL OTHER,2.0,14.9,55.8,149.7,257.8,412.3,412.3,412.3,412.3
BDM OTHER,2.2,13.2,42.2,95.3,95.3,95.3,95.3,95.3,95.3
BDS OTHER,1.9,16.9,48.4,91.3,91.3,91.3,91.3,91.3,91.3
CEL OTHER,0.6,8.7,32.6,75.3,112.9,155.1,196.1,196.1,196.1
CEM OTHER,1.1,11.5,35.8,72.7,103.5,136.1,166.5,196.0,226.3
CES OTHER,1.5,10.4,27.0,48.7,48.7,48.7,48.7,48.7,48.7
BEL OTHER,3.9,14.7,41.4,96.7,151.8,219.6,296.5,380.9,468.0
BEM OTHER,1.5,17.2,58.2,128.6,189.2,256.8,256.8,256.8,256.8
BES OTHER,3.9,12.7,34.8,78.1,78.1,78.1,78.1,78.1,78.1
PEL OTHER,6.7,37.4,87.0,153.7,154.0,154.0,153.7,153.3,153.3
PEM OTHER,2.1,13.2,23.7,31.5,36.0,35.9,35.8,35.7,35.7
PES OTHER,0.6,3.9,9.6,16.3,21.8,27.5,31.4,33.4,33.4
