,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0,0.1,0.8,2.7,5.8,5.8,5.8,5.8,5.8
ELAN,0.0,0.1,0.9,3.3,7.9,14.5,22.8,22.8,22.8
EUGL,0.1,1.7,3.1,11.6,27.4,51.7,85.6,130.0,185.6
EUMI2,0.1,1.2,2.1,8.1,19.7,37.8,37.8,37.8,37.8
FRAM,0.0,0.2,1.3,5.0,12.0,22.4,22.4,22.4,22.4
FRAN2,0.0,0.8,1.2,4.0,4.0,4.0,4.0,4.0,4.0
FRPE,0.1,0.2,1.3,4.8,11.9,23.4,23.4,23.4,23.4
FRVE,0.1,0.2,1.2,4.7,11.7,23.0,39.0,39.0,39.0
GLTR,0.2,0.5,2.8,9.4,20.8,37.8,60.8,60.8,60.8
ILOP,0.0,0.5,2.8,9.4,9.4,9.4,9.4,9.4,9.4
KOPA,0.0,0.2,1.1,4.0,4.0,4.0,4.0,4.0,4.0
MA2,0.2,0.5,2.8,9.4,9.4,9.4,9.4,9.4,9.4
PHCA,0.3,0.6,1.0,1.4,1.8,2.1,2.3,2.5,2.6
PHDA4,0.3,0.6,1.0,1.4,1.8,2.1,2.5,2.9,2.9
PICH,0.0,0.1,0.9,0.9,0.9,0.9,0.9,0.9,0.9
PIED,0.0,0.1,0.9,3.4,3.4,3.4,3.4,3.4,3.4
PINI,0.0,0.5,0.8,3.1,7.3,13.8,22.9,34.7,49.6
PIPO,0.0,0.1,0.6,2.6,6.8,14.2,25.6,25.6,25.6
PISY,0.0,0.1,0.8,2.8,6.4,6.4,6.4,6.4,6.4
PLAC,0.0,0.2,1.5,5.8,14.6,28.9,28.9,28.9,28.9
POAN,0.5,1.1,1.3,4.5,10.2,18.6,30.1,44.8,62.9
POFR,0.5,1.1,1.4,4.9,11.2,20.1,20.1,20.1,20.1
PRCE,0.0,0.5,3.3,3.3,3.3,3.3,3.3,3.3,3.3
PYCA,0.0,0.5,2.8,2.8,2.8,2.8,2.8,2.8,2.8
ULPU,0.2,1.9,2.8,9.4,20.8,37.8,60.8,90.5,90.5
WARO,0.5,1.0,1.9,2.6,3.2,3.6,3.8,3.8,3.8
BDL OTHER,0.0,0.2,1.3,5.0,12.0,22.4,22.4,22.4,22.4
BDM OTHER,0.0,0.8,1.2,4.0,4.0,4.0,4.0,4.0,4.0
BDS OTHER,0.0,0.2,1.1,4.0,4.0,4.0,4.0,4.0,4.0
CEL OTHER,0.0,0.1,0.6,2.6,6.8,14.2,25.6,25.6,25.6
CEM OTHER,0.0,0.5,0.8,3.1,7.3,13.8,22.9,34.7,49.6
CES OTHER,0.0,0.1,0.9,3.4,3.4,3.4,3.4,3.4,3.4
BEL OTHER,0.1,1.7,3.1,11.6,27.4,51.7,85.6,130.0,185.6
BEM OTHER,0.1,1.2,2.1,8.1,19.7,37.8,37.8,37.8,37.8
BES OTHER,0.0,0.5,2.8,9.4,9.4,9.4,9.4,9.4,9.4
PEL OTHER,0.3,0.6,1.0,1.4,1.8,2.1,2.3,2.5,2.6
PEM OTHER,0.3,0.6,1.0,1.4,1.8,2.1,2.5,2.9,2.9
PES OTHER,0.5,1.0,1.9,2.6,3.2,3.6,3.8,3.8,3.8
