,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
ELAN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EUGL,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
EUMI2,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
FRAM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FRAN2,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
FRPE,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
FRVE,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
GLTR,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
ILOP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KOPA,0.1,0.3,0.5,0.9,1.2,1.6,1.6,1.6,1.6
MA2,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
PHCA,0.1,0.3,0.5,0.9,0.9,0.9,0.9,0.9,0.9
PHDA4,0.1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PICH,0.1,0.3,0.5,0.9,0.9,0.9,0.9,0.9,0.9
PIED,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
PINI,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.3
PIPO,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
PISY,0.1,0.3,0.5,0.9,1.2,1.6,1.6,1.6,1.6
PLAC,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
POAN,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
POFR,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.3
PRCE,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PYCA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ULPU,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
WARO,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BDL OTHER,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BDM OTHER,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
BDS OTHER,0.1,0.3,0.5,0.9,1.2,1.6,1.6,1.6,1.6
CEL OTHER,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
CEM OTHER,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.3
CES OTHER,0.1,0.3,0.5,0.9,1.2,1.2,1.2,1.2,1.2
BEL OTHER,0.1,0.3,0.5,0.9,1.2,1.6,1.9,2.3,2.7
BEM OTHER,0.1,0.3,0.5,0.9,1.2,1.6,1.9,1.9,1.9
BES OTHER,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PEL OTHER,0.1,0.3,0.5,0.9,0.9,0.9,0.9,0.9,0.9
PEM OTHER,0.1,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PES OTHER,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
