,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,1.1,4.0,11.6,22.6,32.8,0.0,0.0,0.0,0.0
ELAN,3.3,18.0,50.0,98.1,133.3,149.0,145.9,0.0,0.0
EUGL,5.2,34.3,108.6,234.5,384.7,526.4,651.4,766.8,860.3
EUMI2,5.0,23.6,78.0,142.6,197.9,178.4,0.0,0.0,0.0
FRAM,1.5,8.6,34.0,95.3,182.6,275.5,0.0,0.0,0.0
FRAN2,2.3,9.0,20.6,26.8,0.0,0.0,0.0,0.0,0.0
FRPE,3.0,10.7,25.2,40.0,51.7,58.6,0.0,0.0,0.0
FRVE,1.5,7.4,27.6,74.0,145.6,226.3,341.8,0.0,0.0
GLTR,10.3,16.5,45.7,95.4,162.7,242.0,339.4,0.0,0.0
ILOP,2.7,11.1,36.9,36.9,0.0,0.0,0.0,0.0,0.0
KOPA,1.7,7.1,12.6,14.5,0.0,0.0,0.0,0.0,0.0
MA2,5.8,13.3,28.9,37.3,0.0,0.0,0.0,0.0,0.0
PHCA,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1
PHDA4,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0
PICH,1.2,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
PIED,0.8,4.0,9.1,5.8,0.0,0.0,0.0,0.0,0.0
PINI,0.9,8.0,26.0,58.8,99.0,145.0,196.0,251.5,310.8
PIPO,0.7,4.3,15.8,42.9,79.0,131.8,192.0,0.0,0.0
PISY,1.3,6.7,15.8,24.5,11.3,0.0,0.0,0.0,0.0
PLAC,2.0,12.6,34.6,74.4,105.0,102.5,0.0,0.0,0.0
POAN,0.0,0.1,0.3,0.7,1.0,1.4,1.6,1.8,1.9
POFR,0.0,0.2,0.5,0.8,0.9,1.0,0.0,0.0,0.0
PRCE,3.3,22.3,48.6,0.0,0.0,0.0,0.0,0.0,0.0
PYCA,9.9,18.1,33.9,0.0,0.0,0.0,0.0,0.0,0.0
ULPU,4.7,26.8,66.0,121.1,170.5,207.0,216.6,171.6,0.0
WARO,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8
BDL OTHER,1.5,8.6,34.0,95.3,182.6,275.5,0.0,0.0,0.0
BDM OTHER,2.3,9.0,20.6,26.8,0.0,0.0,0.0,0.0,0.0
BDS OTHER,1.7,7.1,12.6,14.5,0.0,0.0,0.0,0.0,0.0
CEL OTHER,0.7,4.3,15.8,42.9,79.0,131.8,192.0,0.0,0.0
CEM OTHER,0.9,8.0,26.0,58.8,99.0,145.0,196.0,251.5,310.8
CES OTHER,0.8,4.0,9.1,5.8,0.0,0.0,0.0,0.0,0.0
BEL OTHER,5.2,34.3,108.6,234.5,384.7,526.4,651.4,766.8,860.3
BEM OTHER,5.0,23.6,78.0,142.6,197.9,178.4,0.0,0.0,0.0
BES OTHER,2.7,11.1,36.9,36.9,0.0,0.0,0.0,0.0,0.0
PEL OTHER,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1
PEM OTHER,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0
PES OTHER,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8
