,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,2.7,11.6,23.3,36.3,47.2,47.2,47.2,47.2,47.2
ELAN,6.6,15.4,34.9,71.0,116.9,170.7,230.6,230.6,230.6
EUGL,2.6,9.1,25.5,57.4,98.6,146.2,198.0,251.7,305.3
EUMI2,0.9,10.8,37.1,81.0,128.8,178.1,178.1,178.1,178.1
FRAM,1.3,9.5,35.3,94.2,179.2,288.8,288.8,288.8,288.8
FRAN2,1.5,8.2,26.6,61.8,61.8,61.8,61.8,61.8,61.8
FRPE,0.9,11.8,42.0,93.5,150.6,210.1,210.1,210.1,210.1
FRVE,1.2,14.2,46.6,98.4,153.4,209.2,264.8,264.8,264.8
GLTR,1.7,15.5,45.2,88.4,131.7,174.1,215.2,215.2,215.2
ILOP,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9
KOPA,1.2,10.6,30.6,59.6,59.6,59.6,59.6,59.6,59.6
MA2,1.8,12.2,31.0,55.6,55.6,55.6,55.6,55.6,55.6
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1
PICH,3.1,11.5,30.1,30.1,30.1,30.1,30.1,30.1,30.1
PIED,0.9,6.4,16.7,30.7,30.7,30.7,30.7,30.7,30.7
PINI,0.8,7.3,22.2,44.6,67.6,90.3,112.6,134.3,155.5
PIPO,0.4,5.6,20.3,45.7,74.0,103.6,133.8,133.8,133.8
PISY,0.6,7.0,23.0,48.8,76.2,76.2,76.2,76.2,76.2
PLAC,0.9,12.4,44.8,100.9,163.4,228.9,228.9,228.9,228.9
POAN,1.2,12.9,41.6,87.0,134.9,183.3,231.4,278.8,325.5
POFR,4.4,15.7,42.5,89.2,139.7,185.8,185.8,185.8,185.8
PRCE,0.8,7.9,24.3,24.3,24.3,24.3,24.3,24.3,24.3
PYCA,0.6,8.0,27.2,27.2,27.2,27.2,27.2,27.2,27.2
ULPU,4.8,11.3,27.4,62.5,113.4,177.2,248.1,317.6,317.6
WARO,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5
BDL OTHER,1.3,9.5,35.3,94.2,179.2,288.8,288.8,288.8,288.8
BDM OTHER,1.5,8.2,26.6,61.8,61.8,61.8,61.8,61.8,61.8
BDS OTHER,1.2,10.6,30.6,59.6,59.6,59.6,59.6,59.6,59.6
CEL OTHER,0.4,5.6,20.3,45.7,74.0,103.6,133.8,133.8,133.8
CEM OTHER,0.8,7.3,22.2,44.6,67.6,90.3,112.6,134.3,155.5
CES OTHER,0.9,6.4,16.7,30.7,30.7,30.7,30.7,30.7,30.7
BEL OTHER,2.6,9.1,25.5,57.4,98.6,146.2,198.0,251.7,305.3
BEM OTHER,0.9,10.8,37.1,81.0,128.8,178.1,178.1,178.1,178.1
BES OTHER,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6
PEM OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1
PES OTHER,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5
