,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0,14.8,30.5,47.3,59.3,59.3,59.3,59.3,59.3
ELAN,8.5,19.6,44.1,92.1,140.4,201.5,272.4,272.4,272.4
EUGL,3.2,11.8,33.4,77.7,122.4,177.1,239.2,307.1,377.7
EUMI2,1.2,13.9,46.9,103.4,152.5,207.2,207.2,207.2,207.2
FRAM,1.6,12.0,44.9,120.2,208.0,332.6,332.6,332.6,332.6
FRAN2,1.7,10.7,34.1,76.9,76.9,76.9,76.9,76.9,76.9
FRPE,1.2,15.2,52.6,118.3,177.5,243.9,243.9,243.9,243.9
FRVE,1.6,18.3,58.6,123.7,180.8,242.6,307.4,307.4,307.4
GLTR,2.1,19.9,56.4,111.4,155.7,202.5,248.7,248.7,248.7
ILOP,3.2,10.3,28.0,63.0,63.0,63.0,63.0,63.0,63.0
KOPA,1.5,13.6,38.9,73.6,73.6,73.6,73.6,73.6,73.6
MA2,2.1,15.4,39.4,69.6,69.6,69.6,69.6,69.6,69.6
PHCA,5.3,30.1,70.1,123.8,124.2,124.1,123.9,123.5,123.5
PHDA4,1.7,10.6,19.1,25.4,29.0,28.9,28.9,28.8,28.8
PICH,3.9,14.6,38.4,38.4,38.4,38.4,38.4,38.4,38.4
PIED,1.2,8.4,21.7,39.0,39.0,39.0,39.0,39.0,39.0
PINI,0.9,9.3,28.8,58.4,83.6,109.7,134.1,157.9,182.4
PIPO,0.5,7.0,26.3,60.4,91.0,125.1,158.1,158.1,158.1
PISY,0.8,8.9,29.9,64.2,93.1,93.1,93.1,93.1,93.1
PLAC,1.2,15.9,56.6,127.5,192.4,265.7,265.7,265.7,265.7
POAN,1.4,16.7,52.3,111.0,160.0,213.4,269.2,323.9,378.9
POFR,5.5,20.2,53.6,113.2,165.2,216.8,216.8,216.8,216.8
PRCE,0.9,10.1,31.4,31.4,31.4,31.4,31.4,31.4,31.4
PYCA,0.8,10.2,34.8,34.8,34.8,34.8,34.8,34.8,34.8
ULPU,5.9,14.7,36.2,90.5,158.6,273.4,440.8,646.6,646.6
WARO,0.5,3.2,7.7,13.1,17.5,22.2,25.3,27.0,26.9
BDL OTHER,1.6,12.0,44.9,120.2,208.0,332.6,332.6,332.6,332.6
BDM OTHER,1.7,10.7,34.1,76.9,76.9,76.9,76.9,76.9,76.9
BDS OTHER,1.5,13.6,38.9,73.6,73.6,73.6,73.6,73.6,73.6
CEL OTHER,0.5,7.0,26.3,60.4,91.0,125.1,158.1,158.1,158.1
CEM OTHER,0.9,9.3,28.8,58.4,83.6,109.7,134.1,157.9,182.4
CES OTHER,1.2,8.4,21.7,39.0,39.0,39.0,39.0,39.0,39.0
BEL OTHER,3.2,11.8,33.4,77.7,122.4,177.1,239.2,307.1,377.7
BEM OTHER,1.2,13.9,46.9,103.4,152.5,207.2,207.2,207.2,207.2
BES OTHER,3.2,10.3,28.0,63.0,63.0,63.0,63.0,63.0,63.0
PEL OTHER,5.3,30.1,70.1,123.8,124.2,124.1,123.9,123.5,123.5
PEM OTHER,1.7,10.6,19.1,25.4,29.0,28.9,28.9,28.8,28.8
PES OTHER,0.5,3.2,7.7,13.1,17.5,22.2,25.3,27.0,26.9
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
