,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.06,0.26,0.55,0.91,1.27,1.27,1.27,1.27,1.27
ELAN,0.20,0.55,1.10,2.60,4.68,7.30,10.39,10.39,10.39
EUGL,0.20,0.97,2.62,5.54,9.03,13.02,17.36,21.97,26.74
EUMI2,0.11,0.97,3.13,7.09,11.97,17.58,17.58,17.58,17.58
FRAM,0.04,0.27,1.25,3.72,7.59,12.99,12.99,12.99,12.99
FRAN2,0.04,0.23,0.95,2.53,2.53,2.53,2.53,2.53,2.53
FRPE,0.03,0.33,1.44,3.77,6.97,11.02,11.02,11.02,11.02
FRVE,0.03,0.42,1.70,4.12,7.19,10.67,14.48,14.48,14.48
GLTR,0.05,0.41,1.44,3.29,5.54,8.05,10.69,10.69,10.69
ILOP,0.08,0.26,0.97,2.97,2.97,2.97,2.97,2.97,2.97
KOPA,0.04,0.32,1.01,2.21,2.21,2.21,2.21,2.21,2.21
MA2,0.03,0.23,0.67,1.41,1.41,1.41,1.41,1.41,1.41
PHCA,0.31,1.71,3.69,5.32,5.32,5.33,5.33,5.34,5.34
PHDA4,0.11,0.48,0.81,1.07,1.30,1.41,1.52,1.52,1.52
PICH,0.08,0.33,1.05,1.05,1.05,1.05,1.05,1.05,1.05
PIED,0.03,0.20,0.66,1.50,1.50,1.50,1.50,1.50,1.50
PINI,0.03,0.29,1.08,2.52,4.26,6.28,8.52,10.91,13.48
PIPO,0.02,0.19,0.75,2.52,5.43,9.43,13.76,13.76,13.76
PISY,0.03,0.24,0.95,2.37,4.07,4.07,4.07,4.07,4.07
PLAC,0.04,0.40,1.99,5.38,10.11,15.75,15.75,15.75,15.75
POAN,0.06,0.53,1.77,3.99,6.64,9.55,12.65,15.89,19.10
POFR,0.18,0.65,1.76,3.78,6.14,8.61,8.61,8.61,8.61
PRCE,0.02,0.23,0.76,0.76,0.76,0.76,0.76,0.76,0.76
PYCA,0.02,0.24,0.95,0.95,0.95,0.95,0.95,0.95,0.95
ULPU,0.15,0.36,0.91,2.90,5.93,9.89,14.59,19.56,19.56
WARO,0.03,0.16,0.39,0.66,0.94,1.20,1.30,1.35,1.35
BDL OTHER,0.04,0.27,1.25,3.72,7.59,12.99,12.99,12.99,12.99
BDM OTHER,0.04,0.23,0.95,2.53,2.53,2.53,2.53,2.53,2.53
BDS OTHER,0.04,0.32,1.01,2.21,2.21,2.21,2.21,2.21,2.21
CEL OTHER,0.02,0.19,0.75,2.52,5.43,9.43,13.76,13.76,13.76
CEM OTHER,0.03,0.29,1.08,2.52,4.26,6.28,8.52,10.91,13.48
CES OTHER,0.03,0.20,0.66,1.50,1.50,1.50,1.50,1.50,1.50
BEL OTHER,0.20,0.97,2.62,5.54,9.03,13.02,17.36,21.97,26.74
BEM OTHER,0.11,0.97,3.13,7.09,11.97,17.58,17.58,17.58,17.58
BES OTHER,0.08,0.26,0.97,2.97,2.97,2.97,2.97,2.97,2.97
PEL OTHER,0.31,1.71,3.69,5.32,5.32,5.33,5.33,5.34,5.34
PEM OTHER,0.11,0.48,0.81,1.07,1.30,1.41,1.52,1.52,1.52
PES OTHER,0.03,0.16,0.39,0.66,0.94,1.20,1.30,1.35,1.35
