,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,-0.1,56.9,109.3,162.5,203.2,203.2,203.2,203.2,203.2
ELAN,33.3,74.4,155.8,280.2,399.8,499.0,574.6,574.6,574.6
EUGL,11.6,43.6,118.2,242.5,366.3,473.0,556.3,616.3,654.9
EUMI2,3.0,47.4,154.8,296.0,408.0,486.7,486.7,486.7,486.7
FRAM,6.3,45.1,156.4,341.6,506.2,616.4,616.4,616.4,616.4
FRAN2,7.4,39.7,120.9,248.1,248.1,248.1,248.1,248.1,248.1
FRPE,3.9,54.8,181.5,340.7,463.2,551.7,551.7,551.7,551.7
FRVE,6.2,67.4,198.7,353.6,468.3,549.7,605.6,605.6,605.6
GLTR,8.7,73.7,193.6,327.8,428.8,503.0,558.3,558.3,558.3
ILOP,13.8,38.6,91.9,190.7,190.7,190.7,190.7,190.7,190.7
KOPA,6.1,49.7,134.9,236.7,236.7,236.7,236.7,236.7,236.7
MA2,9.3,59.5,142.1,232.6,232.6,232.6,232.6,232.6,232.6
PHCA,22.4,104.2,220.5,350.7,360.3,366.9,370.9,373.6,373.6
PHDA4,7.6,38.4,69.1,88.7,104.5,105.4,106.1,106.4,106.4
PICH,15.6,55.3,136.2,136.2,136.2,136.2,136.2,136.2,136.2
PIED,4.6,28.4,75.1,131.9,131.9,131.9,131.9,131.9,131.9
PINI,3.9,33.5,97.1,181.3,254.7,316.5,369.1,413.1,450.5
PIPO,2.2,26.9,90.6,185.4,272.5,347.8,410.9,410.9,410.9
PISY,3.0,32.1,101.2,196.8,280.4,280.4,280.4,280.4,280.4
PLAC,4.3,57.6,189.5,355.4,481.3,571.2,571.2,571.2,571.2
POAN,6.0,61.1,179.8,323.4,433.8,514.3,572.5,613.5,640.3
POFR,22.4,73.6,182.2,328.6,444.4,522.2,522.2,522.2,522.2
PRCE,3.9,37.8,111.3,111.3,111.3,111.3,111.3,111.3,111.3
PYCA,3.3,37.7,122.7,122.7,122.7,122.7,122.7,122.7,122.7
ULPU,23.6,51.6,122.6,262.9,427.9,573.2,655.7,616.6,616.6
WARO,2.0,11.1,28.3,47.7,66.2,82.3,94.0,100.0,100.0
BDL OTHER,6.3,45.1,156.4,341.6,506.2,616.4,616.4,616.4,616.4
BDM OTHER,7.4,39.7,120.9,248.1,248.1,248.1,248.1,248.1,248.1
BDS OTHER,6.1,49.7,134.9,236.7,236.7,236.7,236.7,236.7,236.7
CEL OTHER,2.2,26.9,90.6,185.4,272.5,347.8,410.9,410.9,410.9
CEM OTHER,3.9,33.5,97.1,181.3,254.7,316.5,369.1,413.1,450.5
CES OTHER,4.6,28.4,75.1,131.9,131.9,131.9,131.9,131.9,131.9
BEL OTHER,11.6,43.6,118.2,242.5,366.3,473.0,556.3,616.3,654.9
BEM OTHER,3.0,47.4,154.8,296.0,408.0,486.7,486.7,486.7,486.7
BES OTHER,13.8,38.6,91.9,190.7,190.7,190.7,190.7,190.7,190.7
PEL OTHER,22.4,104.2,220.5,350.7,360.3,366.9,370.9,373.6,373.6
PEM OTHER,7.6,38.4,69.1,88.7,104.5,105.4,106.1,106.4,106.4
PES OTHER,2.0,11.1,28.3,47.7,66.2,82.3,94.0,100.0,100.0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Natural Gas Benefits per tree (kBtu/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
