,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,1.0,3.6,10.3,19.1,25.7,-7.1,-7.1,-7.1,-7.1
ELAN,3.2,17.8,49.1,94.7,125.3,134.4,123.0,-22.9,-22.9
EUGL,5.1,32.3,105.0,222.1,356.1,473.1,563.8,634.4,672.0
EUMI2,4.8,22.1,75.4,133.7,177.0,139.0,-39.8,-39.8,-39.8
FRAM,1.4,8.3,32.6,90.2,170.5,253.0,-22.5,-22.5,-22.5
FRAN2,2.2,7.9,18.9,22.0,-5.2,-5.2,-5.2,-5.2,-5.2
FRPE,2.8,10.2,23.4,34.3,38.5,33.6,-25.4,-25.7,-26.1
FRVE,1.4,6.9,25.9,68.3,132.6,201.7,300.8,-40.9,-40.9
GLTR,10.0,15.7,42.3,85.2,140.7,202.7,276.6,-62.8,-62.8
ILOP,2.6,10.4,34.1,27.5,-9.5,-9.5,-9.5,-9.5,-9.5
KOPA,1.6,6.7,10.9,9.6,-5.3,-5.6,-5.6,-5.6,-5.6
MA2,5.5,12.4,25.6,27.0,-10.6,-10.6,-10.6,-10.6,-10.6
PHCA,7.5,6.5,5.1,3.5,2.3,0.9,-0.8,-3.3,-3.4
PHDA4,5.3,6.0,6.1,5.8,5.0,3.7,0.7,-1.2,-3.4
PICH,1.0,2.6,4.5,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
PIED,0.7,3.6,7.7,1.6,-4.6,-4.6,-4.6,-4.6,-4.6
PINI,0.8,7.3,24.7,54.8,90.4,129.6,171.2,214.4,258.9
PIPO,0.6,4.0,14.6,39.4,70.9,116.0,164.4,-27.6,-27.6
PISY,1.2,6.3,14.5,20.8,3.7,-8.0,-8.0,-8.0,-8.0
PLAC,1.9,12.2,32.6,67.7,89.1,72.0,-30.8,-31.2,-31.5
POAN,-0.5,-1.3,-1.5,-4.7,-10.4,-18.8,-30.4,-45.3,-63.7
POFR,-0.5,-1.2,-1.4,-5.0,-11.5,-20.7,-22.0,-22.4,-22.4
PRCE,3.2,21.7,45.2,-3.4,-3.4,-3.4,-3.4,-3.4,-3.4
PYCA,9.7,17.4,31.0,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9
ULPU,4.5,24.6,62.7,110.8,148.4,167.6,153.8,78.7,-93.2
WARO,13.6,13.0,11.8,10.6,9.3,7.9,6.5,4.8,2.9
BDL OTHER,1.4,8.3,32.6,90.2,170.5,253.0,-22.5,-22.5,-22.5
BDM OTHER,2.2,7.9,18.9,22.0,-5.2,-5.2,-5.2,-5.2,-5.2
BDS OTHER,1.6,6.7,10.9,9.6,-5.3,-5.6,-5.6,-5.6,-5.6
CEL OTHER,0.6,4.0,14.6,39.4,70.9,116.0,164.4,-27.6,-27.6
CEM OTHER,0.8,7.3,24.7,54.8,90.4,129.6,171.2,214.4,258.9
CES OTHER,0.7,3.6,7.7,1.6,-4.6,-4.6,-4.6,-4.6,-4.6
BEL OTHER,5.1,32.3,105.0,222.1,356.1,473.1,563.8,634.4,672.0
BEM OTHER,4.8,22.1,75.4,133.7,177.0,139.0,-39.8,-39.8,-39.8
BES OTHER,2.6,10.4,34.1,27.5,-9.5,-9.5,-9.5,-9.5,-9.5
PEL OTHER,7.5,6.5,5.1,3.5,2.3,0.9,-0.8,-3.3,-3.4
PEM OTHER,5.3,6.0,6.1,5.8,5.0,3.7,0.7,-1.2,-3.4
PES OTHER,13.6,13.0,11.8,10.6,9.3,7.9,6.5,4.8,2.9
