,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,776,474,115,2,0,0,0,0,0
ELAN,54,357,307,139,18,14,1,1,1
EUGL,0,0,0,0,0,0,0,0,0
EUMI2,0,0,0,0,0,0,0,0,0
FRAM,66,106,178,45,11,3,0,1,0
FRAN2,134,151,58,5,2,1,1,0,0
FRPE,42,291,415,110,48,15,2,0,0
FRVE,207,374,765,162,53,20,10,5,0
GLTR,208,573,1084,210,42,17,0,5,2
ILOP,0,0,0,0,0,0,0,0,0
KOPA,42,103,94,14,1,0,0,0,0
MA2,158,220,141,32,2,0,0,0,0
PHCA,0,0,0,0,0,0,0,0,0
PHDA4,0,0,0,0,0,0,0,0,0
PICH,88,65,69,16,1,0,0,0,0
PIED,164,146,100,11,1,0,0,0,0
PINI,131,360,420,237,28,8,0,0,0
PIPO,10,12,121,153,31,13,1,0,0
PISY,15,71,305,197,19,5,1,0,0
PLAC,59,293,637,306,75,15,1,0,0
POAN,20,52,107,64,47,66,16,13,4
POFR,8,17,69,69,35,48,45,70,49
PRCE,170,123,175,13,2,0,0,0,0
PYCA,113,310,281,25,0,0,0,0,0
ULPU,52,97,156,141,150,286,214,198,142
WARO,0,0,0,0,0,0,0,0,0
BDL OTHER,169,215,378,109,54,51,19,39,41
BDM OTHER,747,753,471,119,57,22,10,7,4
BDS OTHER,888,268,126,13,5,2,0,0,0
CEL OTHER,45,17,43,51,13,4,0,0,0
CEM OTHER,219,124,170,80,27,21,7,6,0
CES OTHER,0,0,2,2,0,0,0,0,0
BEL OTHER,0,0,0,0,0,0,0,0,0
BEM OTHER,0,0,0,0,0,0,0,0,0
BES OTHER,1,0,0,0,0,0,0,0,0
PEL OTHER,0,0,0,0,0,0,0,0,0
PEM OTHER,0,0,0,0,0,0,0,0,0
PES OTHER,0,0,0,0,0,0,0,0,0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Tree Numbers,,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
