,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0000,0.0068,0.0140,0.0217,0.0272,0.0272,0.0272,0.0272,0.0272
ELAN,0.0039,0.0090,0.0203,0.0422,0.0642,0.0920,0.1240,0.1240,0.1240
EUGL,0.0015,0.0055,0.0154,0.0356,0.0560,0.0809,0.1090,0.1397,0.1714
EUMI2,0.0005,0.0064,0.0216,0.0473,0.0697,0.0945,0.0945,0.0945,0.0945
FRAM,0.0007,0.0055,0.0206,0.0550,0.0949,0.1511,0.1511,0.1511,0.1511
FRAN2,0.0008,0.0049,0.0157,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353
FRPE,0.0006,0.0070,0.0242,0.0541,0.0811,0.1111,0.1111,0.1111,0.1111
FRVE,0.0007,0.0084,0.0269,0.0566,0.0826,0.1105,0.1398,0.1398,0.1398
GLTR,0.0010,0.0092,0.0259,0.0510,0.0712,0.0924,0.1133,0.1133,0.1133
ILOP,0.0015,0.0047,0.0129,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289
KOPA,0.0007,0.0062,0.0179,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338
MA2,0.0010,0.0071,0.0181,0.0320,0.0320,0.0320,0.0320,0.0320,0.0320
PHCA,0.0025,0.0139,0.0322,0.0567,0.0569,0.0569,0.0567,0.0566,0.0566
PHDA4,0.0008,0.0049,0.0088,0.0117,0.0133,0.0133,0.0133,0.0132,0.0132
PICH,0.0018,0.0067,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
PIED,0.0005,0.0038,0.0100,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179
PINI,0.0004,0.0043,0.0132,0.0268,0.0383,0.0502,0.0613,0.0721,0.0832
PIPO,0.0002,0.0032,0.0121,0.0277,0.0417,0.0572,0.0722,0.0722,0.0722
PISY,0.0004,0.0041,0.0137,0.0294,0.0426,0.0426,0.0426,0.0426,0.0426
PLAC,0.0005,0.0073,0.0260,0.0583,0.0878,0.1209,0.1209,0.1209,0.1209
POAN,0.0006,0.0077,0.0240,0.0508,0.0731,0.0974,0.1225,0.1472,0.1719
POFR,0.0025,0.0093,0.0246,0.0518,0.0755,0.0989,0.0989,0.0989,0.0989
PRCE,0.0004,0.0047,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144
PYCA,0.0004,0.0047,0.0160,0.0160,0.0160,0.0160,0.0160,0.0160,0.0160
ULPU,0.0027,0.0068,0.0166,0.0414,0.0725,0.1244,0.1997,0.2918,0.2918
WARO,0.0002,0.0015,0.0035,0.0060,0.0081,0.0102,0.0117,0.0124,0.0124
BDL OTHER,0.0007,0.0055,0.0206,0.0550,0.0949,0.1511,0.1511,0.1511,0.1511
BDM OTHER,0.0008,0.0049,0.0157,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353
BDS OTHER,0.0007,0.0062,0.0179,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338
CEL OTHER,0.0002,0.0032,0.0121,0.0277,0.0417,0.0572,0.0722,0.0722,0.0722
CEM OTHER,0.0004,0.0043,0.0132,0.0268,0.0383,0.0502,0.0613,0.0721,0.0832
CES OTHER,0.0005,0.0038,0.0100,0.0179,0.0179,0.0179,0.0179,0.0179,0.0179
BEL OTHER,0.0015,0.0055,0.0154,0.0356,0.0560,0.0809,0.1090,0.1397,0.1714
BEM OTHER,0.0005,0.0064,0.0216,0.0473,0.0697,0.0945,0.0945,0.0945,0.0945
BES OTHER,0.0015,0.0047,0.0129,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289
PEL OTHER,0.0025,0.0139,0.0322,0.0567,0.0569,0.0569,0.0567,0.0566,0.0566
PEM OTHER,0.0008,0.0049,0.0088,0.0117,0.0133,0.0133,0.0133,0.0132,0.0132
PES OTHER,0.0002,0.0015,0.0035,0.0060,0.0081,0.0102,0.0117,0.0124,0.0124
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
