,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0034,0.0146,0.0299,0.0463,0.0581,0.0581,0.0581,0.0581,0.0581
ELAN,0.0084,0.0193,0.0433,0.0900,0.1372,0.1965,0.2651,0.2651,0.2651
EUGL,0.0031,0.0116,0.0327,0.0759,0.1196,0.1729,0.2330,0.2986,0.3667
EUMI2,0.0012,0.0136,0.0460,0.1009,0.1488,0.2018,0.2018,0.2018,0.2018
FRAM,0.0015,0.0118,0.0440,0.1172,0.2027,0.3230,0.3230,0.3230,0.3230
FRAN2,0.0017,0.0105,0.0334,0.0753,0.0753,0.0753,0.0753,0.0753,0.0753
FRPE,0.0012,0.0149,0.0516,0.1154,0.1731,0.2375,0.2375,0.2375,0.2375
FRVE,0.0015,0.0179,0.0575,0.1207,0.1763,0.2361,0.2988,0.2988,0.2988
GLTR,0.0020,0.0195,0.0553,0.1088,0.1521,0.1974,0.2421,0.2421,0.2421
ILOP,0.0031,0.0101,0.0275,0.0615,0.0615,0.0615,0.0615,0.0615,0.0615
KOPA,0.0015,0.0133,0.0381,0.0721,0.0721,0.0721,0.0721,0.0721,0.0721
MA2,0.0021,0.0152,0.0387,0.0682,0.0682,0.0682,0.0682,0.0682,0.0682
PHCA,0.0053,0.0296,0.0687,0.1210,0.1214,0.1214,0.1211,0.1208,0.1208
PHDA4,0.0017,0.0104,0.0187,0.0249,0.0284,0.0284,0.0283,0.0283,0.0283
PICH,0.0038,0.0144,0.0377,0.0377,0.0377,0.0377,0.0377,0.0377,0.0377
PIED,0.0012,0.0082,0.0213,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383
PINI,0.0009,0.0091,0.0283,0.0571,0.0817,0.1072,0.1309,0.1541,0.1778
PIPO,0.0005,0.0069,0.0258,0.0590,0.0890,0.1221,0.1542,0.1542,0.1542
PISY,0.0008,0.0087,0.0293,0.0627,0.0911,0.0911,0.0911,0.0911,0.0911
PLAC,0.0012,0.0156,0.0554,0.1243,0.1875,0.2584,0.2584,0.2584,0.2584
POAN,0.0014,0.0164,0.0513,0.1084,0.1561,0.2079,0.2618,0.3146,0.3677
POFR,0.0054,0.0198,0.0525,0.1105,0.1612,0.2112,0.2112,0.2112,0.2112
PRCE,0.0009,0.0100,0.0308,0.0308,0.0308,0.0308,0.0308,0.0308,0.0308
PYCA,0.0008,0.0100,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342,0.0342
ULPU,0.0058,0.0144,0.0354,0.0882,0.1548,0.2659,0.4274,0.6251,0.6251
WARO,0.0005,0.0031,0.0075,0.0128,0.0172,0.0218,0.0249,0.0265,0.0264
BDL OTHER,0.0015,0.0118,0.0440,0.1172,0.2027,0.3230,0.3230,0.3230,0.3230
BDM OTHER,0.0017,0.0105,0.0334,0.0753,0.0753,0.0753,0.0753,0.0753,0.0753
BDS OTHER,0.0015,0.0133,0.0381,0.0721,0.0721,0.0721,0.0721,0.0721,0.0721
CEL OTHER,0.0005,0.0069,0.0258,0.0590,0.0890,0.1221,0.1542,0.1542,0.1542
CEM OTHER,0.0009,0.0091,0.0283,0.0571,0.0817,0.1072,0.1309,0.1541,0.1778
CES OTHER,0.0012,0.0082,0.0213,0.0383,0.0383,0.0383,0.0383,0.0383,0.0383
BEL OTHER,0.0031,0.0116,0.0327,0.0759,0.1196,0.1729,0.2330,0.2986,0.3667
BEM OTHER,0.0012,0.0136,0.0460,0.1009,0.1488,0.2018,0.2018,0.2018,0.2018
BES OTHER,0.0031,0.0101,0.0275,0.0615,0.0615,0.0615,0.0615,0.0615,0.0615
PEL OTHER,0.0053,0.0296,0.0687,0.1210,0.1214,0.1214,0.1211,0.1208,0.1208
PEM OTHER,0.0017,0.0104,0.0187,0.0249,0.0284,0.0284,0.0283,0.0283,0.0283
PES OTHER,0.0005,0.0031,0.0075,0.0128,0.0172,0.0218,0.0249,0.0265,0.0264
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
