,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0000,0.0310,0.0637,0.0986,0.1237,0.1237,0.1237,0.1237,0.1237
ELAN,0.0178,0.0410,0.0921,0.1922,0.2929,0.4204,0.5684,0.5684,0.5684
EUGL,0.0066,0.0247,0.0697,0.1621,0.2553,0.3695,0.4990,0.6407,0.7879
EUMI2,0.0025,0.0290,0.0979,0.2159,0.3182,0.4323,0.4323,0.4323,0.4323
FRAM,0.0033,0.0250,0.0937,0.2508,0.4340,0.6938,0.6938,0.6938,0.6938
FRAN2,0.0036,0.0222,0.0711,0.1605,0.1605,0.1605,0.1605,0.1605,0.1605
FRPE,0.0025,0.0316,0.1098,0.2467,0.3703,0.5089,0.5089,0.5089,0.5089
FRVE,0.0033,0.0381,0.1224,0.2581,0.3771,0.5061,0.6413,0.6413,0.6413
GLTR,0.0043,0.0415,0.1176,0.2324,0.3250,0.4225,0.5188,0.5188,0.5188
ILOP,0.0066,0.0214,0.0585,0.1314,0.1314,0.1314,0.1314,0.1314,0.1314
KOPA,0.0032,0.0283,0.0811,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536
MA2,0.0043,0.0322,0.0823,0.1453,0.1453,0.1453,0.1453,0.1453,0.1453
PHCA,0.0112,0.0629,0.1463,0.2584,0.2591,0.2590,0.2585,0.2577,0.2577
PHDA4,0.0036,0.0222,0.0398,0.0530,0.0605,0.0604,0.0602,0.0600,0.0600
PICH,0.0081,0.0305,0.0801,0.0801,0.0801,0.0801,0.0801,0.0801,0.0801
PIED,0.0025,0.0175,0.0454,0.0815,0.0815,0.0815,0.0815,0.0815,0.0815
PINI,0.0018,0.0194,0.0601,0.1219,0.1743,0.2289,0.2798,0.3295,0.3805
PIPO,0.0010,0.0146,0.0548,0.1261,0.1900,0.2610,0.3298,0.3298,0.3298
PISY,0.0017,0.0186,0.0623,0.1339,0.1942,0.1942,0.1942,0.1942,0.1942
PLAC,0.0025,0.0332,0.1180,0.2660,0.4015,0.5543,0.5543,0.5543,0.5543
POAN,0.0029,0.0349,0.1092,0.2317,0.3338,0.4453,0.5616,0.6757,0.7905
POFR,0.0115,0.0422,0.1119,0.2363,0.3448,0.4524,0.4524,0.4524,0.4524
PRCE,0.0018,0.0211,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655,0.0655
PYCA,0.0017,0.0214,0.0727,0.0727,0.0727,0.0727,0.0727,0.0727,0.0727
ULPU,0.0123,0.0306,0.0755,0.1889,0.3310,0.5705,0.9197,1.3489,1.3489
WARO,0.0010,0.0066,0.0160,0.0273,0.0366,0.0463,0.0529,0.0563,0.0561
BDL OTHER,0.0033,0.0250,0.0937,0.2508,0.4340,0.6938,0.6938,0.6938,0.6938
BDM OTHER,0.0036,0.0222,0.0711,0.1605,0.1605,0.1605,0.1605,0.1605,0.1605
BDS OTHER,0.0032,0.0283,0.0811,0.1536,0.1536,0.1536,0.1536,0.1536,0.1536
CEL OTHER,0.0010,0.0146,0.0548,0.1261,0.1900,0.2610,0.3298,0.3298,0.3298
CEM OTHER,0.0018,0.0194,0.0601,0.1219,0.1743,0.2289,0.2798,0.3295,0.3805
CES OTHER,0.0025,0.0175,0.0454,0.0815,0.0815,0.0815,0.0815,0.0815,0.0815
BEL OTHER,0.0066,0.0247,0.0697,0.1621,0.2553,0.3695,0.4990,0.6407,0.7879
BEM OTHER,0.0025,0.0290,0.0979,0.2159,0.3182,0.4323,0.4323,0.4323,0.4323
BES OTHER,0.0066,0.0214,0.0585,0.1314,0.1314,0.1314,0.1314,0.1314,0.1314
PEL OTHER,0.0112,0.0629,0.1463,0.2584,0.2591,0.2590,0.2585,0.2577,0.2577
PEM OTHER,0.0036,0.0222,0.0398,0.0530,0.0605,0.0604,0.0602,0.0600,0.0600
PES OTHER,0.0010,0.0066,0.0160,0.0273,0.0366,0.0463,0.0529,0.0563,0.0561
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
