SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
CHLI,Chilopsis linearis,Desertwillow,BDS,CHLI,0.00,,2,B,Property Value,,,,,
ELAN,Elaeagnus angustifolia,Russian olive,BDS,ELAN,0.00,x,3,C,AQ Ozone dep,,,,,
EUGL,Eucalyptus globulus,Blue gum eucalyptus,BEL,EUGL,0.00,x,4,D,AQ NOx dep,,,,,
EUMI2,Eucalyptus microtheca,Coolibah tree,BEM,EUMI2,0.00,x,5,E,AQ PM10 dep,,,,,
FRAM,Fraxinus americana,White ash,BDL,FRAM,0.00,n/a,6,F,AQ SOx dep,,,,,
FRAN2,Fraxinus angustifolia,Raywood ash,BDM,FRAN2,0.00,x,7,G,AQ NOx avoided,,,,,
FRPE,Fraxinus pennsylvanica,Green ash,BDL,FRPE,0.00,x,8,H,AQ PM10 avoided,,,,,
FRVE,Fraxinus velutina,Velvet ash,BDL,FRVE,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,n/a,10,J,AQ SOx avoided,,,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
KOPA,Koelreuteria paniculata,Goldenrain tree,BDM,KOPA,0.00,x,12,L,CO2 avoided,,,,,
MA2,Malus sp.,Apple,BDS,MA2,0.00,,13,M,Natural Gas,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,x,14,N,Electricity,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,x,15,O,LSA,,,,,
PICH,Pistacia chinensis,Chinese pistache,BDM,PICH,0.00,,16,P,DBH BY AGE CLASS,,,,,
PIED,Pinus edulis,Pinyon pine,CES,PIED,0.00,,17,Q,Numbers,,,,,
PINI,Pinus nigra,Austrian pine,CEM,PINI,0.00,,,R,Species Codes,,,,,
PIPO,Pinus ponderosa,Ponderosa pine,CEL,PIPO,0.00,,,S,Interpolation range,,,,,
PISY,Pinus sylvestris,Scotch pine,CEL,PISY,0.00,,,,,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,,,,,,,,,
POAN,Populus angustifolia,Narrowleaf cottonwood,BDL,POAN,0.00,,,,,,,,,
POFR,Populus fremontii,Fremont cottonwood,BDL,POFR,0.00,,,,,,,,,
PRCE,Prunus cerasifera,Cherry plum,BDS,PRCE,0.00,,,,,,,,,
PYCA,Pyrus calleryana,Callery pear,BDS,PYCA,0.00,,,,,,,,,
ULPU,Ulmus pumila,Siberian elm,BDL,ULPU,0.00,,,,,,,,,
WARO,Washingtonia robusta,Mexican fan palm,PES,WARO,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,FRAM,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,FRAN2,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,KOPA,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIPO,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PINI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PIED,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,EUGL,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,EUMI2,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WARO,0.00,,,,,,,,,
