,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0000,0.0068,0.0139,0.0215,0.0269,0.0269,0.0269,0.0269,0.0269
ELAN,0.0039,0.0089,0.0200,0.0417,0.0635,0.0910,0.1228,0.1228,0.1228
EUGL,0.0014,0.0054,0.0152,0.0352,0.0554,0.0801,0.1079,0.1384,0.1699
EUMI2,0.0005,0.0063,0.0213,0.0468,0.0690,0.0935,0.0935,0.0935,0.0935
FRAM,0.0007,0.0054,0.0204,0.0544,0.0939,0.1497,0.1497,0.1497,0.1497
FRAN2,0.0008,0.0048,0.0155,0.0349,0.0349,0.0349,0.0349,0.0349,0.0349
FRPE,0.0005,0.0069,0.0239,0.0535,0.0802,0.1101,0.1101,0.1101,0.1101
FRVE,0.0007,0.0083,0.0266,0.0560,0.0817,0.1094,0.1385,0.1385,0.1385
GLTR,0.0009,0.0090,0.0256,0.0505,0.0705,0.0915,0.1122,0.1122,0.1122
ILOP,0.0014,0.0047,0.0127,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285
KOPA,0.0007,0.0062,0.0177,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334
MA2,0.0009,0.0070,0.0179,0.0316,0.0316,0.0316,0.0316,0.0316,0.0316
PHCA,0.0024,0.0137,0.0318,0.0561,0.0562,0.0562,0.0561,0.0560,0.0560
PHDA4,0.0008,0.0048,0.0087,0.0115,0.0132,0.0132,0.0131,0.0131,0.0131
PICH,0.0018,0.0067,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174,0.0174
PIED,0.0005,0.0038,0.0099,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
PINI,0.0004,0.0042,0.0131,0.0265,0.0379,0.0497,0.0607,0.0714,0.0824
PIPO,0.0002,0.0032,0.0119,0.0274,0.0412,0.0566,0.0715,0.0715,0.0715
PISY,0.0004,0.0040,0.0136,0.0291,0.0422,0.0422,0.0422,0.0422,0.0422
PLAC,0.0005,0.0072,0.0257,0.0577,0.0869,0.1198,0.1198,0.1198,0.1198
POAN,0.0006,0.0076,0.0238,0.0503,0.0724,0.0964,0.1214,0.1458,0.1704
POFR,0.0025,0.0092,0.0243,0.0513,0.0747,0.0979,0.0979,0.0979,0.0979
PRCE,0.0004,0.0046,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143
PYCA,0.0004,0.0047,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158,0.0158
ULPU,0.0027,0.0067,0.0164,0.0410,0.0717,0.1233,0.1981,0.2897,0.2897
WARO,0.0002,0.0014,0.0035,0.0060,0.0080,0.0101,0.0115,0.0123,0.0122
BDL OTHER,0.0007,0.0054,0.0204,0.0544,0.0939,0.1497,0.1497,0.1497,0.1497
BDM OTHER,0.0008,0.0048,0.0155,0.0349,0.0349,0.0349,0.0349,0.0349,0.0349
BDS OTHER,0.0007,0.0062,0.0177,0.0334,0.0334,0.0334,0.0334,0.0334,0.0334
CEL OTHER,0.0002,0.0032,0.0119,0.0274,0.0412,0.0566,0.0715,0.0715,0.0715
CEM OTHER,0.0004,0.0042,0.0131,0.0265,0.0379,0.0497,0.0607,0.0714,0.0824
CES OTHER,0.0005,0.0038,0.0099,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
BEL OTHER,0.0014,0.0054,0.0152,0.0352,0.0554,0.0801,0.1079,0.1384,0.1699
BEM OTHER,0.0005,0.0063,0.0213,0.0468,0.0690,0.0935,0.0935,0.0935,0.0935
BES OTHER,0.0014,0.0047,0.0127,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285
PEL OTHER,0.0024,0.0137,0.0318,0.0561,0.0562,0.0562,0.0561,0.0560,0.0560
PEM OTHER,0.0008,0.0048,0.0087,0.0115,0.0132,0.0132,0.0131,0.0131,0.0131
PES OTHER,0.0002,0.0014,0.0035,0.0060,0.0080,0.0101,0.0115,0.0123,0.0122
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
