,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
CHLI,0.0034,0.0144,0.0296,0.0457,0.0574,0.0574,0.0574,0.0574,0.0574
ELAN,0.0083,0.0191,0.0428,0.0890,0.1357,0.1945,0.2626,0.2626,0.2626
EUGL,0.0031,0.0115,0.0323,0.0750,0.1183,0.1711,0.2307,0.2959,0.3635
EUMI2,0.0012,0.0134,0.0454,0.0998,0.1472,0.1998,0.1998,0.1998,0.1998
FRAM,0.0015,0.0116,0.0435,0.1160,0.2007,0.3202,0.3202,0.3202,0.3202
FRAN2,0.0017,0.0103,0.0330,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744
FRPE,0.0012,0.0147,0.0509,0.1141,0.1713,0.2352,0.2352,0.2352,0.2352
FRVE,0.0015,0.0177,0.0568,0.1194,0.1745,0.2339,0.2961,0.2961,0.2961
GLTR,0.0020,0.0193,0.0546,0.1076,0.1505,0.1955,0.2398,0.2398,0.2398
ILOP,0.0031,0.0100,0.0271,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609
KOPA,0.0015,0.0132,0.0377,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713
MA2,0.0020,0.0150,0.0382,0.0674,0.0674,0.0674,0.0674,0.0674,0.0674
PHCA,0.0052,0.0292,0.0679,0.1197,0.1200,0.1200,0.1198,0.1195,0.1195
PHDA4,0.0017,0.0103,0.0185,0.0246,0.0281,0.0281,0.0280,0.0279,0.0279
PICH,0.0038,0.0142,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372,0.0372
PIED,0.0011,0.0081,0.0211,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378
PINI,0.0008,0.0090,0.0279,0.0564,0.0808,0.1060,0.1296,0.1525,0.1760
PIPO,0.0005,0.0068,0.0255,0.0584,0.0880,0.1208,0.1526,0.1526,0.1526
PISY,0.0008,0.0086,0.0289,0.0620,0.0901,0.0901,0.0901,0.0901,0.0901
PLAC,0.0012,0.0154,0.0547,0.1230,0.1856,0.2560,0.2560,0.2560,0.2560
POAN,0.0013,0.0162,0.0506,0.1072,0.1544,0.2059,0.2594,0.3118,0.3646
POFR,0.0054,0.0196,0.0519,0.1093,0.1596,0.2092,0.2092,0.2092,0.2092
PRCE,0.0009,0.0098,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305
PYCA,0.0008,0.0099,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337
ULPU,0.0057,0.0142,0.0350,0.0873,0.1532,0.2635,0.4239,0.6207,0.6207
WARO,0.0005,0.0031,0.0074,0.0127,0.0170,0.0215,0.0246,0.0262,0.0261
BDL OTHER,0.0015,0.0116,0.0435,0.1160,0.2007,0.3202,0.3202,0.3202,0.3202
BDM OTHER,0.0017,0.0103,0.0330,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744
BDS OTHER,0.0015,0.0132,0.0377,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713
CEL OTHER,0.0005,0.0068,0.0255,0.0584,0.0880,0.1208,0.1526,0.1526,0.1526
CEM OTHER,0.0008,0.0090,0.0279,0.0564,0.0808,0.1060,0.1296,0.1525,0.1760
CES OTHER,0.0011,0.0081,0.0211,0.0378,0.0378,0.0378,0.0378,0.0378,0.0378
BEL OTHER,0.0031,0.0115,0.0323,0.0750,0.1183,0.1711,0.2307,0.2959,0.3635
BEM OTHER,0.0012,0.0134,0.0454,0.0998,0.1472,0.1998,0.1998,0.1998,0.1998
BES OTHER,0.0031,0.0100,0.0271,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609
PEL OTHER,0.0052,0.0292,0.0679,0.1197,0.1200,0.1200,0.1198,0.1195,0.1195
PEM OTHER,0.0017,0.0103,0.0185,0.0246,0.0281,0.0281,0.0280,0.0279,0.0279
PES OTHER,0.0005,0.0031,0.0074,0.0127,0.0170,0.0215,0.0246,0.0262,0.0261
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
