#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0021,0.0187,0.0555,0.1076,0.1473,0.1858,0.2202,0.2531,0.2531
ACRU,0.0024,0.0225,0.0663,0.1227,0.1663,0.2077,0.2077,0.2077,0.2077
ACSA1,0.0032,0.0225,0.0585,0.1034,0.1363,0.1687,0.1970,0.2219,0.2460
ACSA2,0.0039,0.0255,0.0665,0.1170,0.1546,0.1892,0.1892,0.1892,0.1892
CASP,0.0029,0.0180,0.0430,0.0735,0.0955,0.1167,0.1354,0.1533,0.1685
CECA,0.0046,0.0176,0.0375,0.0577,0.0577,0.0577,0.0577,0.0577,0.0577
CEOC,0.0023,0.0205,0.0602,0.1138,0.1559,0.1963,0.2339,0.2677,0.2987
FRAM,0.0024,0.0212,0.0608,0.1133,0.1534,0.1919,0.1919,0.1919,0.1919
FRPE,0.0021,0.0187,0.0617,0.1206,0.1676,0.2130,0.2561,0.2561,0.2561
GLTR,0.0036,0.0281,0.0756,0.1423,0.1927,0.1927,0.1927,0.1927,0.1927
ILOP,0.0035,0.0096,0.0234,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567
JUNI,0.0037,0.0154,0.0458,0.1013,0.1482,0.1935,0.2304,0.2304,0.2304
MA2,0.0030,0.0154,0.0481,0.0862,0.1154,0.1154,0.1154,0.1154,0.1154
MAGR,0.0065,0.0141,0.0352,0.0820,0.1313,0.1946,0.2656,0.3397,0.3397
MO,0.0040,0.0250,0.0695,0.1223,0.1611,0.1971,0.2294,0.2587,0.2848
PHCA,0.0014,0.0070,0.0212,0.0521,0.0523,0.0525,0.0525,0.0525,0.0525
PHDA4,0.0027,0.0116,0.0287,0.0506,0.0655,0.0796,0.0796,0.0796,0.0796
PICO5,0.0014,0.0065,0.0202,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514
PINI,0.0028,0.0123,0.0276,0.0487,0.0637,0.0789,0.0789,0.0789,0.0789
PIPU,0.0028,0.0055,0.0138,0.0378,0.0621,0.0968,0.0968,0.0968,0.0968
PIST,0.0021,0.0133,0.0395,0.0779,0.1086,0.1086,0.1086,0.1086,0.1086
PODE,0.0007,0.0102,0.0421,0.0936,0.1386,0.1872,0.1872,0.1872,0.1872
PYCA,0.0020,0.0150,0.0457,0.0457,0.0457,0.0457,0.0457,0.0457,0.0457
QUIL2,0.0033,0.0110,0.0398,0.0946,0.1455,0.2012,0.2525,0.2525,0.2525
QURU,0.0034,0.0269,0.0733,0.1356,0.1836,0.2297,0.2719,0.3092,0.3434
TICO,0.0015,0.0139,0.0446,0.0890,0.1243,0.1607,0.1607,0.1607,0.1607
ULPU,0.0052,0.0161,0.0462,0.1003,0.1501,0.2038,0.2558,0.3014,0.3391
WARO,0.0005,0.0029,0.0072,0.0120,0.0156,0.0191,0.0220,0.0236,0.0236
BDL OTHER,0.0021,0.0187,0.0617,0.1206,0.1676,0.2130,0.2561,0.2561,0.2561
BDM OTHER,0.0015,0.0139,0.0446,0.0890,0.1243,0.1607,0.1607,0.1607,0.1607
BDS OTHER,0.0046,0.0176,0.0375,0.0577,0.0577,0.0577,0.0577,0.0577,0.0577
CEL OTHER,0.0021,0.0133,0.0395,0.0779,0.1086,0.1086,0.1086,0.1086,0.1086
CEM OTHER,0.0028,0.0123,0.0276,0.0487,0.0637,0.0789,0.0789,0.0789,0.0789
CES OTHER,0.0014,0.0065,0.0202,0.0514,0.0514,0.0514,0.0514,0.0514,0.0514
BEL OTHER,0.0033,0.0110,0.0398,0.0946,0.1455,0.2012,0.2525,0.2525,0.2525
BEM OTHER,0.0065,0.0141,0.0352,0.0820,0.1313,0.1946,0.2656,0.3397,0.3397
BES OTHER,0.0035,0.0096,0.0234,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567
PEL OTHER,0.0014,0.0070,0.0212,0.0521,0.0523,0.0525,0.0525,0.0525,0.0525
PEM OTHER,0.0027,0.0116,0.0287,0.0506,0.0655,0.0796,0.0796,0.0796,0.0796
PES OTHER,0.0005,0.0029,0.0072,0.0120,0.0156,0.0191,0.0220,0.0236,0.0236
