#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.005,0.042,0.118,0.228,0.336,0.442,0.543,0.641,0.641
ACRU,0.006,0.047,0.132,0.253,0.372,0.488,0.488,0.488,0.488
ACSA1,0.007,0.048,0.122,0.217,0.307,0.391,0.470,0.545,0.616
ACSA2,0.008,0.054,0.136,0.244,0.345,0.439,0.439,0.439,0.439
CASP,0.007,0.038,0.088,0.151,0.207,0.258,0.306,0.350,0.392
CECA,0.011,0.047,0.096,0.151,0.151,0.151,0.151,0.151,0.151
CEOC,0.006,0.047,0.131,0.251,0.369,0.483,0.593,0.699,0.801
FRAM,0.006,0.045,0.125,0.238,0.348,0.454,0.454,0.454,0.454
FRPE,0.004,0.041,0.124,0.246,0.371,0.494,0.614,0.614,0.614
GLTR,0.009,0.071,0.195,0.368,0.536,0.536,0.536,0.536,0.536
ILOP,0.009,0.027,0.073,0.169,0.169,0.169,0.169,0.169,0.169
JUNI,0.009,0.033,0.093,0.200,0.319,0.432,0.526,0.526,0.526
MA2,0.006,0.040,0.100,0.177,0.248,0.248,0.248,0.248,0.248
MAGR,0.017,0.044,0.106,0.233,0.408,0.632,0.906,1.228,1.228
MO,0.009,0.059,0.147,0.262,0.369,0.468,0.562,0.650,0.734
PHCA,0.015,0.079,0.190,0.347,0.347,0.347,0.347,0.347,0.347
PHDA4,0.005,0.028,0.050,0.063,0.075,0.075,0.075,0.075,0.075
PICO5,0.004,0.020,0.065,0.151,0.151,0.151,0.151,0.151,0.151
PINI,0.007,0.038,0.085,0.141,0.191,0.235,0.235,0.235,0.235
PIPU,0.008,0.018,0.045,0.099,0.179,0.287,0.287,0.287,0.287
PIST,0.006,0.043,0.116,0.217,0.314,0.314,0.314,0.314,0.314
PODE,0.001,0.021,0.081,0.187,0.309,0.438,0.438,0.438,0.438
PYCA,0.004,0.035,0.100,0.100,0.100,0.100,0.100,0.100,0.100
QUIL2,0.009,0.039,0.114,0.257,0.433,0.623,0.812,0.812,0.812
QURU,0.007,0.057,0.157,0.298,0.434,0.566,0.691,0.812,0.928
TICO,0.004,0.033,0.096,0.190,0.284,0.377,0.377,0.377,0.377
ULPU,0.013,0.040,0.105,0.225,0.371,0.531,0.693,0.847,0.985
WARO,0.001,0.009,0.020,0.033,0.046,0.057,0.065,0.070,0.069
BDL OTHER,0.004,0.041,0.124,0.246,0.371,0.494,0.614,0.614,0.614
BDM OTHER,0.004,0.033,0.096,0.190,0.284,0.377,0.377,0.377,0.377
BDS OTHER,0.011,0.047,0.096,0.151,0.151,0.151,0.151,0.151,0.151
CEL OTHER,0.006,0.043,0.116,0.217,0.314,0.314,0.314,0.314,0.314
CEM OTHER,0.007,0.038,0.085,0.141,0.191,0.235,0.235,0.235,0.235
CES OTHER,0.004,0.020,0.065,0.151,0.151,0.151,0.151,0.151,0.151
BEL OTHER,0.009,0.039,0.114,0.257,0.433,0.623,0.812,0.812,0.812
BEM OTHER,0.017,0.044,0.106,0.233,0.408,0.632,0.906,1.228,1.228
BES OTHER,0.009,0.027,0.073,0.169,0.169,0.169,0.169,0.169,0.169
PEL OTHER,0.015,0.079,0.190,0.347,0.347,0.347,0.347,0.347,0.347
PEM OTHER,0.005,0.028,0.050,0.063,0.075,0.075,0.075,0.075,0.075
PES OTHER,0.001,0.009,0.020,0.033,0.046,0.057,0.065,0.070,0.069
