#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.002,0.018,0.050,0.097,0.143,0.188,0.232,0.273,0.273
ACRU,0.002,0.020,0.056,0.108,0.159,0.208,0.208,0.208,0.208
ACSA1,0.003,0.021,0.052,0.093,0.131,0.167,0.200,0.232,0.262
ACSA2,0.003,0.023,0.058,0.104,0.147,0.187,0.187,0.187,0.187
CASP,0.003,0.016,0.038,0.064,0.088,0.110,0.130,0.149,0.167
CECA,0.005,0.020,0.041,0.065,0.065,0.065,0.065,0.065,0.065
CEOC,0.002,0.020,0.056,0.107,0.157,0.206,0.253,0.298,0.341
FRAM,0.002,0.019,0.053,0.101,0.148,0.193,0.193,0.193,0.193
FRPE,0.002,0.016,0.048,0.095,0.143,0.190,0.236,0.236,0.236
GLTR,0.004,0.030,0.083,0.157,0.229,0.229,0.229,0.229,0.229
ILOP,0.005,0.015,0.040,0.093,0.093,0.093,0.093,0.093,0.093
JUNI,0.003,0.012,0.032,0.069,0.111,0.150,0.183,0.183,0.183
MA2,0.003,0.017,0.043,0.075,0.106,0.106,0.106,0.106,0.106
MAGR,0.009,0.024,0.059,0.129,0.225,0.349,0.500,0.677,0.677
MO,0.004,0.025,0.063,0.111,0.157,0.200,0.239,0.277,0.313
PHCA,0.008,0.043,0.105,0.192,0.192,0.192,0.192,0.192,0.192
PHDA4,0.003,0.016,0.027,0.035,0.041,0.041,0.041,0.041,0.041
PICO5,0.002,0.011,0.036,0.083,0.083,0.083,0.083,0.083,0.083
PINI,0.004,0.021,0.047,0.078,0.105,0.130,0.130,0.130,0.130
PIPU,0.004,0.010,0.025,0.055,0.099,0.159,0.159,0.159,0.159
PIST,0.003,0.024,0.064,0.120,0.173,0.173,0.173,0.173,0.173
PODE,0.001,0.009,0.034,0.080,0.132,0.187,0.187,0.187,0.187
PYCA,0.002,0.015,0.043,0.043,0.043,0.043,0.043,0.043,0.043
QUIL2,0.005,0.021,0.063,0.142,0.239,0.344,0.448,0.448,0.448
QURU,0.003,0.024,0.067,0.127,0.185,0.241,0.295,0.346,0.396
TICO,0.002,0.014,0.041,0.081,0.121,0.161,0.161,0.161,0.161
ULPU,0.005,0.017,0.045,0.096,0.158,0.226,0.295,0.361,0.420
WARO,0.001,0.005,0.011,0.018,0.025,0.032,0.036,0.039,0.038
BDL OTHER,0.002,0.016,0.048,0.095,0.143,0.190,0.236,0.236,0.236
BDM OTHER,0.002,0.014,0.041,0.081,0.121,0.161,0.161,0.161,0.161
BDS OTHER,0.005,0.020,0.041,0.065,0.065,0.065,0.065,0.065,0.065
CEL OTHER,0.003,0.024,0.064,0.120,0.173,0.173,0.173,0.173,0.173
CEM OTHER,0.004,0.021,0.047,0.078,0.105,0.130,0.130,0.130,0.130
CES OTHER,0.002,0.011,0.036,0.083,0.083,0.083,0.083,0.083,0.083
BEL OTHER,0.005,0.021,0.063,0.142,0.239,0.344,0.448,0.448,0.448
BEM OTHER,0.009,0.024,0.059,0.129,0.225,0.349,0.500,0.677,0.677
BES OTHER,0.005,0.015,0.040,0.093,0.093,0.093,0.093,0.093,0.093
PEL OTHER,0.008,0.043,0.105,0.192,0.192,0.192,0.192,0.192,0.192
PEM OTHER,0.003,0.016,0.027,0.035,0.041,0.041,0.041,0.041,0.041
PES OTHER,0.001,0.005,0.011,0.018,0.025,0.032,0.036,0.039,0.038
