#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0076,0.0653,0.2049,0.3975,0.5415,0.6834,0.8123,0.9383,0.9383
ACRU,0.0079,0.0799,0.2415,0.4447,0.6000,0.7495,0.7495,0.7495,0.7495
ACSA1,0.0112,0.0812,0.2187,0.3814,0.4975,0.6140,0.7154,0.8051,0.8932
ACSA2,0.0134,0.0920,0.2423,0.4240,0.5528,0.6733,0.6733,0.6733,0.6733
CASP,0.0103,0.0695,0.1623,0.2737,0.3513,0.4273,0.4943,0.5592,0.6137
CECA,0.0163,0.0721,0.1559,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414
CEOC,0.0078,0.0798,0.2333,0.4306,0.5814,0.7270,0.8638,0.9880,1.1036
FRAM,0.0081,0.0805,0.2240,0.4125,0.5535,0.6910,0.6910,0.6910,0.6910
FRPE,0.0081,0.0738,0.2285,0.4435,0.6098,0.7715,0.9289,0.9289,0.9289
GLTR,0.0127,0.1178,0.3176,0.5806,0.7748,0.7748,0.7748,0.7748,0.7748
ILOP,0.0109,0.0380,0.1015,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488
JUNI,0.0167,0.0729,0.2061,0.4253,0.6075,0.7821,0.9257,0.9257,0.9257
MA2,0.0098,0.0656,0.1679,0.3074,0.4126,0.4126,0.4126,0.4126,0.4126
MAGR,0.0207,0.0568,0.1615,0.3567,0.5539,0.8004,1.0789,1.3786,1.3786
MO,0.0130,0.1000,0.2536,0.4470,0.5873,0.7187,0.8373,0.9461,1.0435
PHCA,0.0047,0.0268,0.0877,0.2164,0.2173,0.2179,0.2179,0.2179,0.2179
PHDA4,0.0092,0.0491,0.1215,0.2129,0.2717,0.3283,0.3283,0.3283,0.3283
PICO5,0.0048,0.0301,0.0932,0.2267,0.2267,0.2267,0.2267,0.2267,0.2267
PINI,0.0091,0.0482,0.1249,0.2199,0.2821,0.3420,0.3420,0.3420,0.3420
PIPU,0.0092,0.0253,0.0658,0.1652,0.2596,0.3968,0.3968,0.3968,0.3968
PIST,0.0071,0.0613,0.1833,0.3345,0.4477,0.4477,0.4477,0.4477,0.4477
PODE,0.0031,0.0452,0.1617,0.3442,0.4989,0.6701,0.6701,0.6701,0.6701
PYCA,0.0073,0.0565,0.1720,0.1720,0.1720,0.1720,0.1720,0.1720,0.1720
QUIL2,0.0127,0.0530,0.1621,0.3746,0.5659,0.7758,0.9742,0.9742,0.9742
QURU,0.0128,0.0994,0.2687,0.4973,0.6681,0.8303,0.9788,1.1103,1.2329
TICO,0.0053,0.0529,0.1681,0.3355,0.4630,0.5929,0.5929,0.5929,0.5929
ULPU,0.0191,0.0687,0.1872,0.3905,0.5736,0.7729,0.9692,1.1442,1.2917
WARO,0.0017,0.0148,0.0243,0.0430,0.0575,0.0718,0.0837,0.0898,0.0898
BDL OTHER,0.0081,0.0738,0.2285,0.4435,0.6098,0.7715,0.9289,0.9289,0.9289
BDM OTHER,0.0053,0.0529,0.1681,0.3355,0.4630,0.5929,0.5929,0.5929,0.5929
BDS OTHER,0.0163,0.0721,0.1559,0.2414,0.2414,0.2414,0.2414,0.2414,0.2414
CEL OTHER,0.0071,0.0613,0.1833,0.3345,0.4477,0.4477,0.4477,0.4477,0.4477
CEM OTHER,0.0091,0.0482,0.1249,0.2199,0.2821,0.3420,0.3420,0.3420,0.3420
CES OTHER,0.0048,0.0301,0.0932,0.2267,0.2267,0.2267,0.2267,0.2267,0.2267
BEL OTHER,0.0127,0.0530,0.1621,0.3746,0.5659,0.7758,0.9742,0.9742,0.9742
BEM OTHER,0.0207,0.0568,0.1615,0.3567,0.5539,0.8004,1.0789,1.3786,1.3786
BES OTHER,0.0109,0.0380,0.1015,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488
PEL OTHER,0.0047,0.0268,0.0877,0.2164,0.2173,0.2179,0.2179,0.2179,0.2179
PEM OTHER,0.0092,0.0491,0.1215,0.2129,0.2717,0.3283,0.3283,0.3283,0.3283
PES OTHER,0.0017,0.0148,0.0243,0.0430,0.0575,0.0718,0.0837,0.0898,0.0898
