#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.001,0.007,0.019,0.036,0.053,0.070,0.086,0.102,0.102
ACRU,0.001,0.007,0.021,0.040,0.059,0.077,0.077,0.077,0.077
ACSA1,0.001,0.008,0.019,0.034,0.049,0.062,0.075,0.086,0.098
ACSA2,0.001,0.009,0.022,0.039,0.055,0.070,0.070,0.070,0.070
CASP,0.001,0.006,0.014,0.024,0.033,0.041,0.049,0.056,0.062
CECA,0.002,0.007,0.015,0.024,0.024,0.024,0.024,0.024,0.024
CEOC,0.001,0.007,0.021,0.040,0.059,0.077,0.094,0.111,0.127
FRAM,0.001,0.007,0.020,0.038,0.055,0.072,0.072,0.072,0.072
FRPE,0.001,0.006,0.017,0.034,0.051,0.068,0.085,0.085,0.085
GLTR,0.001,0.011,0.031,0.058,0.085,0.085,0.085,0.085,0.085
ILOP,0.002,0.006,0.016,0.036,0.036,0.036,0.036,0.036,0.036
JUNI,0.001,0.004,0.011,0.024,0.038,0.052,0.063,0.063,0.063
MA2,0.001,0.006,0.016,0.028,0.039,0.039,0.039,0.039,0.039
MAGR,0.004,0.009,0.023,0.050,0.087,0.136,0.194,0.263,0.263
MO,0.001,0.009,0.023,0.041,0.058,0.074,0.089,0.103,0.116
PHCA,0.003,0.017,0.041,0.074,0.074,0.074,0.074,0.074,0.074
PHDA4,0.001,0.006,0.011,0.014,0.016,0.016,0.016,0.016,0.016
PICO5,0.001,0.004,0.014,0.032,0.032,0.032,0.032,0.032,0.032
PINI,0.002,0.008,0.018,0.030,0.041,0.050,0.050,0.050,0.050
PIPU,0.002,0.004,0.010,0.021,0.038,0.062,0.062,0.062,0.062
PIST,0.001,0.009,0.025,0.046,0.067,0.067,0.067,0.067,0.067
PODE,0.000,0.003,0.013,0.030,0.049,0.070,0.070,0.070,0.070
PYCA,0.001,0.006,0.016,0.016,0.016,0.016,0.016,0.016,0.016
QUIL2,0.002,0.008,0.024,0.055,0.093,0.134,0.174,0.174,0.174
QURU,0.001,0.009,0.025,0.047,0.069,0.090,0.110,0.129,0.147
TICO,0.001,0.005,0.015,0.030,0.045,0.060,0.060,0.060,0.060
ULPU,0.002,0.006,0.017,0.036,0.059,0.084,0.110,0.134,0.156
WARO,0.000,0.002,0.004,0.007,0.010,0.012,0.014,0.015,0.015
BDL OTHER,0.001,0.006,0.017,0.034,0.051,0.068,0.085,0.085,0.085
BDM OTHER,0.001,0.005,0.015,0.030,0.045,0.060,0.060,0.060,0.060
BDS OTHER,0.002,0.007,0.015,0.024,0.024,0.024,0.024,0.024,0.024
CEL OTHER,0.001,0.009,0.025,0.046,0.067,0.067,0.067,0.067,0.067
CEM OTHER,0.002,0.008,0.018,0.030,0.041,0.050,0.050,0.050,0.050
CES OTHER,0.001,0.004,0.014,0.032,0.032,0.032,0.032,0.032,0.032
BEL OTHER,0.002,0.008,0.024,0.055,0.093,0.134,0.174,0.174,0.174
BEM OTHER,0.004,0.009,0.023,0.050,0.087,0.136,0.194,0.263,0.263
BES OTHER,0.002,0.006,0.016,0.036,0.036,0.036,0.036,0.036,0.036
PEL OTHER,0.003,0.017,0.041,0.074,0.074,0.074,0.074,0.074,0.074
PEM OTHER,0.001,0.006,0.011,0.014,0.016,0.016,0.016,0.016,0.016
PES OTHER,0.000,0.002,0.004,0.007,0.010,0.012,0.014,0.015,0.015
