#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0006,0.0056,0.0174,0.0337,0.0459,0.0579,0.0688,0.0794,0.0794
ACRU,0.0007,0.0068,0.0205,0.0378,0.0510,0.0637,0.0637,0.0637,0.0637
ACSA1,0.0010,0.0069,0.0185,0.0323,0.0422,0.0521,0.0608,0.0684,0.0759
ACSA2,0.0011,0.0078,0.0206,0.0360,0.0471,0.0574,0.0574,0.0574,0.0574
CASP,0.0009,0.0058,0.0137,0.0232,0.0298,0.0362,0.0420,0.0475,0.0521
CECA,0.0014,0.0060,0.0130,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
CEOC,0.0007,0.0067,0.0196,0.0363,0.0492,0.0615,0.0732,0.0837,0.0935
FRAM,0.0007,0.0068,0.0190,0.0350,0.0471,0.0588,0.0588,0.0588,0.0588
FRPE,0.0007,0.0062,0.0193,0.0376,0.0518,0.0656,0.0789,0.0789,0.0789
GLTR,0.0011,0.0098,0.0264,0.0484,0.0647,0.0647,0.0647,0.0647,0.0647
ILOP,0.0010,0.0032,0.0084,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205
JUNI,0.0014,0.0059,0.0169,0.0353,0.0506,0.0653,0.0773,0.0773,0.0773
MA2,0.0008,0.0054,0.0144,0.0262,0.0351,0.0351,0.0351,0.0351,0.0351
MAGR,0.0018,0.0047,0.0132,0.0294,0.0459,0.0666,0.0900,0.1150,0.1150
MO,0.0011,0.0084,0.0215,0.0379,0.0499,0.0610,0.0711,0.0803,0.0885
PHCA,0.0004,0.0023,0.0073,0.0180,0.0181,0.0181,0.0181,0.0181,0.0181
PHDA4,0.0008,0.0041,0.0101,0.0177,0.0226,0.0273,0.0273,0.0273,0.0273
PICO5,0.0004,0.0025,0.0076,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187
PINI,0.0008,0.0040,0.0103,0.0181,0.0232,0.0282,0.0282,0.0282,0.0282
PIPU,0.0008,0.0021,0.0054,0.0136,0.0216,0.0330,0.0330,0.0330,0.0330
PIST,0.0006,0.0050,0.0150,0.0277,0.0373,0.0373,0.0373,0.0373,0.0373
PODE,0.0003,0.0037,0.0136,0.0292,0.0424,0.0571,0.0571,0.0571,0.0571
PYCA,0.0006,0.0048,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
QUIL2,0.0011,0.0043,0.0135,0.0314,0.0475,0.0652,0.0819,0.0819,0.0819
QURU,0.0011,0.0084,0.0228,0.0422,0.0567,0.0706,0.0833,0.0945,0.1049
TICO,0.0005,0.0045,0.0142,0.0283,0.0392,0.0502,0.0502,0.0502,0.0502
ULPU,0.0016,0.0057,0.0156,0.0328,0.0483,0.0652,0.0817,0.0965,0.1088
WARO,0.0002,0.0012,0.0021,0.0037,0.0049,0.0061,0.0071,0.0076,0.0076
BDL OTHER,0.0007,0.0062,0.0193,0.0376,0.0518,0.0656,0.0789,0.0789,0.0789
BDM OTHER,0.0005,0.0045,0.0142,0.0283,0.0392,0.0502,0.0502,0.0502,0.0502
BDS OTHER,0.0014,0.0060,0.0130,0.0200,0.0200,0.0200,0.0200,0.0200,0.0200
CEL OTHER,0.0006,0.0050,0.0150,0.0277,0.0373,0.0373,0.0373,0.0373,0.0373
CEM OTHER,0.0008,0.0040,0.0103,0.0181,0.0232,0.0282,0.0282,0.0282,0.0282
CES OTHER,0.0004,0.0025,0.0076,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187
BEL OTHER,0.0011,0.0043,0.0135,0.0314,0.0475,0.0652,0.0819,0.0819,0.0819
BEM OTHER,0.0018,0.0047,0.0132,0.0294,0.0459,0.0666,0.0900,0.1150,0.1150
BES OTHER,0.0010,0.0032,0.0084,0.0205,0.0205,0.0205,0.0205,0.0205,0.0205
PEL OTHER,0.0004,0.0023,0.0073,0.0180,0.0181,0.0181,0.0181,0.0181,0.0181
PEM OTHER,0.0008,0.0041,0.0101,0.0177,0.0226,0.0273,0.0273,0.0273,0.0273
PES OTHER,0.0002,0.0012,0.0021,0.0037,0.0049,0.0061,0.0071,0.0076,0.0076
