#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,1.6,14.7,44.9,93.3,121.7,154.7,184.2,213.6,213.6
ACRU,1.7,17.6,53.0,103.0,134.4,168.6,168.6,168.6,168.6
ACSA1,2.4,18.0,47.5,88.8,110.9,139.3,162.8,183.5,204.1
ACSA2,3.0,19.6,53.8,98.5,124.6,152.9,152.9,152.9,152.9
CASP,2.3,14.3,34.3,63.4,78.7,96.0,110.5,126.8,139.6
CECA,4.2,16.4,35.7,57.3,57.3,57.3,57.3,57.3,57.3
CEOC,1.7,17.3,52.3,101.5,132.5,166.2,198.8,227.4,254.8
FRAM,1.7,17.0,49.3,97.0,125.4,157.8,157.8,157.8,157.8
FRPE,1.7,15.9,51.1,104.5,138.9,176.6,213.5,213.5,213.5
GLTR,3.0,26.3,73.6,139.8,180.8,180.8,180.8,180.8,180.8
ILOP,2.4,8.3,22.8,57.6,57.6,57.6,57.6,57.6,57.6
JUNI,4.0,15.9,45.9,103.2,141.4,182.2,216.3,216.3,216.3
MA2,2.3,14.0,37.1,72.1,92.6,92.6,92.6,92.6,92.6
MAGR,5.1,13.5,36.3,87.5,129.1,186.9,253.5,323.2,323.2
MO,3.0,21.0,57.1,103.8,132.8,162.8,190.2,215.7,239.2
PHCA,0.9,6.3,20.0,51.2,51.3,51.4,51.4,51.4,51.4
PHDA4,2.2,11.5,27.1,51.0,64.0,76.9,76.9,76.9,76.9
PICO5,0.9,6.4,20.8,52.6,52.6,52.6,52.6,52.6,52.6
PINI,2.2,11.6,27.6,52.0,65.4,78.8,78.8,78.8,78.8
PIPU,2.2,6.1,14.9,39.8,60.7,92.9,92.9,92.9,92.9
PIST,1.6,14.2,40.5,79.8,101.9,101.9,101.9,101.9,101.9
PODE,0.3,9.4,33.1,81.3,111.4,152.7,152.7,152.7,152.7
PYCA,1.6,12.8,38.0,38.0,38.0,38.0,38.0,38.0,38.0
QUIL2,3.0,11.8,37.3,93.5,133.2,182.3,229.4,229.4,229.4
QURU,2.6,20.9,60.8,115.7,151.8,189.7,224.8,256.3,284.3
TICO,1.0,11.8,36.7,79.4,104.1,134.8,134.8,134.8,134.8
ULPU,4.6,15.2,40.9,94.4,132.3,179.1,224.8,266.3,299.9
WARO,0.1,2.3,6.0,11.0,13.8,17.0,19.5,20.9,20.9
BDL OTHER,1.7,15.9,51.1,104.5,138.9,176.6,213.5,213.5,213.5
BDM OTHER,1.0,11.8,36.7,79.4,104.1,134.8,134.8,134.8,134.8
BDS OTHER,4.2,16.4,35.7,57.3,57.3,57.3,57.3,57.3,57.3
CEL OTHER,1.6,14.2,40.5,79.8,101.9,101.9,101.9,101.9,101.9
CEM OTHER,2.2,11.6,27.6,52.0,65.4,78.8,78.8,78.8,78.8
CES OTHER,0.9,6.4,20.8,52.6,52.6,52.6,52.6,52.6,52.6
BEL OTHER,3.0,11.8,37.3,93.5,133.2,182.3,229.4,229.4,229.4
BEM OTHER,5.1,13.5,36.3,87.5,129.1,186.9,253.5,323.2,323.2
BES OTHER,2.4,8.3,22.8,57.6,57.6,57.6,57.6,57.6,57.6
PEL OTHER,0.9,6.3,20.0,51.2,51.3,51.4,51.4,51.4,51.4
PEM OTHER,2.2,11.5,27.1,51.0,64.0,76.9,76.9,76.9,76.9
PES OTHER,0.1,2.3,6.0,11.0,13.8,17.0,19.5,20.9,20.9
