#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.2,7.6,23.8,45.9,62.7,78.9,93.8,108.1,108.1
ACRU,0.9,9.4,28.2,51.5,69.5,86.7,86.7,86.7,86.7
ACSA1,1.3,9.5,25.5,44.1,57.7,70.9,82.5,92.8,102.7
ACSA2,1.5,10.7,28.2,49.0,63.9,77.7,77.7,77.7,77.7
CASP,1.2,8.1,19.0,31.7,40.7,49.5,57.2,64.6,70.8
CECA,1.8,8.1,17.9,27.7,27.7,27.7,27.7,27.7,27.7
CEOC,0.9,9.2,27.1,49.6,67.1,83.7,99.2,113.4,126.5
FRAM,0.9,9.4,26.1,47.6,63.9,79.6,79.6,79.6,79.6
FRPE,1.0,8.6,26.5,51.2,70.3,88.9,106.7,106.7,106.7
GLTR,1.4,13.5,36.5,66.4,88.8,88.8,88.8,88.8,88.8
ILOP,1.2,4.2,11.6,28.7,28.7,28.7,28.7,28.7,28.7
JUNI,1.9,8.4,23.9,48.7,69.7,89.7,105.9,105.9,105.9
MA2,1.1,7.5,19.5,35.5,47.9,47.9,47.9,47.9,47.9
MAGR,2.3,6.5,18.6,40.8,63.6,91.7,123.2,156.9,156.9
MO,1.5,11.5,29.4,51.7,67.9,83.0,96.6,108.9,119.9
PHCA,0.6,3.0,10.0,24.8,24.9,25.0,25.0,25.0,25.0
PHDA4,1.1,5.5,14.0,24.4,31.2,37.6,37.6,37.6,37.6
PICO5,0.6,3.4,10.7,26.1,26.1,26.1,26.1,26.1,26.1
PINI,1.1,5.4,14.4,25.3,32.5,39.4,39.4,39.4,39.4
PIPU,1.1,2.9,7.6,18.9,29.9,45.5,45.5,45.5,45.5
PIST,0.8,7.1,21.2,38.5,51.7,51.7,51.7,51.7,51.7
PODE,0.4,5.4,19.0,39.8,57.8,77.2,77.2,77.2,77.2
PYCA,0.9,6.5,19.9,19.9,19.9,19.9,19.9,19.9,19.9
QUIL2,1.4,6.0,18.6,42.7,64.7,88.7,111.2,111.2,111.2
QURU,1.5,11.6,31.2,57.4,77.1,95.6,112.4,127.2,141.0
TICO,0.6,6.0,19.5,38.7,53.6,68.4,68.4,68.4,68.4
ULPU,2.2,8.0,21.7,44.8,66.0,88.7,111.0,130.8,147.5
WARO,0.2,1.6,2.7,4.8,6.5,8.1,9.5,10.1,10.1
BDL OTHER,1.0,8.6,26.5,51.2,70.3,88.9,106.7,106.7,106.7
BDM OTHER,0.6,6.0,19.5,38.7,53.6,68.4,68.4,68.4,68.4
BDS OTHER,1.8,8.1,17.9,27.7,27.7,27.7,27.7,27.7,27.7
CEL OTHER,0.8,7.1,21.2,38.5,51.7,51.7,51.7,51.7,51.7
CEM OTHER,1.1,5.4,14.4,25.3,32.5,39.4,39.4,39.4,39.4
CES OTHER,0.6,3.4,10.7,26.1,26.1,26.1,26.1,26.1,26.1
BEL OTHER,1.4,6.0,18.6,42.7,64.7,88.7,111.2,111.2,111.2
BEM OTHER,2.3,6.5,18.6,40.8,63.6,91.7,123.2,156.9,156.9
BES OTHER,1.2,4.2,11.6,28.7,28.7,28.7,28.7,28.7,28.7
PEL OTHER,0.6,3.0,10.0,24.8,24.9,25.0,25.0,25.0,25.0
PEM OTHER,1.1,5.5,14.0,24.4,31.2,37.6,37.6,37.6,37.6
PES OTHER,0.2,1.6,2.7,4.8,6.5,8.1,9.5,10.1,10.1
