#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,1.8,15.3,48.2,92.7,126.9,160.1,190.3,219.7,219.7
ACRU,1.9,18.8,56.8,103.9,140.7,175.7,175.7,175.7,175.7
ACSA1,2.6,19.1,51.5,89.0,116.8,143.8,167.5,188.4,209.0
ACSA2,3.1,21.7,56.9,99.0,129.6,157.6,157.6,157.6,157.6
CASP,2.4,16.4,38.3,63.9,82.4,100.2,116.0,131.0,143.7
CECA,3.8,16.9,36.5,56.2,56.2,56.2,56.2,56.2,56.2
CEOC,1.8,18.8,54.7,100.4,136.1,170.1,202.0,231.0,258.0
FRAM,1.9,19.0,52.6,96.2,129.7,161.7,161.7,161.7,161.7
FRPE,1.9,17.4,53.6,103.4,142.8,180.5,217.2,217.2,217.2
GLTR,3.0,27.6,74.2,135.0,180.9,180.9,180.9,180.9,180.9
ILOP,2.6,9.0,23.8,58.1,58.1,58.1,58.1,58.1,58.1
JUNI,3.9,17.1,48.4,98.8,141.9,182.6,216.1,216.1,216.1
MA2,2.3,15.5,39.4,71.7,96.7,96.7,96.7,96.7,96.7
MAGR,4.8,13.2,37.9,82.7,129.3,186.9,251.7,321.7,321.7
MO,3.0,23.6,59.4,104.4,137.6,168.3,196.1,221.5,244.1
PHCA,1.1,6.3,20.5,50.4,50.7,50.8,50.8,50.8,50.8
PHDA4,2.1,11.5,28.5,49.5,63.4,76.6,76.6,76.6,76.6
PICO5,1.1,7.1,21.9,53.0,53.0,53.0,53.0,53.0,53.0
PINI,2.1,11.2,29.4,51.3,65.9,80.0,80.0,80.0,80.0
PIPU,2.1,5.9,15.4,38.4,60.6,92.6,92.6,92.6,92.6
PIST,1.7,14.3,43.1,77.9,104.8,104.8,104.8,104.8,104.8
PODE,0.8,10.7,38.3,80.2,117.0,156.9,156.9,156.9,156.9
PYCA,1.7,13.2,40.4,40.4,40.4,40.4,40.4,40.4,40.4
QUIL2,3.0,12.5,37.9,86.7,132.0,181.0,227.2,227.2,227.2
QURU,3.0,23.5,62.9,116.1,156.4,194.3,228.9,259.5,288.2
TICO,1.3,12.4,39.5,78.2,108.5,138.8,138.8,138.8,138.8
ULPU,4.4,16.1,44.0,90.7,134.1,180.6,226.4,267.2,301.8
WARO,0.4,3.6,5.6,9.9,13.4,16.7,19.5,21.0,21.0
BDL OTHER,1.9,17.4,53.6,103.4,142.8,180.5,217.2,217.2,217.2
BDM OTHER,1.3,12.4,39.5,78.2,108.5,138.8,138.8,138.8,138.8
BDS OTHER,3.8,16.9,36.5,56.2,56.2,56.2,56.2,56.2,56.2
CEL OTHER,1.7,14.3,43.1,77.9,104.8,104.8,104.8,104.8,104.8
CEM OTHER,2.1,11.2,29.4,51.3,65.9,80.0,80.0,80.0,80.0
CES OTHER,1.1,7.1,21.9,53.0,53.0,53.0,53.0,53.0,53.0
BEL OTHER,3.0,12.5,37.9,86.7,132.0,181.0,227.2,227.2,227.2
BEM OTHER,4.8,13.2,37.9,82.7,129.3,186.9,251.7,321.7,321.7
BES OTHER,2.6,9.0,23.8,58.1,58.1,58.1,58.1,58.1,58.1
PEL OTHER,1.1,6.3,20.5,50.4,50.7,50.8,50.8,50.8,50.8
PEM OTHER,2.1,11.5,28.5,49.5,63.4,76.6,76.6,76.6,76.6
PES OTHER,0.4,3.6,5.6,9.9,13.4,16.7,19.5,21.0,21.0
