#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,1.4,11.9,37.5,72.7,99.0,125.0,148.6,171.6,171.6
ACRU,1.4,14.6,44.2,81.3,109.7,137.1,137.1,137.1,137.1
ACSA1,2.1,14.9,40.0,69.8,91.0,112.3,130.8,147.2,163.4
ACSA2,2.4,16.8,44.3,77.5,101.1,123.1,123.1,123.1,123.1
CASP,1.9,12.7,29.7,50.1,64.2,78.1,90.4,102.3,112.2
CECA,3.0,13.2,28.5,44.2,44.2,44.2,44.2,44.2,44.2
CEOC,1.4,14.6,42.7,78.8,106.3,133.0,158.0,180.7,201.8
FRAM,1.5,14.7,41.0,75.4,101.2,126.4,126.4,126.4,126.4
FRPE,1.5,13.5,41.8,81.1,111.5,141.1,169.9,169.9,169.9
GLTR,2.3,21.5,58.1,106.2,141.7,141.7,141.7,141.7,141.7
ILOP,2.0,7.0,18.6,45.5,45.5,45.5,45.5,45.5,45.5
JUNI,3.1,13.3,37.7,77.8,111.1,143.1,169.3,169.3,169.3
MA2,1.8,12.0,30.7,56.2,75.5,75.5,75.5,75.5,75.5
MAGR,3.8,10.4,29.5,65.2,101.3,146.4,197.4,252.2,252.2
MO,2.4,18.3,46.4,81.8,107.4,131.4,153.1,173.0,190.8
PHCA,0.9,4.9,16.0,39.6,39.7,39.9,39.9,39.9,39.9
PHDA4,1.7,9.0,22.2,38.9,49.7,60.0,60.0,60.0,60.0
PICO5,0.9,5.5,17.0,41.5,41.5,41.5,41.5,41.5,41.5
PINI,1.7,8.8,22.8,40.2,51.6,62.6,62.6,62.6,62.6
PIPU,1.7,4.6,12.0,30.2,47.5,72.6,72.6,72.6,72.6
PIST,1.3,11.2,33.5,61.2,81.9,81.9,81.9,81.9,81.9
PODE,0.6,8.3,29.6,63.0,91.2,122.6,122.6,122.6,122.6
PYCA,1.3,10.3,31.5,31.5,31.5,31.5,31.5,31.5,31.5
QUIL2,2.3,9.7,29.7,68.5,103.5,141.9,178.2,178.2,178.2
QURU,2.3,18.2,49.1,91.0,122.2,151.9,179.0,203.1,225.5
TICO,1.0,9.7,30.7,61.4,84.7,108.4,108.4,108.4,108.4
ULPU,3.5,12.6,34.2,71.4,104.9,141.4,177.3,209.3,236.3
WARO,0.3,2.7,4.4,7.9,10.5,13.1,15.3,16.4,16.4
BDL OTHER,1.5,13.5,41.8,81.1,111.5,141.1,169.9,169.9,169.9
BDM OTHER,1.0,9.7,30.7,61.4,84.7,108.4,108.4,108.4,108.4
BDS OTHER,3.0,13.2,28.5,44.2,44.2,44.2,44.2,44.2,44.2
CEL OTHER,1.3,11.2,33.5,61.2,81.9,81.9,81.9,81.9,81.9
CEM OTHER,1.7,8.8,22.8,40.2,51.6,62.6,62.6,62.6,62.6
CES OTHER,0.9,5.5,17.0,41.5,41.5,41.5,41.5,41.5,41.5
BEL OTHER,2.3,9.7,29.7,68.5,103.5,141.9,178.2,178.2,178.2
BEM OTHER,3.8,10.4,29.5,65.2,101.3,146.4,197.4,252.2,252.2
BES OTHER,2.0,7.0,18.6,45.5,45.5,45.5,45.5,45.5,45.5
PEL OTHER,0.9,4.9,16.0,39.6,39.7,39.9,39.9,39.9,39.9
PEM OTHER,1.7,9.0,22.2,38.9,49.7,60.0,60.0,60.0,60.0
PES OTHER,0.3,2.7,4.4,7.9,10.5,13.1,15.3,16.4,16.4
