#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACPL,0.1,0.9,3.2,9.0,17.3,28.5,41.8,56.8,56.8,,,,
ACRU,0.1,0.7,3.2,9.5,20.3,35.4,35.4,35.4,35.4,,,,
ACSA1,0.1,0.7,3.5,10.9,23.2,42.4,65.3,95.5,130.3,,,,
ACSA2,0.2,1.3,5.4,16.4,31.5,51.3,51.3,51.3,51.3,,,,
CASP,0.0,0.3,1.4,4.9,11.0,20.4,32.8,49.5,69.1,,,,
CECA,0.0,0.3,1.8,6.2,6.2,6.2,6.2,6.2,6.2,,,,
CEOC,0.3,2.2,4.2,11.6,23.4,38.1,54.8,77.1,100.5,,,,
FRAM,0.1,1.2,5.2,18.0,37.4,64.5,64.5,64.5,64.5,,,,
FRPE,0.2,1.1,4.7,15.2,33.4,58.2,89.6,89.6,89.6,,,,
GLTR,0.1,1.2,6.2,20.2,43.8,43.8,43.8,43.8,43.8,,,,
ILOP,0.0,0.7,3.6,11.8,11.8,11.8,11.8,11.8,11.8,,,,
JUNI,0.0,0.5,2.9,11.7,29.3,55.3,91.4,91.4,91.4,,,,
MA2,0.0,0.7,3.6,11.9,27.4,27.4,27.4,27.4,27.4,,,,
MAGR,0.0,0.3,1.8,6.9,16.3,32.2,53.5,79.0,79.0,,,,
MO,0.0,0.3,1.6,6.1,14.1,26.5,44.0,67.3,94.6,,,,
PHCA,0.4,0.7,1.4,1.9,2.4,2.8,3.1,3.4,3.4,,,,
PHDA4,0.3,0.9,1.4,1.9,2.4,2.9,3.4,3.9,3.9,,,,
PICO5,0.0,0.1,0.8,3.3,3.3,3.3,3.3,3.3,3.3,,,,
PINI,0.0,0.2,1.1,4.5,11.4,21.1,21.1,21.1,21.1,,,,
PIPU,0.0,0.1,0.6,3.0,7.0,12.9,12.9,12.9,12.9,,,,
PIST,0.0,0.1,0.9,3.5,8.7,8.7,8.7,8.7,8.7,,,,
PODE,0.1,1.5,3.7,9.6,19.7,31.0,31.0,31.0,31.0,,,,
PYCA,0.1,0.7,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,
QUIL2,0.1,0.8,5.1,18.7,45.8,91.1,159.4,159.4,159.4,,,,
QURU,0.2,1.0,5.9,21.6,51.7,97.8,159.0,241.6,349.2,,,,
TICO,0.1,0.5,2.0,6.4,12.8,22.3,22.3,22.3,22.3,,,,
ULPU,0.1,1.9,6.1,15.0,27.0,41.2,57.0,73.9,92.6,,,,
WARO,0.7,1.4,2.5,3.6,4.3,4.8,5.1,5.2,5.2,,,,
BDL OTHER,0.2,1.1,4.7,15.2,33.4,58.2,89.6,89.6,89.6,,,,
BDM OTHER,0.1,0.5,2.0,6.4,12.8,22.3,22.3,22.3,22.3,,,,
BDS OTHER,0.0,0.3,1.8,6.2,6.2,6.2,6.2,6.2,6.2,,,,
CEL OTHER,0.0,0.1,0.9,3.5,8.7,8.7,8.7,8.7,8.7,,,,
CEM OTHER,0.0,0.2,1.1,4.5,11.4,21.1,21.1,21.1,21.1,,,,
CES OTHER,0.0,0.1,0.8,3.3,3.3,3.3,3.3,3.3,3.3,,,,
BEL OTHER,0.1,0.8,5.1,18.7,45.8,91.1,159.4,159.4,159.4,,,,
BEM OTHER,0.0,0.3,1.8,6.9,16.3,32.2,53.5,79.0,79.0,,,,
BES OTHER,0.0,0.7,3.6,11.8,11.8,11.8,11.8,11.8,11.8,,,,
PEL OTHER,0.4,0.7,1.4,1.9,2.4,2.8,3.1,3.4,3.4,,,,
PEM OTHER,0.3,0.9,1.4,1.9,2.4,2.9,3.4,3.9,3.9,,,,
PES OTHER,0.7,1.4,2.5,3.6,4.3,4.8,5.1,5.2,5.2,,,,
