#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACPL,4.6,18.8,35.0,53.8,65.2,68.7,61.9,39.8,0.0,,,,
ACRU,2.8,17.8,39.9,64.2,79.0,74.6,0.0,0.0,0.0,,,,
ACSA1,4.3,13.5,37.4,77.7,128.1,192.3,258.5,336.5,418.4,,,,
ACSA2,8.1,32.1,62.3,91.9,97.8,71.8,0.0,0.0,0.0,,,,
CASP,0.8,11.2,26.0,41.5,51.0,57.0,60.0,61.2,61.1,,,,
CECA,1.1,7.2,19.1,16.7,0.0,0.0,0.0,0.0,0.0,,,,
CEOC,12.4,43.2,76.4,120.7,160.3,190.5,212.2,228.5,234.4,,,,
FRAM,4.6,32.6,73.3,134.8,186.8,231.2,0.0,0.0,0.0,,,,
FRPE,7.1,33.1,73.0,128.5,170.4,183.7,154.2,0.0,0.0,,,,
GLTR,4.5,39.2,90.0,133.8,109.4,0.0,0.0,0.0,0.0,,,,
ILOP,2.0,12.4,36.9,83.2,0.0,0.0,0.0,0.0,0.0,,,,
JUNI,1.3,19.0,49.7,92.8,128.1,153.6,172.6,0.0,0.0,,,,
MA2,2.5,19.4,47.4,76.8,75.8,0.0,0.0,0.0,0.0,,,,
MAGR,0.8,8.9,31.5,79.9,145.3,234.9,337.6,447.3,0.0,,,,
MO,0.8,6.9,21.3,49.6,83.1,122.9,168.8,220.7,273.8,,,,
PHCA,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1,,,,
PHDA4,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PICO5,0.2,4.4,13.2,14.2,0.0,0.0,0.0,0.0,0.0,,,,
PINI,0.7,5.7,18.4,43.1,69.9,89.6,0.0,0.0,0.0,,,,
PIPU,0.1,3.6,12.9,25.0,31.2,32.3,0.0,0.0,0.0,,,,
PIST,0.4,3.7,11.1,20.7,24.8,0.0,0.0,0.0,0.0,,,,
PODE,7.1,39.3,75.0,102.9,112.0,90.1,0.0,0.0,0.0,,,,
PYCA,3.8,30.4,29.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,
QUIL2,5.1,23.3,79.6,188.9,343.8,546.0,798.1,0.0,0.0,,,,
QURU,7.9,36.9,107.6,227.3,356.0,469.3,546.1,569.0,483.7,,,,
TICO,3.2,13.3,27.4,42.9,48.1,31.0,0.0,0.0,0.0,,,,
ULPU,5.1,54.2,109.2,128.6,131.2,126.9,119.9,112.2,104.2,,,,
WARO,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8,,,,
BDL OTHER,7.1,33.1,73.0,128.5,170.4,183.7,154.2,0.0,0.0,,,,
BDM OTHER,3.2,13.3,27.4,42.9,48.1,31.0,0.0,0.0,0.0,,,,
BDS OTHER,1.1,7.2,19.1,16.7,0.0,0.0,0.0,0.0,0.0,,,,
CEL OTHER,0.4,3.7,11.1,20.7,24.8,0.0,0.0,0.0,0.0,,,,
CEM OTHER,0.7,5.7,18.4,43.1,69.9,89.6,0.0,0.0,0.0,,,,
CES OTHER,0.2,4.4,13.2,14.2,0.0,0.0,0.0,0.0,0.0,,,,
BEL OTHER,5.1,23.3,79.6,188.9,343.8,546.0,798.1,0.0,0.0,,,,
BEM OTHER,0.8,8.9,31.5,79.9,145.3,234.9,337.6,447.3,0.0,,,,
BES OTHER,2.0,12.4,36.9,83.2,0.0,0.0,0.0,0.0,0.0,,,,
PEL OTHER,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1,,,,
PEM OTHER,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PES OTHER,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8,,,,
