#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACPL,1.7,14.0,39.8,76.6,113.1,148.5,182.6,215.5,215.5,,,
ACRU,1.9,15.8,44.4,85.1,125.2,164.0,164.0,164.0,164.0,,,
ACSA1,2.4,16.2,40.8,73.1,103.3,131.6,158.1,183.2,207.0,,,
ACSA2,2.7,18.2,45.8,82.0,115.9,147.6,147.6,147.6,147.6,,,
CASP,2.2,12.6,29.6,50.6,69.6,86.9,102.9,117.8,131.8,,,
CECA,3.6,15.8,32.4,50.9,50.9,50.9,50.9,50.9,50.9,,,
CEOC,1.9,15.7,44.0,84.2,124.0,162.4,199.3,234.9,269.2,,,
FRAM,1.9,15.3,42.2,79.9,117.0,152.6,152.6,152.6,152.6,,,
FRPE,1.6,14.6,43.7,87.2,131.3,174.8,217.3,217.3,217.3,,,
GLTR,3.0,24.0,65.7,123.7,180.3,180.3,180.3,180.3,180.3,,,
ILOP,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9,,,
JUNI,3.6,14.0,39.1,84.0,133.8,181.4,220.9,220.9,220.9,,,
MA2,2.1,13.6,33.6,59.5,83.4,83.4,83.4,83.4,83.4,,,
MAGR,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
MO,3.0,19.8,49.4,87.9,123.9,157.4,188.9,218.5,246.6,,,
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PINI,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6,,,
PIPU,2.2,5.4,13.2,29.4,53.0,85.0,85.0,85.0,85.0,,,
PIST,1.7,12.8,34.3,64.0,92.8,92.8,92.8,92.8,92.8,,,
PODE,0.5,7.1,27.1,63.0,103.9,147.4,147.4,147.4,147.4,,,
PYCA,1.4,11.9,33.5,33.5,33.5,33.5,33.5,33.5,33.5,,,
QUIL2,2.7,11.4,33.6,76.1,128.1,184.3,240.0,240.0,240.0,,,
QURU,2.4,19.3,52.9,100.0,146.0,190.1,232.4,273.0,311.9,,,
TICO,1.2,11.0,32.4,63.9,95.5,126.6,126.6,126.6,126.6,,,
ULPU,4.3,13.5,35.2,75.6,124.8,178.5,232.9,284.6,331.0,,,
WARO,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5,,,
BDL OTHER,1.6,14.6,43.7,87.2,131.3,174.8,217.3,217.3,217.3,,,
BDM OTHER,1.2,11.0,32.4,63.9,95.5,126.6,126.6,126.6,126.6,,,
BDS OTHER,3.6,15.8,32.4,50.9,50.9,50.9,50.9,50.9,50.9,,,
CEL OTHER,1.7,12.8,34.3,64.0,92.8,92.8,92.8,92.8,92.8,,,
CEM OTHER,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
BEL OTHER,2.7,11.4,33.6,76.1,128.1,184.3,240.0,240.0,240.0,,,
BEM OTHER,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
BES OTHER,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9,,,
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PEM OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PES OTHER,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.5,,,
