#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.22,2.35,6.55,12.82,19.19,25.21,30.47,34.52,34.52
ACRU,0.22,2.10,6.68,14.02,21.65,28.80,28.80,28.80,28.80
ACSA1,0.28,3.12,7.63,13.40,18.78,23.83,28.57,33.10,37.41
ACSA2,0.32,2.94,7.66,14.43,21.27,27.85,27.85,27.85,27.85
CASP,0.19,2.11,5.03,8.72,12.17,15.43,18.51,21.43,24.23
CECA,0.28,2.20,4.65,7.18,7.18,7.18,7.18,7.18,7.18
CEOC,0.19,3.03,8.00,14.86,21.66,28.32,34.87,41.27,47.55
FRAM,0.17,2.71,7.28,13.50,19.58,25.44,25.44,25.44,25.44
FRPE,0.23,1.78,5.54,11.80,18.40,24.59,29.63,29.63,29.63
GLTR,0.25,2.62,8.13,16.90,25.80,25.80,25.80,25.80,25.80
ILOP,0.20,0.58,2.12,6.63,6.63,6.63,6.63,6.63,6.63
JUNI,0.24,2.10,5.30,10.63,16.50,22.41,27.94,27.94,27.94
MA2,0.19,1.51,3.86,7.00,10.12,10.12,10.12,10.12,10.12
MAGR,0.48,1.14,4.84,12.59,22.62,33.73,44.61,53.78,53.78
MO,0.33,4.11,9.87,16.86,23.26,29.41,35.68,42.46,50.12
PHCA,0.74,4.11,8.66,11.89,11.92,11.94,11.95,11.97,11.98
PHDA4,0.26,1.07,1.81,2.41,2.98,3.29,3.61,3.61,3.61
PICO5,0.17,1.28,4.56,11.29,11.29,11.29,11.29,11.29,11.29
PINI,0.27,1.81,5.27,10.66,15.95,20.16,20.16,20.16,20.16
PIPU,0.38,1.71,4.07,8.00,12.81,18.43,18.43,18.43,18.43
PIST,0.37,2.82,7.71,15.67,24.95,24.95,24.95,24.95,24.95
PODE,0.11,1.38,4.91,11.65,19.86,28.98,28.98,28.98,28.98
PYCA,0.22,1.76,4.58,4.58,4.58,4.58,4.58,4.58,4.58
QUIL2,0.44,2.62,7.75,18.15,32.02,48.80,67.81,67.81,67.81
QURU,0.29,2.71,7.36,14.47,22.28,30.61,39.37,48.62,58.37
TICO,0.15,1.54,4.51,9.33,14.46,19.41,19.41,19.41,19.41
ULPU,0.45,2.72,6.86,13.63,21.33,29.50,37.83,46.06,53.94
WARO,0.06,0.38,0.92,1.57,2.26,2.89,3.09,3.19,3.19
BDL OTHER,0.23,1.78,5.54,11.80,18.40,24.59,29.63,29.63,29.63
BDM OTHER,0.15,1.54,4.51,9.33,14.46,19.41,19.41,19.41,19.41
BDS OTHER,0.28,2.20,4.65,7.18,7.18,7.18,7.18,7.18,7.18
CEL OTHER,0.37,2.82,7.71,15.67,24.95,24.95,24.95,24.95,24.95
CEM OTHER,0.27,1.81,5.27,10.66,15.95,20.16,20.16,20.16,20.16
CES OTHER,0.17,1.28,4.56,11.29,11.29,11.29,11.29,11.29,11.29
BEL OTHER,0.44,2.62,7.75,18.15,32.02,48.80,67.81,67.81,67.81
BEM OTHER,0.48,1.14,4.84,12.59,22.62,33.73,44.61,53.78,53.78
BES OTHER,0.20,0.58,2.12,6.63,6.63,6.63,6.63,6.63,6.63
PEL OTHER,0.74,4.11,8.66,11.89,11.92,11.94,11.95,11.97,11.98
PEM OTHER,0.26,1.07,1.81,2.41,2.98,3.29,3.61,3.61,3.61
PES OTHER,0.06,0.38,0.92,1.57,2.26,2.89,3.09,3.19,3.19
