#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACPL,4.4,60.8,165.4,328.2,498.4,654.6,775.6,840.2,840.2,,,
ACRU,4.3,46.1,166.6,381.5,619.3,837.6,837.6,837.6,837.6,,,
ACSA1,4.6,98.1,231.4,397.4,551.7,696.1,832.5,962.5,1088.2,,,
ACSA2,5.8,79.9,215.7,428.7,658.7,884.6,884.6,884.6,884.6,,,
CASP,2.0,58.0,140.4,247.4,351.2,451.7,549.0,643.0,733.8,,,
CECA,2.0,50.1,109.8,166.3,166.3,166.3,166.3,166.3,166.3,,,
CEOC,2.5,89.6,220.0,393.6,566.7,739.3,911.4,1083.1,1254.3,,,
FRAM,1.9,77.8,202.0,363.6,520.6,672.9,672.9,672.9,672.9,,,
FRPE,6.6,40.5,133.7,308.8,503.1,674.2,779.5,779.5,779.5,,,
GLTR,2.4,44.1,166.4,398.8,652.2,652.2,652.2,652.2,652.2,,,
ILOP,0.6,1.3,14.5,67.6,67.6,67.6,67.6,67.6,67.6,,,
JUNI,1.9,96.7,211.9,381.2,568.6,773.9,997.3,997.3,997.3,,,
MA2,2.8,30.0,79.8,149.3,222.1,222.1,222.1,222.1,222.1,,,
MAGR,3.2,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
MO,5.2,135.4,312.9,513.1,691.1,868.2,1065.6,1304.6,1606.3,,,
PHCA,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,
PHDA4,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
PINI,2.9,24.5,88.0,207.0,331.7,426.0,426.0,426.0,426.0,,,
PIPU,5.2,36.5,85.1,152.6,223.5,297.6,297.6,297.6,297.6,,,
PIST,6.5,49.0,135.3,292.2,497.0,497.0,497.0,497.0,497.0,,,
PODE,4.4,42.7,140.3,340.0,600.1,899.1,899.1,899.1,899.1,,,
PYCA,5.2,40.8,96.0,96.0,96.0,96.0,96.0,96.0,96.0,,,
QUIL2,5.5,44.3,130.9,312.1,568.5,900.1,1306.9,1306.9,1306.9,,,
QURU,5.5,61.0,163.3,335.1,547.4,800.2,1093.6,1427.5,1801.9,,,
TICO,2.8,31.8,92.3,202.1,325.7,441.8,441.8,441.8,441.8,,,
ULPU,6.0,86.0,209.1,378.8,555.1,737.9,927.1,1122.9,1325.2,,,
WARO,0.7,4.6,11.2,19.5,28.6,37.7,37.7,37.7,37.7,,,
BDL OTHER,6.6,40.5,133.7,308.8,503.1,674.2,779.5,779.5,779.5,,,
BDM OTHER,2.8,31.8,92.3,202.1,325.7,441.8,441.8,441.8,441.8,,,
BDS OTHER,2.0,50.1,109.8,166.3,166.3,166.3,166.3,166.3,166.3,,,
CEL OTHER,6.5,49.0,135.3,292.2,497.0,497.0,497.0,497.0,497.0,,,
CEM OTHER,2.9,24.5,88.0,207.0,331.7,426.0,426.0,426.0,426.0,,,
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
BEL OTHER,5.5,44.3,130.9,312.1,568.5,900.1,1306.9,1306.9,1306.9,,,
BEM OTHER,3.2,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
BES OTHER,0.6,1.3,14.5,67.6,67.6,67.6,67.6,67.6,67.6,,,
PEL OTHER,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,
PEM OTHER,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PES OTHER,0.7,4.6,11.2,19.5,28.6,37.7,37.7,37.7,37.7,,,
