#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,5.1,50.9,80.1,163.0,243.1,309.2,355.9,384.5,384.5
ACRU,10.8,55.0,124.8,253.8,366.0,462.1,462.1,462.1,462.1
ACSA1,9.7,47.1,66.5,160.9,248.7,328.3,399.5,460.4,512.0
ACSA2,12.5,49.7,121.5,241.7,373.0,489.3,489.3,489.3,489.3
CASP,7.6,2.5,36.1,94.4,151.3,201.7,246.4,286.7,323.5
CECA,11.7,-34.3,-86.6,-141.3,-141.3,-141.3,-141.3,-141.3,-141.3
CEOC,9.3,-4.0,3.6,92.8,192.4,290.6,374.3,442.7,496.0
FRAM,9.0,10.7,91.8,217.7,331.5,431.1,431.1,431.1,431.1
FRPE,1.4,-13.2,84.8,198.9,324.6,448.2,542.4,542.4,542.4
GLTR,9.4,-70.9,-189.2,-207.9,-185.7,-185.7,-185.7,-185.7,-185.7
ILOP,18.5,-9.8,-89.1,-223.9,-223.9,-223.9,-223.9,-223.9,-223.9
JUNI,-19.2,-99.6,-220.1,-242.1,-240.4,-219.3,-204.1,-204.1,-204.1
MA2,12.0,-54.1,140.5,211.5,274.0,274.0,274.0,274.0,274.0
MAGR,32.3,-21.3,-195.8,-292.2,-335.8,-326.0,-313.1,-346.5,-346.5
MO,18.0,-28.1,123.2,220.2,304.5,378.9,442.3,494.0,534.8
PHCA,5.1,0.0,-48.0,-114.7,-114.1,-112.6,-112.6,-112.6,-112.6
PHDA4,10.0,-37.1,-81.9,-129.4,-138.4,-155.4,-155.4,-155.4,-155.4
PICO5,3.5,-41.7,-118.6,-211.2,-211.2,-211.2,-211.2,-211.2,-211.2
PINI,11.1,-8.7,-141.9,-239.8,-269.0,-277.0,-277.0,-277.0,-277.0
PIPU,13.1,-34.6,-95.6,-140.0,-146.7,-166.0,-166.0,-166.0,-166.0
PIST,5.6,-76.2,-232.9,-243.2,-198.4,-198.4,-198.4,-198.4,-198.4
PODE,-3.7,-43.1,18.5,156.8,307.2,450.4,450.4,450.4,450.4
PYCA,1.9,10.2,38.9,38.9,38.9,38.9,38.9,38.9,38.9
QUIL2,-0.3,-86.5,-63.4,-56.0,-7.4,58.1,87.1,87.1,87.1
QURU,2.4,35.5,119.7,234.6,360.5,501.2,638.8,759.9,859.4
TICO,2.7,5.7,37.4,80.3,153.6,249.4,249.4,249.4,249.4
ULPU,8.1,-49.4,-61.7,-2.4,75.2,160.1,226.6,267.6,286.7
WARO,2.4,-28.2,24.5,23.4,16.7,9.9,5.5,4.7,4.7
BDL OTHER,1.4,-13.2,84.8,198.9,324.6,448.2,542.4,542.4,542.4
BDM OTHER,2.7,5.7,37.4,80.3,153.6,249.4,249.4,249.4,249.4
BDS OTHER,11.7,-34.3,-86.6,-141.3,-141.3,-141.3,-141.3,-141.3,-141.3
CEL OTHER,5.6,-76.2,-232.9,-243.2,-198.4,-198.4,-198.4,-198.4,-198.4
CEM OTHER,11.1,-8.7,-141.9,-239.8,-269.0,-277.0,-277.0,-277.0,-277.0
CES OTHER,3.5,-41.7,-118.6,-211.2,-211.2,-211.2,-211.2,-211.2,-211.2
BEL OTHER,-0.3,-86.5,-63.4,-56.0,-7.4,58.1,87.1,87.1,87.1
BEM OTHER,32.3,-21.3,-195.8,-292.2,-335.8,-326.0,-313.1,-346.5,-346.5
BES OTHER,18.5,-9.8,-89.1,-223.9,-223.9,-223.9,-223.9,-223.9,-223.9
PEL OTHER,5.1,0.0,-48.0,-114.7,-114.1,-112.6,-112.6,-112.6,-112.6
PEM OTHER,10.0,-37.1,-81.9,-129.4,-138.4,-155.4,-155.4,-155.4,-155.4
PES OTHER,2.4,-28.2,24.5,23.4,16.7,9.9,5.5,4.7,4.7
