#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,5.5,52.9,101.5,195.1,281.0,351.8,404.3,440.1,440.1
ACRU,10.1,57.7,138.2,267.7,378.1,471.1,471.1,471.1,471.1
ACSA1,10.0,51.9,92.7,190.6,278.0,355.2,422.5,480.0,528.4
ACSA2,12.3,57.2,137.4,256.4,377.0,481.4,481.4,481.4,481.4
CASP,8.2,16.7,59.2,122.3,180.7,231.5,276.2,316.0,352.0
CECA,12.8,-5.7,-25.7,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0
CEOC,9.0,15.2,50.4,150.7,251.8,346.1,425.3,489.4,539.5
FRAM,8.7,25.7,112.2,237.3,347.7,442.2,442.2,442.2,442.2
FRPE,3.0,8.6,108.8,229.7,352.4,466.9,554.7,554.7,554.7
GLTR,10.4,-24.4,-68.8,-37.4,11.5,11.5,11.5,11.5,11.5
ILOP,16.5,3.6,-39.1,-108.1,-108.1,-108.1,-108.1,-108.1,-108.1
JUNI,-9.4,-57.0,-116.2,-91.5,-54.2,-12.0,16.9,16.9,16.9
MA2,11.2,-19.7,139.0,215.4,281.2,281.2,281.2,281.2,281.2
MAGR,29.3,-0.5,-105.9,-140.1,-131.3,-85.8,-44.7,-48.6,-48.6
MO,16.6,5.2,142.1,245.9,333.1,407.5,470.1,520.5,560.8
PHCA,5.2,7.4,-12.3,-34.1,-33.8,-32.7,-32.7,-32.7,-32.7
PHDA4,9.7,-12.2,-30.5,-47.9,-40.4,-40.6,-40.6,-40.6,-40.6
PICO5,4.0,-22.1,-63.4,-104.1,-104.1,-104.1,-104.1,-104.1,-104.1
PINI,10.6,7.1,-73.7,-127.5,-134.7,-128.7,-128.7,-128.7,-128.7
PIPU,12.2,-17.8,-53.6,-68.3,-49.6,-35.2,-35.2,-35.2,-35.2
PIST,6.2,-40.8,-130.2,-109.4,-53.2,-53.2,-53.2,-53.2,-53.2
PODE,-2.0,-22.3,43.7,178.5,320.6,452.9,452.9,452.9,452.9
PYCA,3.2,21.7,65.6,65.6,65.6,65.6,65.6,65.6,65.6
QUIL2,3.2,-46.8,-8.3,36.6,110.3,189.9,234.7,234.7,234.7
QURU,4.6,48.0,143.0,265.7,387.6,513.0,630.3,731.5,813.3
TICO,3.5,17.7,63.3,124.3,203.5,294.7,294.7,294.7,294.7
ULPU,11.0,-20.1,-5.7,74.8,167.9,260.8,332.8,379.3,403.3
WARO,2.2,-16.1,24.8,28.6,28.3,27.2,26.8,27.7,27.7
BDL OTHER,3.0,8.6,108.8,229.7,352.4,466.9,554.7,554.7,554.7
BDM OTHER,3.5,17.7,63.3,124.3,203.5,294.7,294.7,294.7,294.7
BDS OTHER,12.8,-5.7,-25.7,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0
CEL OTHER,6.2,-40.8,-130.2,-109.4,-53.2,-53.2,-53.2,-53.2,-53.2
CEM OTHER,10.6,7.1,-73.7,-127.5,-134.7,-128.7,-128.7,-128.7,-128.7
CES OTHER,4.0,-22.1,-63.4,-104.1,-104.1,-104.1,-104.1,-104.1,-104.1
BEL OTHER,3.2,-46.8,-8.3,36.6,110.3,189.9,234.7,234.7,234.7
BEM OTHER,29.3,-0.5,-105.9,-140.1,-131.3,-85.8,-44.7,-48.6,-48.6
BES OTHER,16.5,3.6,-39.1,-108.1,-108.1,-108.1,-108.1,-108.1,-108.1
PEL OTHER,5.2,7.4,-12.3,-34.1,-33.8,-32.7,-32.7,-32.7,-32.7
PEM OTHER,9.7,-12.2,-30.5,-47.9,-40.4,-40.6,-40.6,-40.6,-40.6
PES OTHER,2.2,-16.1,24.8,28.6,28.3,27.2,26.8,27.7,27.7
