#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.001,-0.012,-0.032,-0.064,-0.102,-0.136,-0.161,-0.169,-0.169
ACRU,-0.001,-0.008,-0.032,-0.083,-0.145,-0.202,-0.202,-0.202,-0.202
ACSA1,0.000,-0.018,-0.040,-0.067,-0.096,-0.122,-0.148,-0.173,-0.197
ACSA2,-0.002,-0.040,-0.109,-0.221,-0.348,-0.474,-0.474,-0.474,-0.474
CASP,0.001,0.006,0.014,0.023,0.030,0.036,0.042,0.047,0.052
CECA,0.001,0.006,0.013,0.020,0.020,0.020,0.020,0.020,0.020
CEOC,0.001,0.007,0.020,0.036,0.049,0.062,0.073,0.084,0.093
FRAM,0.001,0.007,0.019,0.035,0.047,0.059,0.059,0.059,0.059
FRPE,0.001,0.006,0.019,0.038,0.052,0.066,0.079,0.079,0.079
GLTR,0.000,-0.010,-0.048,-0.129,-0.225,-0.225,-0.225,-0.225,-0.225
ILOP,0.001,0.003,0.008,0.021,0.021,0.021,0.021,0.021,0.021
JUNI,0.001,-0.006,-0.009,-0.011,-0.019,-0.029,-0.044,-0.044,-0.044
MA2,0.001,0.005,0.013,0.025,0.033,0.033,0.033,0.033,0.033
MAGR,-0.002,-0.003,-0.057,-0.185,-0.345,-0.497,-0.604,-0.631,-0.631
MO,0.000,-0.014,-0.031,-0.048,-0.065,-0.084,-0.106,-0.137,-0.179
PHCA,-0.020,-0.114,-0.207,-0.283,-0.351,-0.351,-0.351,-0.351,-0.351
PHDA4,-0.009,-0.026,-0.039,-0.050,-0.063,-0.078,-0.099,-0.099,-0.099
PICO5,-0.003,-0.035,-0.140,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362
PINI,-0.002,-0.024,-0.089,-0.216,-0.351,-0.453,-0.453,-0.453,-0.453
PIPU,-0.006,-0.043,-0.099,-0.174,-0.254,-0.333,-0.333,-0.333,-0.333
PIST,-0.006,-0.047,-0.130,-0.285,-0.495,-0.495,-0.495,-0.495,-0.495
PODE,-0.010,-0.096,-0.312,-0.761,-1.353,-2.033,-2.033,-2.033,-2.033
PYCA,0.001,0.005,0.015,0.015,0.015,0.015,0.015,0.015,0.015
QUIL2,-0.014,-0.120,-0.355,-0.847,-1.552,-2.468,-3.596,-3.596,-3.596
QURU,-0.005,-0.055,-0.147,-0.305,-0.511,-0.760,-1.051,-1.386,-1.764
TICO,-0.001,-0.008,-0.022,-0.050,-0.087,-0.121,-0.121,-0.121,-0.121
ULPU,0.002,0.006,0.016,0.033,0.048,0.065,0.082,0.096,0.109
WARO,-0.001,-0.004,-0.011,-0.020,-0.030,-0.040,-0.039,-0.038,-0.038
BDL OTHER,0.001,0.006,0.019,0.038,0.052,0.066,0.079,0.079,0.079
BDM OTHER,-0.001,-0.008,-0.022,-0.050,-0.087,-0.121,-0.121,-0.121,-0.121
BDS OTHER,0.001,0.006,0.013,0.020,0.020,0.020,0.020,0.020,0.020
CEL OTHER,-0.006,-0.047,-0.130,-0.285,-0.495,-0.495,-0.495,-0.495,-0.495
CEM OTHER,-0.002,-0.024,-0.089,-0.216,-0.351,-0.453,-0.453,-0.453,-0.453
CES OTHER,-0.003,-0.035,-0.140,-0.362,-0.362,-0.362,-0.362,-0.362,-0.362
BEL OTHER,-0.014,-0.120,-0.355,-0.847,-1.552,-2.468,-3.596,-3.596,-3.596
BEM OTHER,-0.002,-0.003,-0.057,-0.185,-0.345,-0.497,-0.604,-0.631,-0.631
BES OTHER,0.001,0.003,0.008,0.021,0.021,0.021,0.021,0.021,0.021
PEL OTHER,-0.020,-0.114,-0.207,-0.283,-0.351,-0.351,-0.351,-0.351,-0.351
PEM OTHER,-0.009,-0.026,-0.039,-0.050,-0.063,-0.078,-0.099,-0.099,-0.099
PES OTHER,-0.001,-0.004,-0.011,-0.020,-0.030,-0.040,-0.039,-0.038,-0.038
