#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0008,0.0074,0.0223,0.0458,0.0600,0.0761,0.0903,0.1044,0.1044
ACRU,0.0009,0.0088,0.0262,0.0506,0.0663,0.0829,0.0829,0.0829,0.0829
ACSA1,0.0012,0.0090,0.0235,0.0437,0.0548,0.0687,0.0801,0.0902,0.1000
ACSA2,0.0015,0.0098,0.0267,0.0485,0.0615,0.0754,0.0754,0.0754,0.0754
CASP,0.0012,0.0071,0.0170,0.0312,0.0389,0.0475,0.0546,0.0625,0.0688
CECA,0.0021,0.0082,0.0177,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282
CEOC,0.0009,0.0086,0.0258,0.0498,0.0652,0.0817,0.0973,0.1110,0.1241
FRAM,0.0009,0.0085,0.0244,0.0477,0.0619,0.0777,0.0777,0.0777,0.0777
FRPE,0.0008,0.0080,0.0253,0.0514,0.0684,0.0868,0.1045,0.1045,0.1045
GLTR,0.0015,0.0130,0.0362,0.0682,0.0882,0.0882,0.0882,0.0882,0.0882
ILOP,0.0012,0.0042,0.0113,0.0283,0.0283,0.0283,0.0283,0.0283,0.0283
JUNI,0.0020,0.0078,0.0225,0.0502,0.0691,0.0888,0.1052,0.1052,0.1052
MA2,0.0011,0.0071,0.0186,0.0357,0.0459,0.0459,0.0459,0.0459,0.0459
MAGR,0.0026,0.0067,0.0178,0.0425,0.0631,0.0910,0.1227,0.1554,0.1554
MO,0.0015,0.0106,0.0283,0.0511,0.0655,0.0801,0.0933,0.1055,0.1167
PHCA,0.0005,0.0032,0.0100,0.0252,0.0253,0.0253,0.0253,0.0253,0.0253
PHDA4,0.0011,0.0058,0.0134,0.0250,0.0315,0.0379,0.0379,0.0379,0.0379
PICO5,0.0005,0.0032,0.0103,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257
PINI,0.0011,0.0058,0.0136,0.0253,0.0320,0.0386,0.0386,0.0386,0.0386
PIPU,0.0011,0.0030,0.0073,0.0194,0.0298,0.0457,0.0457,0.0457,0.0457
PIST,0.0008,0.0070,0.0198,0.0389,0.0500,0.0500,0.0500,0.0500,0.0500
PODE,0.0002,0.0046,0.0164,0.0399,0.0551,0.0753,0.0753,0.0753,0.0753
PYCA,0.0008,0.0064,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189
QUIL2,0.0015,0.0059,0.0185,0.0457,0.0654,0.0892,0.1117,0.1117,0.1117
QURU,0.0013,0.0105,0.0302,0.0569,0.0748,0.0932,0.1100,0.1251,0.1384
TICO,0.0005,0.0060,0.0182,0.0390,0.0514,0.0664,0.0664,0.0664,0.0664
ULPU,0.0023,0.0075,0.0202,0.0461,0.0650,0.0878,0.1097,0.1293,0.1451
WARO,0.0001,0.0012,0.0031,0.0055,0.0070,0.0086,0.0098,0.0105,0.0105
BDL OTHER,0.0008,0.0080,0.0253,0.0514,0.0684,0.0868,0.1045,0.1045,0.1045
BDM OTHER,0.0005,0.0060,0.0182,0.0390,0.0514,0.0664,0.0664,0.0664,0.0664
BDS OTHER,0.0021,0.0082,0.0177,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282
CEL OTHER,0.0008,0.0070,0.0198,0.0389,0.0500,0.0500,0.0500,0.0500,0.0500
CEM OTHER,0.0011,0.0058,0.0136,0.0253,0.0320,0.0386,0.0386,0.0386,0.0386
CES OTHER,0.0005,0.0032,0.0103,0.0257,0.0257,0.0257,0.0257,0.0257,0.0257
BEL OTHER,0.0015,0.0059,0.0185,0.0457,0.0654,0.0892,0.1117,0.1117,0.1117
BEM OTHER,0.0026,0.0067,0.0178,0.0425,0.0631,0.0910,0.1227,0.1554,0.1554
BES OTHER,0.0012,0.0042,0.0113,0.0283,0.0283,0.0283,0.0283,0.0283,0.0283
PEL OTHER,0.0005,0.0032,0.0100,0.0252,0.0253,0.0253,0.0253,0.0253,0.0253
PEM OTHER,0.0011,0.0058,0.0134,0.0250,0.0315,0.0379,0.0379,0.0379,0.0379
PES OTHER,0.0001,0.0012,0.0031,0.0055,0.0070,0.0086,0.0098,0.0105,0.0105
