#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0001,0.0035,0.0110,0.0211,0.0289,0.0364,0.0432,0.0498,0.0498
ACRU,0.0004,0.0043,0.0130,0.0238,0.0322,0.0402,0.0402,0.0402,0.0402
ACSA1,0.0006,0.0044,0.0117,0.0203,0.0266,0.0328,0.0382,0.0430,0.0476
ACSA2,0.0007,0.0049,0.0130,0.0227,0.0297,0.0361,0.0361,0.0361,0.0361
CASP,0.0006,0.0037,0.0087,0.0146,0.0188,0.0229,0.0264,0.0298,0.0327
CECA,0.0008,0.0036,0.0080,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
CEOC,0.0004,0.0042,0.0123,0.0227,0.0308,0.0386,0.0458,0.0523,0.0584
FRAM,0.0004,0.0043,0.0120,0.0220,0.0296,0.0369,0.0369,0.0369,0.0369
FRPE,0.0004,0.0039,0.0122,0.0236,0.0325,0.0412,0.0494,0.0494,0.0494
GLTR,0.0007,0.0060,0.0163,0.0298,0.0401,0.0401,0.0401,0.0401,0.0401
ILOP,0.0006,0.0019,0.0051,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126
JUNI,0.0008,0.0037,0.0105,0.0218,0.0313,0.0404,0.0478,0.0478,0.0478
MA2,0.0005,0.0033,0.0091,0.0165,0.0222,0.0222,0.0222,0.0222,0.0222
MAGR,0.0011,0.0029,0.0081,0.0181,0.0283,0.0411,0.0555,0.0708,0.0708
MO,0.0007,0.0052,0.0136,0.0239,0.0314,0.0384,0.0447,0.0503,0.0554
PHCA,0.0003,0.0014,0.0045,0.0111,0.0111,0.0112,0.0112,0.0112,0.0112
PHDA4,0.0005,0.0024,0.0062,0.0109,0.0139,0.0168,0.0168,0.0168,0.0168
PICO5,0.0003,0.0015,0.0047,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
PINI,0.0005,0.0024,0.0063,0.0111,0.0143,0.0174,0.0174,0.0174,0.0174
PIPU,0.0005,0.0012,0.0033,0.0084,0.0133,0.0204,0.0204,0.0204,0.0204
PIST,0.0004,0.0031,0.0093,0.0171,0.0232,0.0232,0.0232,0.0232,0.0232
PODE,0.0002,0.0024,0.0087,0.0184,0.0268,0.0359,0.0359,0.0359,0.0359
PYCA,0.0004,0.0030,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
QUIL2,0.0007,0.0026,0.0083,0.0193,0.0294,0.0404,0.0507,0.0507,0.0507
QURU,0.0007,0.0053,0.0144,0.0265,0.0357,0.0443,0.0522,0.0591,0.0656
TICO,0.0003,0.0028,0.0089,0.0177,0.0246,0.0315,0.0315,0.0315,0.0315
ULPU,0.0010,0.0035,0.0098,0.0204,0.0301,0.0406,0.0509,0.0599,0.0676
WARO,0.0001,0.0007,0.0013,0.0022,0.0030,0.0037,0.0043,0.0046,0.0046
BDL OTHER,0.0004,0.0039,0.0122,0.0236,0.0325,0.0412,0.0494,0.0494,0.0494
BDM OTHER,0.0003,0.0028,0.0089,0.0177,0.0246,0.0315,0.0315,0.0315,0.0315
BDS OTHER,0.0008,0.0036,0.0080,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
CEL OTHER,0.0004,0.0031,0.0093,0.0171,0.0232,0.0232,0.0232,0.0232,0.0232
CEM OTHER,0.0005,0.0024,0.0063,0.0111,0.0143,0.0174,0.0174,0.0174,0.0174
CES OTHER,0.0003,0.0015,0.0047,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115
BEL OTHER,0.0007,0.0026,0.0083,0.0193,0.0294,0.0404,0.0507,0.0507,0.0507
BEM OTHER,0.0011,0.0029,0.0081,0.0181,0.0283,0.0411,0.0555,0.0708,0.0708
BES OTHER,0.0006,0.0019,0.0051,0.0126,0.0126,0.0126,0.0126,0.0126,0.0126
PEL OTHER,0.0003,0.0014,0.0045,0.0111,0.0111,0.0112,0.0112,0.0112,0.0112
PEM OTHER,0.0005,0.0024,0.0062,0.0109,0.0139,0.0168,0.0168,0.0168,0.0168
PES OTHER,0.0001,0.0007,0.0013,0.0022,0.0030,0.0037,0.0043,0.0046,0.0046
