#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0009,0.0072,0.0223,0.0429,0.0588,0.0741,0.0881,0.1016,0.1016
ACRU,0.0009,0.0088,0.0263,0.0483,0.0655,0.0818,0.0818,0.0818,0.0818
ACSA1,0.0012,0.0089,0.0237,0.0412,0.0542,0.0668,0.0778,0.0876,0.0972
ACSA2,0.0015,0.0101,0.0264,0.0460,0.0604,0.0736,0.0736,0.0736,0.0736
CASP,0.0011,0.0075,0.0176,0.0295,0.0381,0.0464,0.0538,0.0608,0.0667
CECA,0.0018,0.0076,0.0164,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252
CEOC,0.0009,0.0086,0.0250,0.0461,0.0628,0.0787,0.0935,0.1070,0.1195
FRAM,0.0009,0.0087,0.0243,0.0447,0.0603,0.0753,0.0753,0.0753,0.0753
FRPE,0.0009,0.0079,0.0248,0.0479,0.0663,0.0839,0.1010,0.1010,0.1010
GLTR,0.0014,0.0124,0.0333,0.0609,0.0820,0.0820,0.0820,0.0820,0.0820
ILOP,0.0012,0.0041,0.0106,0.0258,0.0258,0.0258,0.0258,0.0258,0.0258
JUNI,0.0017,0.0075,0.0213,0.0443,0.0640,0.0827,0.0980,0.0980,0.0980
MA2,0.0011,0.0069,0.0185,0.0334,0.0451,0.0451,0.0451,0.0451,0.0451
MAGR,0.0023,0.0060,0.0166,0.0368,0.0579,0.0842,0.1139,0.1457,0.1457
MO,0.0015,0.0107,0.0276,0.0484,0.0639,0.0781,0.0910,0.1028,0.1133
PHCA,0.0005,0.0029,0.0092,0.0226,0.0227,0.0228,0.0228,0.0228,0.0228
PHDA4,0.0010,0.0051,0.0128,0.0222,0.0285,0.0345,0.0345,0.0345,0.0345
PICO5,0.0005,0.0031,0.0096,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235
PINI,0.0010,0.0051,0.0129,0.0226,0.0292,0.0356,0.0356,0.0356,0.0356
PIPU,0.0010,0.0026,0.0067,0.0171,0.0272,0.0417,0.0417,0.0417,0.0417
PIST,0.0008,0.0063,0.0189,0.0347,0.0472,0.0472,0.0472,0.0472,0.0472
PODE,0.0003,0.0047,0.0175,0.0372,0.0545,0.0731,0.0731,0.0731,0.0731
PYCA,0.0008,0.0061,0.0186,0.0186,0.0186,0.0186,0.0186,0.0186,0.0186
QUIL2,0.0014,0.0054,0.0171,0.0394,0.0602,0.0828,0.1040,0.1040,0.1040
QURU,0.0014,0.0108,0.0291,0.0538,0.0727,0.0904,0.1067,0.1211,0.1345
TICO,0.0006,0.0057,0.0182,0.0360,0.0501,0.0642,0.0642,0.0642,0.0642
ULPU,0.0021,0.0072,0.0199,0.0414,0.0615,0.0830,0.1042,0.1229,0.1388
WARO,0.0002,0.0016,0.0027,0.0046,0.0062,0.0077,0.0089,0.0096,0.0096
BDL OTHER,0.0009,0.0079,0.0248,0.0479,0.0663,0.0839,0.1010,0.1010,0.1010
BDM OTHER,0.0006,0.0057,0.0182,0.0360,0.0501,0.0642,0.0642,0.0642,0.0642
BDS OTHER,0.0018,0.0076,0.0164,0.0252,0.0252,0.0252,0.0252,0.0252,0.0252
CEL OTHER,0.0008,0.0063,0.0189,0.0347,0.0472,0.0472,0.0472,0.0472,0.0472
CEM OTHER,0.0010,0.0051,0.0129,0.0226,0.0292,0.0356,0.0356,0.0356,0.0356
CES OTHER,0.0005,0.0031,0.0096,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235
BEL OTHER,0.0014,0.0054,0.0171,0.0394,0.0602,0.0828,0.1040,0.1040,0.1040
BEM OTHER,0.0023,0.0060,0.0166,0.0368,0.0579,0.0842,0.1139,0.1457,0.1457
BES OTHER,0.0012,0.0041,0.0106,0.0258,0.0258,0.0258,0.0258,0.0258,0.0258
PEL OTHER,0.0005,0.0029,0.0092,0.0226,0.0227,0.0228,0.0228,0.0228,0.0228
PEM OTHER,0.0010,0.0051,0.0128,0.0222,0.0285,0.0345,0.0345,0.0345,0.0345
PES OTHER,0.0002,0.0016,0.0027,0.0046,0.0062,0.0077,0.0089,0.0096,0.0096
