#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0012,0.0415,0.1302,0.2509,0.3426,0.4316,0.5126,0.5908,0.5908
ACRU,0.0050,0.0512,0.1541,0.2815,0.3798,0.4740,0.4740,0.4740,0.4740
ACSA1,0.0071,0.0522,0.1395,0.2410,0.3152,0.3874,0.4512,0.5072,0.5616
ACSA2,0.0084,0.0585,0.1541,0.2680,0.3495,0.4246,0.4246,0.4246,0.4246
CASP,0.0066,0.0441,0.1037,0.1734,0.2227,0.2707,0.3130,0.3530,0.3870
CECA,0.0100,0.0444,0.0977,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512
CEOC,0.0050,0.0504,0.1481,0.2714,0.3666,0.4578,0.5425,0.6199,0.6916
FRAM,0.0052,0.0512,0.1425,0.2601,0.3494,0.4354,0.4354,0.4354,0.4354
FRPE,0.0053,0.0470,0.1450,0.2797,0.3846,0.4859,0.5833,0.5833,0.5833
GLTR,0.0078,0.0738,0.1996,0.3629,0.4853,0.4853,0.4853,0.4853,0.4853
ILOP,0.0068,0.0232,0.0635,0.1566,0.1566,0.1566,0.1566,0.1566,0.1566
JUNI,0.0104,0.0462,0.1305,0.2665,0.3810,0.4902,0.5788,0.5788,0.5788
MA2,0.0063,0.0408,0.1064,0.1943,0.2617,0.2617,0.2617,0.2617,0.2617
MAGR,0.0128,0.0353,0.1017,0.2233,0.3474,0.5010,0.6732,0.8578,0.8578
MO,0.0081,0.0631,0.1610,0.2827,0.3712,0.4539,0.5279,0.5953,0.6557
PHCA,0.0031,0.0165,0.0547,0.1355,0.1361,0.1365,0.1365,0.1365,0.1365
PHDA4,0.0058,0.0300,0.0764,0.1334,0.1705,0.2058,0.2058,0.2058,0.2058
PICO5,0.0031,0.0185,0.0585,0.1426,0.1426,0.1426,0.1426,0.1426,0.1426
PINI,0.0058,0.0297,0.0787,0.1383,0.1777,0.2153,0.2153,0.2153,0.2153
PIPU,0.0058,0.0157,0.0413,0.1036,0.1632,0.2489,0.2489,0.2489,0.2489
PIST,0.0046,0.0386,0.1160,0.2104,0.2824,0.2824,0.2824,0.2824,0.2824
PODE,0.0022,0.0296,0.1038,0.2176,0.3158,0.4222,0.4222,0.4222,0.4222
PYCA,0.0047,0.0356,0.1088,0.1088,0.1088,0.1088,0.1088,0.1088,0.1088
QUIL2,0.0079,0.0326,0.1016,0.2334,0.3537,0.4850,0.6077,0.6077,0.6077
QURU,0.0082,0.0631,0.1704,0.3139,0.4216,0.5225,0.6144,0.6955,0.7712
TICO,0.0035,0.0330,0.1066,0.2117,0.2931,0.3740,0.3740,0.3740,0.3740
ULPU,0.0119,0.0437,0.1188,0.2451,0.3606,0.4851,0.6069,0.7151,0.8063
WARO,0.0012,0.0088,0.0150,0.0264,0.0355,0.0445,0.0518,0.0555,0.0555
BDL OTHER,0.0053,0.0470,0.1450,0.2797,0.3846,0.4859,0.5833,0.5833,0.5833
BDM OTHER,0.0035,0.0330,0.1066,0.2117,0.2931,0.3740,0.3740,0.3740,0.3740
BDS OTHER,0.0100,0.0444,0.0977,0.1512,0.1512,0.1512,0.1512,0.1512,0.1512
CEL OTHER,0.0046,0.0386,0.1160,0.2104,0.2824,0.2824,0.2824,0.2824,0.2824
CEM OTHER,0.0058,0.0297,0.0787,0.1383,0.1777,0.2153,0.2153,0.2153,0.2153
CES OTHER,0.0031,0.0185,0.0585,0.1426,0.1426,0.1426,0.1426,0.1426,0.1426
BEL OTHER,0.0079,0.0326,0.1016,0.2334,0.3537,0.4850,0.6077,0.6077,0.6077
BEM OTHER,0.0128,0.0353,0.1017,0.2233,0.3474,0.5010,0.6732,0.8578,0.8578
BES OTHER,0.0068,0.0232,0.0635,0.1566,0.1566,0.1566,0.1566,0.1566,0.1566
PEL OTHER,0.0031,0.0165,0.0547,0.1355,0.1361,0.1365,0.1365,0.1365,0.1365
PEM OTHER,0.0058,0.0300,0.0764,0.1334,0.1705,0.2058,0.2058,0.2058,0.2058
PES OTHER,0.0012,0.0088,0.0150,0.0264,0.0355,0.0445,0.0518,0.0555,0.0555
