#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0100,0.0837,0.2633,0.5068,0.6940,0.8753,1.0402,1.2009,1.2009
ACRU,0.0102,0.1027,0.3104,0.5679,0.7694,0.9606,0.9606,0.9606,0.9606
ACSA1,0.0145,0.1042,0.2815,0.4868,0.6383,0.7862,0.9157,1.0303,1.1428
ACSA2,0.0172,0.1187,0.3109,0.5412,0.7084,0.8619,0.8619,0.8619,0.8619
CASP,0.0132,0.0899,0.2094,0.3495,0.4504,0.5477,0.6340,0.7160,0.7855
CECA,0.0206,0.0925,0.1995,0.3074,0.3074,0.3074,0.3074,0.3074,0.3074
CEOC,0.0100,0.1027,0.2991,0.5487,0.7441,0.9300,1.1042,1.2631,1.4103
FRAM,0.0104,0.1039,0.2878,0.5259,0.7089,0.8842,0.8842,0.8842,0.8842
FRPE,0.0105,0.0951,0.2930,0.5652,0.7805,0.9869,1.1877,1.1877,1.1877
GLTR,0.0162,0.1511,0.4057,0.7380,0.9888,0.9888,0.9888,0.9888,0.9888
ILOP,0.0140,0.0490,0.1302,0.3178,0.3178,0.3178,0.3178,0.3178,0.3178
JUNI,0.0212,0.0937,0.2644,0.5401,0.7755,0.9985,1.1813,1.1813,1.1813
MA2,0.0126,0.0847,0.2157,0.3919,0.5290,0.5290,0.5290,0.5290,0.5290
MAGR,0.0263,0.0723,0.2070,0.4523,0.7070,1.0215,1.3760,1.7588,1.7588
MO,0.0167,0.1292,0.3250,0.5707,0.7523,0.9203,1.0721,1.2108,1.3346
PHCA,0.0061,0.0342,0.1122,0.2757,0.2769,0.2777,0.2777,0.2777,0.2777
PHDA4,0.0117,0.0626,0.1560,0.2708,0.3463,0.4187,0.4187,0.4187,0.4187
PICO5,0.0062,0.0389,0.1196,0.2895,0.2895,0.2895,0.2895,0.2895,0.2895
PINI,0.0116,0.0614,0.1605,0.2802,0.3602,0.4370,0.4370,0.4370,0.4370
PIPU,0.0117,0.0322,0.0843,0.2099,0.3311,0.5062,0.5062,0.5062,0.5062
PIST,0.0092,0.0783,0.2355,0.4257,0.5730,0.5730,0.5730,0.5730,0.5730
PODE,0.0042,0.0584,0.2093,0.4385,0.6400,0.8576,0.8576,0.8576,0.8576
PYCA,0.0095,0.0724,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209,0.2209
QUIL2,0.0162,0.0680,0.2073,0.4740,0.7215,0.9894,1.2421,1.2421,1.2421
QURU,0.0166,0.1283,0.3441,0.6348,0.8554,1.0624,1.2516,1.4189,1.5759
TICO,0.0070,0.0678,0.2162,0.4273,0.5934,0.7591,0.7591,0.7591,0.7591
ULPU,0.0243,0.0882,0.2408,0.4961,0.7331,0.9872,1.2379,1.4609,1.6498
WARO,0.0024,0.0197,0.0307,0.0542,0.0732,0.0915,0.1069,0.1147,0.1147
BDL OTHER,0.0105,0.0951,0.2930,0.5652,0.7805,0.9869,1.1877,1.1877,1.1877
BDM OTHER,0.0070,0.0678,0.2162,0.4273,0.5934,0.7591,0.7591,0.7591,0.7591
BDS OTHER,0.0206,0.0925,0.1995,0.3074,0.3074,0.3074,0.3074,0.3074,0.3074
CEL OTHER,0.0092,0.0783,0.2355,0.4257,0.5730,0.5730,0.5730,0.5730,0.5730
CEM OTHER,0.0116,0.0614,0.1605,0.2802,0.3602,0.4370,0.4370,0.4370,0.4370
CES OTHER,0.0062,0.0389,0.1196,0.2895,0.2895,0.2895,0.2895,0.2895,0.2895
BEL OTHER,0.0162,0.0680,0.2073,0.4740,0.7215,0.9894,1.2421,1.2421,1.2421
BEM OTHER,0.0263,0.0723,0.2070,0.4523,0.7070,1.0215,1.3760,1.7588,1.7588
BES OTHER,0.0140,0.0490,0.1302,0.3178,0.3178,0.3178,0.3178,0.3178,0.3178
PEL OTHER,0.0061,0.0342,0.1122,0.2757,0.2769,0.2777,0.2777,0.2777,0.2777
PEM OTHER,0.0117,0.0626,0.1560,0.2708,0.3463,0.4187,0.4187,0.4187,0.4187
PES OTHER,0.0024,0.0197,0.0307,0.0542,0.0732,0.0915,0.1069,0.1147,0.1147
