,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,0.0187,0.0965,0.2259,0.4193,0.4755,0.5618,0.6341,0.6962,0.7526
ACPL,0.0102,0.0873,0.2376,0.5001,0.5839,0.7105,0.7105,0.7105,0.7105
ACRU,0.0095,0.0787,0.2445,0.5355,0.6188,0.6188,0.6188,0.6188,0.6188
ACSA1,0.0245,0.0747,0.2118,0.5054,0.5948,0.7273,0.8141,0.8846,0.9485
ACSA2,0.0094,0.0735,0.2229,0.4849,0.5660,0.6919,0.8005,0.8898,0.9681
CEOC,0.0107,0.0951,0.2688,0.5685,0.6700,0.8193,0.9408,1.0455,1.1369
FRAM,0.0236,0.0697,0.2028,0.5461,0.6710,0.8957,1.1005,1.1005,1.1005
FRPE,0.0061,0.0612,0.2076,0.4869,0.5783,0.7203,0.8420,0.9445,1.0368
GIBI,0.0052,0.0456,0.1465,0.3505,0.4126,0.5085,0.5085,0.5085,0.5085
GLTR,0.0154,0.1117,0.2961,0.5823,0.6651,0.7803,0.7803,0.7803,0.7803
MA2,0.0080,0.0509,0.1711,0.3965,0.4490,0.4490,0.4490,0.4490,0.4490
PICO5,0.0086,0.0352,0.1104,0.2452,0.2452,0.2452,0.2452,0.2452,0.2452
PINI,0.0149,0.0659,0.1428,0.2652,0.3014,0.3619,0.3619,0.3619,0.3619
PIPO,0.0086,0.0523,0.1289,0.2666,0.3155,0.3974,0.3974,0.3974,0.3974
QUPA,0.0105,0.0786,0.2364,0.5098,0.5947,0.7251,0.8351,0.9254,0.9254
QURU,0.0153,0.0837,0.2103,0.4098,0.4691,0.5617,0.5617,0.5617,0.5617
TIAM,0.0063,0.0654,0.1986,0.4530,0.5374,0.6679,0.7803,0.8783,0.9613
TICO,0.0052,0.0577,0.1791,0.4216,0.5027,0.6295,0.6295,0.6295,0.6295
ULAM,0.0024,0.0370,0.1786,0.5132,0.6315,0.8211,0.9801,1.1204,1.2375
ULPU,0.0058,0.0586,0.2061,0.4904,0.5829,0.7271,0.8507,0.9555,1.0479
ILOP,0.0195,0.0523,0.1300,0.3661,0.4609,0.4609,0.4609,0.4609,0.4609
MAGR,0.0361,0.0784,0.1854,0.4691,0.5756,0.7767,0.9622,1.1328,1.1328
QUNI,0.0208,0.0738,0.2021,0.5193,0.6444,0.8488,1.0267,1.1830,1.3115
BDL OTHER,0.0061,0.0612,0.2076,0.4869,0.5783,0.7203,0.8420,0.9445,1.0368
BDM OTHER,0.0102,0.0873,0.2376,0.5001,0.5839,0.7105,0.7105,0.7105,0.7105
BDS OTHER,0.0080,0.0509,0.1711,0.3965,0.4490,0.4490,0.4490,0.4490,0.4490
CEL OTHER,0.0086,0.0523,0.1289,0.2666,0.3155,0.3974,0.3974,0.3974,0.3974
CEM OTHER,0.0149,0.0659,0.1428,0.2652,0.3014,0.3619,0.3619,0.3619,0.3619
CES OTHER,0.0086,0.0352,0.1104,0.2452,0.2452,0.2452,0.2452,0.2452,0.2452
BEL OTHER,0.0208,0.0738,0.2021,0.5193,0.6444,0.8488,1.0267,1.1830,1.3115
BEM OTHER,0.0361,0.0784,0.1854,0.4691,0.5756,0.7767,0.9622,1.1328,1.1328
BES OTHER,0.0195,0.0523,0.1300,0.3661,0.4609,0.4609,0.4609,0.4609,0.4609
