,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,0.000,0.004,0.023,0.066,0.125,0.196,0.274,0.359,0.450
ACPL,0.000,0.003,0.025,0.099,0.223,0.392,0.392,0.392,0.392
ACRU,0.000,0.004,0.035,0.146,0.340,0.340,0.340,0.340,0.340
ACSA1,0.000,0.002,0.014,0.065,0.169,0.320,0.493,0.654,0.765
ACSA2,0.000,0.002,0.014,0.057,0.130,0.230,0.356,0.505,0.675
CEOC,0.000,0.002,0.015,0.061,0.140,0.252,0.392,0.560,0.752
FRAM,0.000,0.001,0.009,0.050,0.166,0.417,0.876,0.876,0.876
FRPE,0.000,0.001,0.011,0.050,0.121,0.224,0.360,0.525,0.719
GIBI,0.000,0.001,0.014,0.058,0.136,0.247,0.247,0.247,0.247
GLTR,0.000,0.004,0.032,0.115,0.249,0.426,0.426,0.426,0.426
MA2,0.000,0.002,0.021,0.094,0.197,0.197,0.197,0.197,0.197
PICO5,0.000,0.003,0.029,0.156,0.156,0.156,0.156,0.156,0.156
PINI,0.000,0.006,0.031,0.087,0.159,0.243,0.243,0.243,0.243
PIPO,0.000,0.003,0.023,0.077,0.157,0.258,0.258,0.258,0.258
QUPA,0.000,0.002,0.017,0.068,0.155,0.274,0.424,0.600,0.600
QURU,0.000,0.005,0.030,0.096,0.190,0.305,0.305,0.305,0.305
TIAM,0.000,0.001,0.010,0.044,0.105,0.194,0.307,0.445,0.605
TICO,0.000,0.001,0.016,0.072,0.176,0.328,0.328,0.328,0.328
ULAM,0.000,0.000,0.006,0.037,0.110,0.237,0.425,0.679,1.001
ULPU,0.000,0.001,0.011,0.049,0.122,0.231,0.374,0.550,0.758
ILOP,0.000,0.003,0.018,0.097,0.313,0.313,0.313,0.313,0.313
MAGR,0.000,0.002,0.010,0.046,0.140,0.336,0.689,1.266,1.266
QUNI,0.000,0.002,0.018,0.095,0.291,0.661,0.661,0.661,0.661
BDL OTHER,0.000,0.001,0.011,0.050,0.121,0.224,0.360,0.525,0.719
BDM OTHER,0.000,0.003,0.025,0.099,0.223,0.392,0.392,0.392,0.392
BDS OTHER,0.000,0.002,0.021,0.094,0.197,0.197,0.197,0.197,0.197
CEL OTHER,0.000,0.003,0.023,0.077,0.157,0.258,0.258,0.258,0.258
CEM OTHER,0.000,0.006,0.031,0.087,0.159,0.243,0.243,0.243,0.243
CES OTHER,0.000,0.003,0.029,0.156,0.156,0.156,0.156,0.156,0.156
BEL OTHER,0.000,0.002,0.018,0.095,0.291,0.661,0.661,0.661,0.661
BEM OTHER,0.000,0.002,0.010,0.046,0.140,0.336,0.689,1.266,1.266
BES OTHER,0.000,0.003,0.018,0.097,0.313,0.313,0.313,0.313,0.313
