,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,0.000,-0.005,-0.014,-0.032,-0.054,-0.080,-0.080,-0.080,-0.080
ACPL,0.000,-0.002,-0.009,-0.026,-0.053,-0.088,-0.088,-0.088,-0.088
ACRU,0.000,-0.001,-0.016,-0.054,-0.110,-0.110,-0.110,-0.110,-0.110
ACSA1,-0.002,-0.008,-0.024,-0.057,-0.103,-0.163,-0.236,-0.323,-0.423
ACSA2,0.000,-0.003,-0.016,-0.050,-0.105,-0.179,-0.273,-0.386,-0.519
CEOC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRPE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GIBI,0.000,-0.001,-0.007,-0.021,-0.044,-0.074,-0.074,-0.074,-0.074
GLTR,0.000,-0.002,-0.017,-0.069,-0.173,-0.345,-0.345,-0.345,-0.345
MA2,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001
PICO5,-0.004,-0.041,-0.158,-0.410,-0.410,-0.410,-0.410,-0.410,-0.410
PINI,-0.004,-0.030,-0.107,-0.251,-0.403,-0.517,-0.517,-0.517,-0.517
PIPO,-0.008,-0.026,-0.076,-0.247,-0.625,-1.299,-1.299,-1.299,-1.299
QUPA,0.000,-0.010,-0.050,-0.150,-0.304,-0.512,-0.773,-1.087,-1.087
QURU,0.000,-0.009,-0.044,-0.130,-0.263,-0.441,-0.441,-0.441,-0.441
TIAM,0.000,-0.003,-0.015,-0.048,-0.098,-0.167,-0.254,-0.358,-0.481
TICO,0.000,-0.001,-0.011,-0.040,-0.086,-0.152,-0.152,-0.152,-0.152
ULAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ULPU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MAGR,-0.002,-0.008,-0.076,-0.230,-0.420,-0.606,-0.747,-0.802,-0.802
QUNI,-0.003,-0.017,-0.108,-0.478,-1.022,-1.686,-1.686,-1.686,-1.686
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,0.000,-0.002,-0.009,-0.026,-0.053,-0.088,-0.088,-0.088,-0.088
BDS OTHER,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001
CEL OTHER,-0.008,-0.026,-0.076,-0.247,-0.625,-1.299,-1.299,-1.299,-1.299
CEM OTHER,-0.004,-0.030,-0.107,-0.251,-0.403,-0.517,-0.517,-0.517,-0.517
CES OTHER,-0.004,-0.041,-0.158,-0.410,-0.410,-0.410,-0.410,-0.410,-0.410
BEL OTHER,-0.003,-0.017,-0.108,-0.478,-1.022,-1.686,-1.686,-1.686,-1.686
BEM OTHER,-0.002,-0.008,-0.076,-0.230,-0.420,-0.606,-0.747,-0.802,-0.802
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
