,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,5.9,34.5,78.5,152.6,166.0,196.4,222.1,244.7,265.5
ACPL,3.3,29.3,79.8,179.2,199.6,244.3,244.3,244.3,244.3
ACRU,3.1,27.4,84.2,195.4,216.3,216.3,216.3,216.3,216.3
ACSA1,7.9,26.4,73.2,186.5,208.3,257.8,291.2,315.9,335.3
ACSA2,3.1,26.2,77.2,177.6,197.5,242.6,282.8,316.4,346.8
CEOC,3.5,31.7,90.4,204.1,229.8,283.0,327.2,366.8,402.5
FRAM,7.7,25.1,70.5,203.6,235.1,319.5,401.8,401.8,401.8
FRPE,2.0,22.1,72.0,178.2,200.2,250.5,294.8,333.1,368.7
GIBI,1.7,16.0,50.5,129.4,144.5,179.7,179.7,179.7,179.7
GLTR,5.0,38.3,101.3,211.3,233.7,278.8,278.8,278.8,278.8
MA2,2.5,16.9,56.3,139.9,151.9,151.9,151.9,151.9,151.9
PICO5,2.8,12.0,37.2,84.8,84.8,84.8,84.8,84.8,84.8
PINI,4.7,21.9,48.2,96.5,105.5,127.0,127.0,127.0,127.0
PIPO,2.8,17.1,42.8,98.2,111.8,141.0,141.0,141.0,141.0
QUPA,3.4,27.5,81.7,186.5,207.7,254.8,295.7,330.1,330.1
QURU,4.9,29.4,72.5,149.0,163.3,196.0,196.0,196.0,196.0
TIAM,2.0,22.2,67.1,163.5,183.7,229.2,269.5,305.5,336.3
TICO,1.7,19.7,60.6,152.8,172.3,216.7,216.7,216.7,216.7
ULAM,0.8,14.0,62.2,189.5,218.3,286.4,345.8,400.7,447.7
ULPU,1.9,21.2,71.5,180.2,202.9,254.5,300.2,339.9,376.1
ILOP,6.3,17.2,44.3,139.6,165.6,165.6,165.6,165.6,165.6
MAGR,11.6,26.7,63.9,176.1,204.5,279.9,352.4,422.5,422.5
QUNI,6.7,24.9,68.9,191.1,224.5,299.6,367.3,429.5,482.2
BDL OTHER,2.0,22.1,72.0,178.2,200.2,250.5,294.8,333.1,368.7
BDM OTHER,3.3,29.3,79.8,179.2,199.6,244.3,244.3,244.3,244.3
BDS OTHER,2.5,16.9,56.3,139.9,151.9,151.9,151.9,151.9,151.9
CEL OTHER,2.8,17.1,42.8,98.2,111.8,141.0,141.0,141.0,141.0
CEM OTHER,4.7,21.9,48.2,96.5,105.5,127.0,127.0,127.0,127.0
CES OTHER,2.8,12.0,37.2,84.8,84.8,84.8,84.8,84.8,84.8
BEL OTHER,6.7,24.9,68.9,191.1,224.5,299.6,367.3,429.5,482.2
BEM OTHER,11.6,26.7,63.9,176.1,204.5,279.9,352.4,422.5,422.5
BES OTHER,6.3,17.2,44.3,139.6,165.6,165.6,165.6,165.6,165.6
