,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACNE,3.0,17.1,40.1,68.5,94.2,117.6,139.3,159.4,178.4,,,
ACPL,1.4,12.9,38.1,75.2,112.7,149.5,149.5,149.5,149.5,,,
ACRU,1.4,14.0,43.4,88.2,134.4,134.4,134.4,134.4,134.4,,,
ACSA1,3.7,13.5,37.2,80.0,128.8,177.2,220.0,253.3,274.1,,,
ACSA2,1.4,13.0,38.9,77.7,117.1,156.0,194.0,231.1,267.2,,,
CEOC,1.5,14.7,45.1,91.1,138.3,185.2,231.2,276.2,320.1,,,
FRAM,3.6,12.3,35.0,83.1,151.3,239.5,347.3,347.3,347.3,,,
FRPE,0.9,10.8,35.4,74.8,116.7,159.3,201.7,243.7,285.2,,,
GIBI,0.8,8.0,24.9,51.0,78.1,105.2,105.2,105.2,105.2,,,
GLTR,2.3,19.1,53.5,102.1,150.0,196.2,196.2,196.2,196.2,,,
MA2,1.1,8.8,29.4,62.7,90.7,90.7,90.7,90.7,90.7,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PINI,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6,,,
PIPO,1.2,8.5,22.1,40.3,57.6,73.9,73.9,73.9,73.9,,,
QUPA,1.5,13.9,41.6,82.9,124.9,166.2,206.5,245.8,245.8,,,
QURU,2.3,14.8,36.8,65.3,91.7,116.4,116.4,116.4,116.4,,,
TIAM,0.9,9.7,31.1,64.6,99.9,135.4,170.6,205.3,239.4,,,
TICO,0.7,8.5,27.8,58.8,91.8,125.3,125.3,125.3,125.3,,,
ULAM,0.3,6.9,30.0,75.7,131.3,192.7,258.1,326.1,395.9,,,
ULPU,0.9,10.6,35.6,76.5,120.5,165.4,210.5,255.4,299.7,,,
ILOP,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
MAGR,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
QUNI,2.9,10.7,31.1,71.9,125.7,189.6,189.6,189.6,189.6,,,
BDL OTHER,0.9,10.8,35.4,74.8,116.7,159.3,201.7,243.7,285.2,,,
BDM OTHER,1.4,12.9,38.1,75.2,112.7,149.5,149.5,149.5,149.5,,,
BDS OTHER,1.1,8.8,29.4,62.7,90.7,90.7,90.7,90.7,90.7,,,
CEL OTHER,1.2,8.5,22.1,40.3,57.6,73.9,73.9,73.9,73.9,,,
CEM OTHER,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
BEL OTHER,2.9,10.7,31.1,71.9,125.7,189.6,189.6,189.6,189.6,,,
BEM OTHER,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
BES OTHER,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
