,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACNE,0.1,30.2,88.1,206.5,343.4,511.2,710.1,940.1,1201.0,,,
ACPL,0.1,11.6,56.6,168.6,340.1,571.1,571.1,571.1,571.1,,,
ACRU,0.1,5.6,63.6,214.0,437.4,437.4,437.4,437.4,437.4,,,
ACSA1,7.0,30.2,88.1,208.4,377.9,596.6,864.6,1181.8,1548.3,,,
ACSA2,0.1,9.6,57.9,185.6,385.7,658.2,1003.1,1420.3,1909.9,,,
CEOC,1.3,14.3,59.5,167.6,330.6,548.4,821.0,1148.4,1530.6,,,
FRAM,0.1,13.6,73.3,224.6,457.8,772.9,1169.8,1169.8,1169.8,,,
FRPE,2.3,18.4,70.9,194.3,378.5,623.6,929.5,1296.3,1723.9,,,
GIBI,0.1,3.8,23.6,74.7,154.1,261.9,261.9,261.9,261.9,,,
GLTR,0.1,6.4,51.4,207.1,517.3,1031.2,1031.2,1031.2,1031.2,,,
MA2,0.1,3.3,20.2,70.8,161.9,161.9,161.9,161.9,161.9,,,
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
PINI,2.9,24.5,88.0,207.0,331.7,426.0,426.0,426.0,426.0,,,
PIPO,7.0,21.7,64.1,210.1,530.3,1103.1,1103.1,1103.1,1103.1,,,
QUPA,0.1,11.3,56.9,170.9,345.7,581.4,878.0,1235.4,1235.4,,,
QURU,0.1,9.9,48.3,143.7,289.9,486.6,486.6,486.6,486.6,,,
TIAM,0.1,8.2,48.5,152.2,313.0,531.0,806.2,1138.4,1527.8,,,
TICO,0.1,4.6,47.2,166.3,360.4,633.5,633.5,633.5,633.5,,,
ULAM,0.1,9.9,44.8,189.1,424.9,752.2,1171.0,1681.3,2283.2,,,
ULPU,0.1,27.1,74.9,170.7,303.2,472.4,678.3,920.8,1200.1,,,
ILOP,0.2,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
MAGR,1.9,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
QUNI,1.9,11.6,74.8,329.9,705.4,1163.8,1163.8,1163.8,1163.8,,,
BDL OTHER,2.3,18.4,70.9,194.3,378.5,623.6,929.5,1296.3,1723.9,,,
BDM OTHER,0.1,11.6,56.6,168.6,340.1,571.1,571.1,571.1,571.1,,,
BDS OTHER,0.1,3.3,20.2,70.8,161.9,161.9,161.9,161.9,161.9,,,
CEL OTHER,7.0,21.7,64.1,210.1,530.3,1103.1,1103.1,1103.1,1103.1,,,
CEM OTHER,2.9,24.5,88.0,207.0,331.7,426.0,426.0,426.0,426.0,,,
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
BEL OTHER,1.9,11.6,74.8,329.9,705.4,1163.8,1163.8,1163.8,1163.8,,,
BEM OTHER,1.9,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
BES OTHER,0.2,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
