,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,0.002,0.009,0.017,0.027,0.012,-0.002,0.008,0.017,0.025
ACPL,0.001,0.010,0.023,0.044,0.027,0.009,0.009,0.009,0.009
ACRU,0.001,0.009,0.018,0.022,-0.024,-0.024,-0.024,-0.024,-0.024
ACSA1,0.001,0.002,0.005,0.015,-0.021,-0.062,-0.122,-0.199,-0.291
ACSA2,0.001,0.008,0.015,0.019,-0.027,-0.083,-0.161,-0.262,-0.383
CEOC,0.001,0.013,0.036,0.080,0.092,0.113,0.130,0.145,0.159
FRAM,0.003,0.010,0.028,0.079,0.093,0.125,0.156,0.156,0.156
FRPE,0.001,0.009,0.029,0.069,0.080,0.099,0.117,0.131,0.145
GIBI,0.001,0.005,0.013,0.029,0.013,-0.004,-0.004,-0.004,-0.004
GLTR,0.002,0.013,0.023,0.013,-0.081,-0.236,-0.236,-0.236,-0.236
MA2,0.001,0.007,0.023,0.055,0.060,0.060,0.060,0.060,0.060
PICO5,-0.003,-0.036,-0.144,-0.376,-0.376,-0.376,-0.376,-0.376,-0.376
PINI,-0.002,-0.021,-0.088,-0.214,-0.361,-0.467,-0.467,-0.467,-0.467
PIPO,-0.007,-0.019,-0.058,-0.209,-0.581,-1.244,-1.244,-1.244,-1.244
QUPA,0.001,0.001,-0.018,-0.078,-0.222,-0.411,-0.656,-0.958,-0.958
QURU,0.002,0.003,-0.015,-0.072,-0.198,-0.364,-0.364,-0.364,-0.364
TIAM,0.001,0.006,0.012,0.016,-0.025,-0.076,-0.146,-0.237,-0.347
TICO,0.001,0.007,0.013,0.020,-0.017,-0.065,-0.065,-0.065,-0.065
ULAM,0.000,0.005,0.025,0.074,0.087,0.113,0.136,0.157,0.175
ULPU,0.001,0.008,0.028,0.070,0.080,0.101,0.118,0.134,0.147
ILOP,0.003,0.007,0.018,0.053,0.064,0.064,0.064,0.064,0.064
MAGR,0.002,0.002,-0.051,-0.163,-0.340,-0.497,-0.611,-0.640,-0.640
QUNI,0.000,-0.007,-0.081,-0.404,-0.934,-1.569,-1.543,-1.519,-1.500
BDL OTHER,0.001,0.009,0.029,0.069,0.080,0.099,0.117,0.131,0.145
BDM OTHER,0.001,0.010,0.023,0.044,0.027,0.009,0.009,0.009,0.009
BDS OTHER,0.001,0.007,0.023,0.055,0.060,0.060,0.060,0.060,0.060
CEL OTHER,-0.007,-0.019,-0.058,-0.209,-0.581,-1.244,-1.244,-1.244,-1.244
CEM OTHER,-0.002,-0.021,-0.088,-0.214,-0.361,-0.467,-0.467,-0.467,-0.467
CES OTHER,-0.003,-0.036,-0.144,-0.376,-0.376,-0.376,-0.376,-0.376,-0.376
BEL OTHER,0.000,-0.007,-0.081,-0.404,-0.934,-1.569,-1.543,-1.519,-1.500
BEM OTHER,0.002,0.002,-0.051,-0.163,-0.340,-0.497,-0.611,-0.640,-0.640
BES OTHER,0.003,0.007,0.018,0.053,0.064,0.064,0.064,0.064,0.064
