,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACNE,6.4,7.9,11.3,16.3,21.4,27.2,32.6,39.6,46.1
ACPL,1.1,5.4,10.9,16.3,17.9,13.1,0.0,0.0,0.0
ACRU,0.0,3.0,12.4,27.4,45.3,0.0,0.0,0.0,0.0
ACSA1,4.3,9.4,14.8,23.4,32.7,42.6,51.4,62.7,72.6
ACSA2,0.2,3.0,8.8,16.4,24.3,31.7,40.3,48.3,56.6
CEOC,1.5,4.5,10.1,16.4,21.7,26.4,30.2,32.6,33.7
FRAM,0.6,5.3,13.9,26.5,42.1,52.5,76.6,0.0,0.0
FRPE,2.2,6.1,11.9,19.0,24.0,27.2,27.7,24.2,11.9
GIBI,0.2,1.1,2.8,5.0,7.2,9.5,0.0,0.0,0.0
GLTR,0.2,3.2,13.1,42.6,80.8,161.5,0.0,0.0,0.0
MA2,0.0,0.9,2.7,6.4,12.0,0.0,0.0,0.0,0.0
PICO5,1.8,5.6,8.9,5.7,0.0,0.0,0.0,0.0,0.0
PINI,2.1,5.1,8.8,10.5,8.3,5.3,0.0,0.0,0.0
PIPO,2.4,2.8,6.4,13.4,19.5,10.9,0.0,0.0,0.0
QUPA,0.3,3.3,9.6,19.7,34.5,48.3,65.2,85.4,0.0
QURU,0.6,3.0,6.7,10.0,11.4,9.9,0.0,0.0,0.0
TIAM,0.7,1.8,5.43,11.9,19.7,29.0,39.1,49.6,63.6
TICO,1.1,4.4,13.0,22.9,33.8,44.0,0.0,0.0,0.0
ULAM,0.8,2.2,8.3,15.3,21.2,26.7,30.9,34.2,36.0
ULPU,4.7,5.9,9.2,13.3,16.6,19.1,21.0,22.2,22.4
ILOP,0.2,0.4,1.8,5.3,11.3,0.0,0.0,0.0,0.0
MAGR,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.0
QUNI,3.5,6.9,24.2,40.4,50.0,54.6,0.0,0.0,0.0
BDL OTHER,2.2,6.1,11.9,19.0,24.0,27.2,27.7,24.2,11.9
BDM OTHER,1.1,5.4,10.9,16.3,17.9,13.1,0.0,0.0,0.0
BDS OTHER,0.0,0.9,2.7,6.4,12.0,0.0,0.0,0.0,0.0
CEL OTHER,2.4,2.8,6.4,13.4,19.5,10.9,0.0,0.0,0.0
CEM OTHER,2.1,5.1,8.8,10.5,8.3,5.3,0.0,0.0,0.0
CES OTHER,1.8,5.6,8.9,5.7,0.0,0.0,0.0,0.0,0.0
BEL OTHER,3.5,6.9,24.2,40.4,50.0,54.6,0.0,0.0,0.0
BEM OTHER,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.0
BES OTHER,0.2,0.4,1.8,5.3,11.3,0.0,0.0,0.0,0.0
