,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.000,0.003,0.024,0.065,0.110,0.153,0.198,0.198
ACSA2,0.000,0.000,0.006,0.040,0.100,0.154,0.212,0.212,0.212
ACSA1,0.000,0.000,0.003,0.021,0.059,0.110,0.152,0.197,0.244
CEOC,0.000,0.000,0.002,0.016,0.052,0.105,0.155,0.205,0.259
FRAM,0.000,0.000,0.006,0.037,0.089,0.136,0.186,0.186,0.186
FRPE,0.000,0.000,0.005,0.034,0.083,0.127,0.175,0.175,0.175
GLTR,0.000,0.000,0.008,0.040,0.087,0.128,0.170,0.170,0.170
GYDI,0.000,0.001,0.016,0.065,0.116,0.116,0.116,0.116,0.116
POSA,0.000,0.000,0.002,0.012,0.038,0.077,0.113,0.149,0.187
QUMA1,0.000,0.000,0.012,0.086,0.181,0.181,0.181,0.181,0.181
TIAM,0.000,0.000,0.003,0.028,0.084,0.142,0.206,0.206,0.206
TICO,0.000,0.001,0.017,0.074,0.136,0.136,0.136,0.136,0.136
ULAM,0.000,0.000,0.002,0.019,0.059,0.119,0.175,0.232,0.292
ULPU,0.000,0.000,0.006,0.030,0.069,0.110,0.144,0.179,0.214
PY,0.000,0.001,0.015,0.037,0.037,0.037,0.037,0.037,0.037
MA2,0.000,0.001,0.012,0.053,0.097,0.097,0.097,0.097,0.097
PR,0.000,0.008,0.025,0.025,0.025,0.025,0.025,0.025,0.025
PIPO,0.000,0.000,0.004,0.021,0.038,0.056,0.056,0.056,0.056
PIPU,0.000,0.000,0.004,0.019,0.039,0.057,0.075,0.075,0.075
PINI,0.000,0.001,0.007,0.024,0.039,0.054,0.054,0.054,0.054
PICO5,0.000,0.000,0.011,0.054,0.054,0.054,0.054,0.054,0.054
ILOP,0.000,0.000,0.005,0.042,0.109,0.109,0.109,0.109,0.109
MAGR,0.000,0.000,0.001,0.009,0.048,0.143,0.276,0.440,0.440
QUNI,0.000,0.000,0.000,0.005,0.025,0.074,0.150,0.224,0.308
BDL OTHER,0.000,0.000,0.005,0.034,0.083,0.127,0.175,0.175,0.175
BDM OTHER,0.000,0.000,0.003,0.024,0.065,0.110,0.153,0.198,0.198
BDS OTHER,0.000,0.001,0.012,0.053,0.097,0.097,0.097,0.097,0.097
CEL OTHER,0.000,0.000,0.004,0.019,0.039,0.057,0.075,0.075,0.075
CEM OTHER,0.000,0.001,0.007,0.024,0.039,0.054,0.054,0.054,0.054
CES OTHER,0.000,0.000,0.011,0.054,0.054,0.054,0.054,0.054,0.054
BEL OTHER,0.000,0.000,0.000,0.005,0.025,0.074,0.150,0.224,0.308
BEM OTHER,0.000,0.000,0.001,0.009,0.048,0.143,0.276,0.440,0.440
BES OTHER,0.000,0.000,0.005,0.042,0.109,0.109,0.109,0.109,0.109
