,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.000,0.014,0.098,0.265,0.452,0.629,0.815,0.815
ACSA2,0.000,0.000,0.025,0.163,0.404,0.622,0.856,0.856,0.856
ACSA1,0.000,0.000,0.013,0.085,0.237,0.446,0.617,0.799,0.987
CEOC,0.000,-0.001,0.008,0.066,0.209,0.425,0.626,0.831,1.047
FRAM,0.000,0.001,0.024,0.149,0.360,0.550,0.753,0.753,0.753
FRPE,0.000,0.000,0.022,0.137,0.336,0.515,0.707,0.707,0.707
GLTR,0.000,0.002,0.032,0.162,0.348,0.514,0.685,0.685,0.685
GYDI,0.000,0.004,0.065,0.261,0.465,0.465,0.465,0.465,0.465
POSA,0.000,-0.001,0.006,0.050,0.157,0.315,0.462,0.612,0.770
QUMA1,0.000,0.000,0.040,0.299,0.628,0.628,0.628,0.628,0.628
TIAM,0.000,-0.001,0.011,0.096,0.290,0.493,0.714,0.714,0.714
TICO,0.000,0.003,0.057,0.257,0.471,0.471,0.471,0.471,0.471
ULAM,0.000,-0.001,0.010,0.076,0.240,0.487,0.717,0.950,1.198
ULPU,-0.001,0.001,0.025,0.123,0.279,0.443,0.583,0.723,0.865
PY,0.000,0.005,0.059,0.146,0.146,0.146,0.146,0.146,0.146
MA2,0.000,0.003,0.049,0.214,0.388,0.388,0.388,0.388,0.388
PR,0.001,0.031,0.100,0.100,0.100,0.100,0.100,0.100,0.100
PIPO,0.000,0.001,0.018,0.083,0.155,0.227,0.227,0.227,0.227
PIPU,0.000,0.001,0.016,0.076,0.156,0.227,0.299,0.299,0.299
PINI,0.000,0.003,0.029,0.098,0.157,0.216,0.216,0.216,0.216
PICO5,0.000,0.002,0.039,0.188,0.188,0.188,0.188,0.188,0.188
ILOP,0.000,0.001,0.016,0.145,0.378,0.378,0.378,0.378,0.378
MAGR,-0.001,-0.001,0.002,0.032,0.164,0.495,0.957,1.526,1.526
QUNI,0.000,-0.001,0.001,0.020,0.101,0.296,0.597,0.891,1.225
BDL OTHER,0.000,0.000,0.022,0.137,0.336,0.515,0.707,0.707,0.707
BDM OTHER,0.000,0.000,0.014,0.098,0.265,0.452,0.629,0.815,0.815
BDS OTHER,0.000,0.003,0.049,0.214,0.388,0.388,0.388,0.388,0.388
CEL OTHER,0.000,0.001,0.016,0.076,0.156,0.227,0.299,0.299,0.299
CEM OTHER,0.000,0.003,0.029,0.098,0.157,0.216,0.216,0.216,0.216
CES OTHER,0.000,0.002,0.039,0.188,0.188,0.188,0.188,0.188,0.188
BEL OTHER,0.000,-0.001,0.001,0.020,0.101,0.296,0.597,0.891,1.225
BEM OTHER,-0.001,-0.001,0.002,0.032,0.164,0.495,0.957,1.526,1.526
BES OTHER,0.000,0.001,0.016,0.145,0.378,0.378,0.378,0.378,0.378
