,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0006,0.0074,0.0151,0.0266,0.0359,0.0478,0.0627,0.0814,0.0807
ACSA2,0.0004,0.0082,0.0187,0.0346,0.0461,0.0582,0.0718,0.0689,0.0684
ACSA1,0.0004,0.0105,0.0226,0.0400,0.0510,0.0605,0.0682,0.0736,0.0780
CEOC,0.0004,0.0062,0.0163,0.0347,0.0482,0.0612,0.0728,0.0820,0.0907
FRAM,0.0004,0.0109,0.0219,0.0364,0.0452,0.0533,0.0613,0.0588,0.0583
FRPE,0.0014,0.0049,0.0149,0.0346,0.0485,0.0611,0.0705,0.0676,0.0670
GLTR,0.0004,0.0073,0.0160,0.0316,0.0423,0.0543,0.0667,0.0639,0.0634
GYDI,0.0004,0.0068,0.0169,0.0333,0.0427,0.0393,0.0372,0.0357,0.0355
POSA,0.0005,0.0061,0.0126,0.0224,0.0293,0.0365,0.0444,0.0524,0.0627
QUMA1,0.0005,0.0027,0.0125,0.0335,0.0499,0.0457,0.0431,0.0414,0.0410
TIAM,0.0008,0.0035,0.0129,0.0343,0.0500,0.0690,0.0883,0.0846,0.0839
TICO,0.0005,0.0041,0.0146,0.0325,0.0426,0.0391,0.0369,0.0354,0.0351
ULAM,0.0005,0.0089,0.0174,0.0294,0.0386,0.0501,0.0645,0.0833,0.1092
ULPU,0.0004,0.0167,0.0375,0.0494,0.0540,0.0573,0.0617,0.0687,0.0812
PY,0.0011,0.0033,0.0081,0.0070,0.0065,0.0060,0.0057,0.0055,0.0054
MA2,0.0008,0.0028,0.0065,0.0184,0.0308,0.0282,0.0267,0.0256,0.0254
PR,0.0008,0.0034,0.0062,0.0056,0.0051,0.0047,0.0044,0.0042,0.0042
PIPO,0.0009,0.0018,0.0050,0.0195,0.0343,0.0644,0.0606,0.0579,0.0574
PIPU,0.0011,0.0025,0.0079,0.0203,0.0294,0.0400,0.0503,0.0483,0.0479
PINI,0.0006,0.0021,0.0068,0.0161,0.0212,0.0245,0.0230,0.0220,0.0218
PICO5,0.0005,0.0018,0.0064,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000
ILOP,0.0001,0.0002,0.0011,0.0062,0.0126,0.0116,0.0015,0.0015,0.0015
MAGR,0.0004,0.0007,0.0044,0.0140,0.0210,0.0274,0.0317,0.0049,0.0049
QUNI,0.0004,0.0014,0.0065,0.0285,0.0463,0.0664,0.0866,0.0076,0.0088
BDL OTHER,0.0014,0.0049,0.0149,0.0346,0.0485,0.0611,0.0705,0.0676,0.0670
BDM OTHER,0.0006,0.0074,0.0151,0.0266,0.0359,0.0478,0.0627,0.0814,0.0807
BDS OTHER,0.0008,0.0028,0.0065,0.0184,0.0308,0.0282,0.0267,0.0256,0.0254
CEL OTHER,0.0011,0.0025,0.0079,0.0203,0.0294,0.0400,0.0503,0.0483,0.0479
CEM OTHER,0.0006,0.0021,0.0068,0.0161,0.0212,0.0245,0.0230,0.0220,0.0218
CES OTHER,0.0005,0.0018,0.0064,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000
BEL OTHER,0.0004,0.0014,0.0065,0.0285,0.0463,0.0664,0.0866,0.0076,0.0088
BEM OTHER,0.0004,0.0007,0.0044,0.0140,0.0210,0.0274,0.0317,0.0049,0.0049
BES OTHER,0.0001,0.0002,0.0011,0.0062,0.0126,0.0116,0.0015,0.0015,0.0015
