,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.000,0.005,0.029,0.071,0.115,0.157,0.200,0.200
ACSA2,0.000,0.000,0.008,0.046,0.105,0.157,0.212,0.212,0.212
ACSA1,0.000,0.000,0.004,0.025,0.063,0.112,0.152,0.193,0.236
CEOC,0.000,0.000,0.003,0.021,0.059,0.112,0.160,0.209,0.259
FRAM,0.000,0.000,0.008,0.041,0.090,0.134,0.180,0.180,0.180
FRPE,0.000,0.000,0.007,0.037,0.084,0.125,0.169,0.169,0.169
GLTR,0.000,0.001,0.010,0.043,0.086,0.124,0.163,0.163,0.163
GYDI,0.000,0.001,0.018,0.064,0.110,0.110,0.110,0.110,0.110
POSA,0.000,0.000,0.002,0.016,0.044,0.082,0.117,0.152,0.189
QUMA1,0.000,0.000,0.016,0.098,0.197,0.197,0.197,0.197,0.197
TIAM,0.000,0.000,0.005,0.035,0.097,0.158,0.224,0.224,0.224
TICO,0.000,0.001,0.021,0.084,0.148,0.148,0.148,0.148,0.148
ULAM,0.000,0.000,0.004,0.024,0.067,0.127,0.182,0.237,0.294
ULPU,0.000,0.001,0.008,0.036,0.075,0.115,0.148,0.181,0.214
PY,0.000,0.002,0.016,0.037,0.037,0.037,0.037,0.037,0.037
MA2,0.000,0.001,0.015,0.056,0.098,0.098,0.098,0.098,0.098
PR,0.000,0.008,0.025,0.025,0.025,0.025,0.025,0.025,0.025
PIPO,0.000,0.000,0.006,0.022,0.039,0.056,0.056,0.056,0.056
PIPU,0.000,0.000,0.005,0.021,0.041,0.058,0.076,0.076,0.076
PINI,0.000,0.001,0.009,0.026,0.041,0.055,0.055,0.055,0.055
PICO5,0.000,0.001,0.014,0.059,0.059,0.059,0.059,0.059,0.059
ILOP,0.000,0.000,0.007,0.049,0.118,0.118,0.118,0.118,0.118
MAGR,0.000,0.000,0.002,0.014,0.062,0.168,0.309,0.479,0.479
QUNI,0.000,0.000,0.001,0.007,0.032,0.084,0.158,0.230,0.310
BDL OTHER,0.000,0.000,0.007,0.037,0.084,0.125,0.169,0.169,0.169
BDM OTHER,0.000,0.000,0.005,0.029,0.071,0.115,0.157,0.200,0.200
BDS OTHER,0.000,0.001,0.015,0.056,0.098,0.098,0.098,0.098,0.098
CEL OTHER,0.000,0.000,0.005,0.021,0.041,0.058,0.076,0.076,0.076
CEM OTHER,0.000,0.001,0.009,0.026,0.041,0.055,0.055,0.055,0.055
CES OTHER,0.000,0.001,0.014,0.059,0.059,0.059,0.059,0.059,0.059
BEL OTHER,0.000,0.000,0.001,0.007,0.032,0.084,0.158,0.230,0.310
BEM OTHER,0.000,0.000,0.002,0.014,0.062,0.168,0.309,0.479,0.479
BES OTHER,0.000,0.000,0.007,0.049,0.118,0.118,0.118,0.118,0.118
