,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0032,0.0412,0.0858,0.1543,0.2094,0.2808,0.3696,0.4812,0.4773
ACSA2,0.0022,0.0463,0.1067,0.2017,0.2706,0.3449,0.4276,0.4106,0.4074
ACSA1,0.0024,0.0590,0.1279,0.2310,0.2976,0.3560,0.4042,0.4396,0.4683
CEOC,0.0025,0.0349,0.0933,0.2016,0.2817,0.3605,0.4319,0.4899,0.5448
FRAM,0.0023,0.0607,0.1243,0.2110,0.2646,0.3155,0.3650,0.3507,0.3480
FRPE,0.0077,0.0282,0.0856,0.2010,0.2826,0.3585,0.4164,0.3998,0.3966
GLTR,0.0021,0.0411,0.0918,0.1837,0.2468,0.3185,0.3932,0.3772,0.3742
GYDI,0.0022,0.0384,0.0969,0.1942,0.2506,0.2313,0.2193,0.2111,0.2095
POSA,0.0026,0.0341,0.0707,0.1295,0.1706,0.2146,0.2623,0.3106,0.3725
QUMA1,0.0027,0.0157,0.0708,0.1931,0.2893,0.2656,0.2509,0.2408,0.2389
TIAM,0.0044,0.0197,0.0728,0.1972,0.2867,0.3989,0.5139,0.4927,0.4886
TICO,0.0025,0.0236,0.0830,0.1870,0.2471,0.2272,0.2149,0.2065,0.2049
ULAM,0.0026,0.0492,0.0986,0.1703,0.2256,0.2947,0.3812,0.4949,0.6512
ULPU,0.0024,0.0944,0.2126,0.2854,0.3156,0.3381,0.3665,0.4097,0.4847
PY,0.0062,0.0188,0.0457,0.0414,0.0387,0.0359,0.0342,0.0330,0.0328
MA2,0.0045,0.0159,0.0371,0.1073,0.1787,0.1644,0.1556,0.1495,0.1484
PR,0.0043,0.0195,0.0351,0.0312,0.0289,0.0265,0.0249,0.0239,0.0237
PIPO,0.0048,0.0103,0.0285,0.1138,0.1955,0.3658,0.3444,0.3297,0.3268
PIPU,0.0061,0.0142,0.0444,0.1164,0.1678,0.2287,0.2885,0.2770,0.2748
PINI,0.0034,0.0124,0.0386,0.0932,0.1218,0.1418,0.1335,0.1278,0.1267
PICO5,0.0026,0.0103,0.0362,0.0625,0.0035,0.0035,0.0035,0.0035,0.0035
ILOP,0.0003,0.0014,0.0068,0.0396,0.0790,0.0733,0.0166,0.0166,0.0166
MAGR,0.0022,0.0052,0.0267,0.0841,0.1276,0.1692,0.1986,0.0454,0.0454
QUNI,0.0021,0.0084,0.0372,0.1641,0.2667,0.3867,0.5095,0.0514,0.0592
BDL OTHER,0.0077,0.0282,0.0856,0.2010,0.2826,0.3585,0.4164,0.3998,0.3966
BDM OTHER,0.0032,0.0412,0.0858,0.1543,0.2094,0.2808,0.3696,0.4812,0.4773
BDS OTHER,0.0045,0.0159,0.0371,0.1073,0.1787,0.1644,0.1556,0.1495,0.1484
CEL OTHER,0.0061,0.0142,0.0444,0.1164,0.1678,0.2287,0.2885,0.2770,0.2748
CEM OTHER,0.0034,0.0124,0.0386,0.0932,0.1218,0.1418,0.1335,0.1278,0.1267
CES OTHER,0.0026,0.0103,0.0362,0.0625,0.0035,0.0035,0.0035,0.0035,0.0035
BEL OTHER,0.0021,0.0084,0.0372,0.1641,0.2667,0.3867,0.5095,0.0514,0.0592
BEM OTHER,0.0022,0.0052,0.0267,0.0841,0.1276,0.1692,0.1986,0.0454,0.0454
BES OTHER,0.0003,0.0014,0.0068,0.0396,0.0790,0.0733,0.0166,0.0166,0.0166
