,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.000,0.000,0.002,0.011,0.030,0.051,0.071,0.092,0.092
ACSA2,0.000,0.000,0.003,0.019,0.047,0.073,0.100,0.100,0.100
ACSA1,0.000,0.000,0.001,0.009,0.025,0.048,0.067,0.086,0.107
CEOC,0.000,0.000,0.001,0.008,0.024,0.049,0.073,0.097,0.122
FRAM,0.000,0.000,0.003,0.016,0.039,0.059,0.081,0.081,0.081
FRPE,0.000,0.000,0.002,0.015,0.036,0.056,0.077,0.077,0.077
GLTR,0.000,0.000,0.003,0.017,0.038,0.056,0.075,0.075,0.075
GYDI,0.000,0.000,0.007,0.028,0.051,0.051,0.051,0.051,0.051
POSA,0.000,0.000,0.001,0.006,0.017,0.035,0.052,0.069,0.087
QUMA1,0.000,0.000,0.005,0.039,0.082,0.082,0.082,0.082,0.082
TIAM,0.000,0.000,0.001,0.012,0.038,0.064,0.093,0.093,0.093
TICO,0.000,0.000,0.007,0.033,0.061,0.061,0.061,0.061,0.061
ULAM,0.000,0.000,0.001,0.008,0.027,0.055,0.081,0.107,0.135
ULPU,0.000,0.000,0.003,0.014,0.032,0.051,0.068,0.084,0.101
PY,0.000,0.001,0.007,0.019,0.019,0.019,0.019,0.019,0.019
MA2,0.000,0.000,0.006,0.027,0.049,0.049,0.049,0.049,0.049
PR,0.000,0.004,0.012,0.012,0.012,0.012,0.012,0.012,0.012
PIPO,0.000,0.000,0.002,0.010,0.018,0.026,0.026,0.026,0.026
PIPU,0.000,0.000,0.002,0.009,0.020,0.028,0.038,0.038,0.038
PINI,0.000,0.000,0.004,0.012,0.020,0.027,0.027,0.027,0.027
PICO5,0.000,0.000,0.005,0.025,0.025,0.025,0.025,0.025,0.025
ILOP,0.000,0.000,0.002,0.019,0.049,0.049,0.049,0.049,0.049
MAGR,0.000,0.000,0.000,0.004,0.021,0.064,0.125,0.199,0.199
QUNI,0.000,0.000,0.000,0.002,0.013,0.037,0.076,0.113,0.156
BDL OTHER,0.000,0.000,0.002,0.015,0.036,0.056,0.077,0.077,0.077
BDM OTHER,0.000,0.000,0.002,0.011,0.030,0.051,0.071,0.092,0.092
BDS OTHER,0.000,0.000,0.006,0.027,0.049,0.049,0.049,0.049,0.049
CEL OTHER,0.000,0.000,0.002,0.009,0.020,0.028,0.038,0.038,0.038
CEM OTHER,0.000,0.000,0.004,0.012,0.020,0.027,0.027,0.027,0.027
CES OTHER,0.000,0.000,0.005,0.025,0.025,0.025,0.025,0.025,0.025
BEL OTHER,0.000,0.000,0.000,0.002,0.013,0.037,0.076,0.113,0.156
BEM OTHER,0.000,0.000,0.000,0.004,0.021,0.064,0.125,0.199,0.199
BES OTHER,0.000,0.000,0.002,0.019,0.049,0.049,0.049,0.049,0.049
